country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Slovenia,,agromet.mkgp.gov.si,https://agromet.mkgp.gov.si/,TRUE,0.57,0.88,0.7,0.42
Slovenia,,agromet.mkgp.gov.si,https://agromet.mkgp.gov.si/APP2/sl/Content/plant-health,FALSE,0.84,0.96,1,0.58
Slovenia,,centralka.celje.si,https://centralka.celje.si/,TRUE,0.6,0.89,0.71,0.83
Slovenia,,centralka.celje.si,https://centralka.celje.si/storitve/celebus,FALSE,0.32,0.93,0.75,0.75
Slovenia,,cip.gov.si,https://cip.gov.si/,TRUE,0.52,0.79,0.81,0.91
Slovenia,,cip.gov.si,https://cip.gov.si/aktivnosti/?Tag=470,FALSE,0.61,0.78,0.81,0.91
Slovenia,,dovolilnice.ljubljana.si,https://dovolilnice.ljubljana.si/,TRUE,0.85,0.73,0.71,0.8
Slovenia,,ds-rs.si,https://ds-rs.si/,TRUE,0.34,0.82,0.61,0.92
Slovenia,,ds-rs.si,https://ds-rs.si/sl/novice/lotric-predlaga-okrepitev-varnosti-drzavljank-drzavljanov-ter-njihovega-imetja-na-dolenjskem,FALSE,0.53,0.84,1,1
Slovenia,,ds-rs.si,https://ds-rs.si/sl/novice/predsednik-drzavnega-sveta-marko-lotric-na-slavnostni-seji-ob-27-obcinskem-prazniku-obcine,FALSE,0.66,0.9,1,1
Slovenia,,e-uprava.gov.si,https://e-uprava.gov.si/,TRUE,0.75,0.88,0.96,0.83
Slovenia,,e-uprava.gov.si,https://e-uprava.gov.si/si/podrocja/osebni-dokumenti-potrdila-selitev/selitev-prijava-odjava-prebivalisca/prijava-odjava-zacasnega-prebivalisca-zacasnega-naslova-v-tujini.html,FALSE,0.7,0.86,0.96,0.92
Slovenia,,ecarina.fu.gov.si,https://ecarina.fu.gov.si/,TRUE,0.57,0.94,0.81,0.8
Slovenia,,ecrp.gov.si,https://ecrp.gov.si/,TRUE,0.91,0.64,0.93,0.5
Slovenia,,ecrp.gov.si,https://ecrp.gov.si/katalogPodatkovCRP.html,FALSE,0.94,0.55,0.93,0.5
Slovenia,,eid.gov.si,https://eid.gov.si/,TRUE,0.61,0.66,0.96,0.73
Slovenia,,ejn.gov.si,https://ejn.gov.si/,TRUE,0.78,0.8,1,0.92
Slovenia,,ejn.gov.si,https://ejn.gov.si/novice/novica-4.html,FALSE,0.85,0.87,0.96,0.83
Slovenia,,ejr.ekultura.gov.si,https://ejr.ekultura.gov.si/,TRUE,0.98,0.59,0.89,0.8
Slovenia,,ekmetijstvo.gov.si,https://ekmetijstvo.gov.si/,TRUE,0.55,0.8,1,0.73
Slovenia,,ekmetijstvo.gov.si,https://ekmetijstvo.gov.si/ui/evt/,FALSE,0.55,0.8,1,0.73
Slovenia,,emddsz.gov.si,https://emddsz.gov.si/,TRUE,0.73,0.9,0.96,0.91
Slovenia,,eplacila.ujp.gov.si,https://eplacila.ujp.gov.si/,TRUE,0.78,0.85,1,0.58
Slovenia,,eplacila.ujp.gov.si,https://eplacila.ujp.gov.si/info/navodila,FALSE,0.55,0.8,1,0.83
Slovenia,,eplacila.ujp.gov.si,https://eplacila.ujp.gov.si/info/opiskotkih,FALSE,0.55,0.93,0.96,0.92
Slovenia,,eracuni.ujp.gov.si,https://eracuni.ujp.gov.si/,TRUE,0.76,0.49,0.93,0.82
