country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Latvia,,ai.latak.gov.lv,https://ai.latak.gov.lv/,TRUE,0.62,0.87,0.96,0.92
Latvia,,ai.latak.gov.lv,https://ai.latak.gov.lv/index.php?option=com_institucijas&view=institucijas&type=all&Itemid=523&lang=lv,FALSE,0.55,0.87,0.96,0.92
Latvia,,akcmv.gov.lv,https://akcmv.gov.lv/,TRUE,0.8,0.92,0.96,0.91
Latvia,,akcmv.gov.lv,https://akcmv.gov.lv/?p=14211,FALSE,0.68,0.94,0.96,0.92
Latvia,,akcmv.gov.lv,https://akcmv.gov.lv/?p=15556,FALSE,0.68,0.9,0.96,0.92
Latvia,,altona.riga.lv,https://altona.riga.lv/,TRUE,0.46,0.83,0.79,0.77
Latvia,,altona.riga.lv,https://altona.riga.lv/altonas-lepnums/,FALSE,0.55,0.89,0.56,0.77
Latvia,,altona.riga.lv,https://altona.riga.lv/daba-darbs-svetki/,FALSE,0.32,0.85,0.79,0.92
Latvia,,apmekle.president.lv,https://apmekle.president.lv/,TRUE,0.85,1,0.75,0.91
Latvia,,apply.rtu.lv,https://apply.rtu.lv/,TRUE,0.43,0.96,0.59,0.83
Latvia,,apply.rtu.lv,https://apply.rtu.lv/courses,FALSE,0.05,0.89,0.57,0.82
Latvia,,apply.rtu.lv,https://apply.rtu.lv/news/new/25-class-2025-just-graduated--and-their-journeys-only-beginning,FALSE,0.59,0.96,0.59,0.92
Latvia,,apps.rtu.lv,https://apps.rtu.lv/,TRUE,1,1,0.89,0.9
Latvia,,apr.riga.lv,https://apr.riga.lv/,TRUE,0.6,0.7,0.78,0.82
Latvia,,aptauja.mod.gov.lv,https://aptauja.mod.gov.lv/,TRUE,0.5,0.92,1,0.91
Latvia,,aptauja.spkc.gov.lv,https://aptauja.spkc.gov.lv/,TRUE,0.76,0.89,0.96,0.83
Latvia,,aptauja.viaa.gov.lv,https://aptauja.viaa.gov.lv/,TRUE,0.72,0.92,1,0.91
Latvia,,at.gov.lv,https://at.gov.lv/,TRUE,0.58,0.76,1,1
Latvia,,at.gov.lv,https://at.gov.lv/lv/jaunumi/par-notikumiem/departamentu-priekssedetaju-sede-spriez-par-emitenta-akciju-izslegsanas-no-birzas-sarakstiem-strida-paklautibu-12621?year=2025&month=06,FALSE,0.78,0.55,1,0.92
Latvia,,at.gov.lv,https://at.gov.lv/lv/jaunumi/par-notikumiem/senators-janis-pleps-piedalas-ukrainas-administrativa-procesa-kodeksa-20-gadadienai-veltita-konference-12634?year=2025&month=07,FALSE,0.49,0.56,1,0.92
Latvia,,atbalsts.rtu.lv,https://atbalsts.rtu.lv/,TRUE,0.39,0.9,0.93,0.83
Latvia,,atbalsts.rtu.lv,https://atbalsts.rtu.lv/page/pieteikumi,FALSE,0.49,0.96,0.93,0.83
Latvia,,atjauno.riga.lv,https://atjauno.riga.lv/,TRUE,0.55,0.9,1,0.92
Latvia,,atjauno.riga.lv,https://atjauno.riga.lv/dzivojamas-majas,FALSE,0.4,0.82,1,0.85
Latvia,,avesol.riga.lv,https://avesol.riga.lv/,TRUE,0.7,0.75,0.78,0.75
Latvia,,avesol.riga.lv,https://avesol.riga.lv/lv/sikdatnu-politika/,FALSE,0.77,0.85,0.93,0.92
Latvia,,bakalaurastudijas.ievf.rtu.lv,https://bakalaurastudijas.ievf.rtu.lv/,TRUE,0.88,0.9,1,0.91
Latvia,,balso.riga.lv,https://balso.riga.lv/,TRUE,0.56,0.96,0.96,0.83
Latvia,,balso.riga.lv,https://balso.riga.lv/par-iniciativu,FALSE,0.52,0.91,0.96,0.83
Latvia,,balso.riga.lv,https://balso.riga.lv/pierakstities-jaunumiem,FALSE,0.6,0.92,1,0.85
Latvia,,barintiesa.riga.lv,https://barintiesa.riga.lv/,TRUE,0.74,0.74,1,0.85
Latvia,,barintiesa.riga.lv,https://barintiesa.riga.lv/lv/arkartas-aizbildni-ukrainas-beglu-berniem/,FALSE,0.92,0.68,1,0.85
Latvia,,barintiesa.riga.lv,https://barintiesa.riga.lv/lv/sutit-iesniegumu/,FALSE,0.68,0.66,1,0.85
Latvia,,biblioteka.ventspils.lv,https://biblioteka.ventspils.lv/,TRUE,0.6,0.78,0.89,0.85
Latvia,,biblioteka.ventspils.lv,https://biblioteka.ventspils.lv/gramatu-tops,FALSE,0.5,0.81,0.64,0.85
Latvia,,biblioteka.ventspils.lv,https://biblioteka.ventspils.lv/youtube,FALSE,0.28,0.64,0.74,0.85
Latvia,,bioreg.ldc.gov.lv,https://bioreg.ldc.gov.lv/,TRUE,0.75,0.95,1,0.58
Latvia,,bioreg.ldc.gov.lv,https://bioreg.ldc.gov.lv/Operator/ActiveOrganicCertificateList,FALSE,0.6,0.92,1,0.58
Latvia,,bioreg.ldc.gov.lv,https://bioreg.ldc.gov.lv/Public/PrivacyPolicy,FALSE,0.73,1,1,0.54
Latvia,,bis.gov.lv,https://bis.gov.lv/,TRUE,0.76,0.96,0.96,0.83
Latvia,,bis.gov.lv,https://bis.gov.lv/lv/news/turpmak-jaunu-eku-elektroinstalacijas-bus-obligati-jaapriko-ar-aizsardzibu-pret-elektriskas-stravas-nopludi,FALSE,0.93,0.96,0.93,0.83
Latvia,,bis.gov.lv,https://bis.gov.lv/registri/buvniecibas-informacijas-sistemas-registri,FALSE,0.78,0.96,0.96,0.83
Latvia,,bjrbe-journals.rtu.lv,https://bjrbe-journals.rtu.lv/,TRUE,0.88,0.89,1,0.92
Latvia,,bjrbe-journals.rtu.lv,https://bjrbe-journals.rtu.lv/bjrbe/index,FALSE,0.85,0.89,1,0.92
Latvia,,business.gov.lv,https://business.gov.lv/,TRUE,0.41,0.76,0.78,0.92
Latvia,,business.gov.lv,https://business.gov.lv/aktualo-un-planoto-eksporta-aktivitasu-saraksts-2025-gadam,FALSE,0.29,0.81,0.79,0.92
Latvia,,business.gov.lv,https://business.gov.lv/atbalsta-iespejas/dizpasakumu-organizesana-latvija,FALSE,0.42,0.76,0.78,0.92
Latvia,,covid19.gov.lv,https://covid19.gov.lv/,TRUE,0.81,0.96,0.79,0.92
Latvia,,covid19.gov.lv,https://covid19.gov.lv/vakcina,FALSE,0.64,1,0.79,1
Latvia,,csimq-journals.rtu.lv,https://csimq-journals.rtu.lv/,TRUE,0.64,0.89,1,0.92
Latvia,,csimq-journals.rtu.lv,https://csimq-journals.rtu.lv/csimq/index,FALSE,0.69,0.89,1,0.92
Latvia,,csn.vtua.gov.lv,https://csn.vtua.gov.lv/,TRUE,0.74,0.77,0.96,0.82
Latvia,,cvvp.nva.gov.lv,https://cvvp.nva.gov.lv/,TRUE,0.61,0.76,0.93,0.82
Latvia,,dabasmuzejs.gov.lv,https://dabasmuzejs.gov.lv/,TRUE,0.73,0.83,0.93,0.92
Latvia,,dabasmuzejs.gov.lv,https://dabasmuzejs.gov.lv/lv/aktualitates/ekspresizstade-savvalas-dzivnieku-mazuli,FALSE,0.56,0.82,0.93,1
Latvia,,dabasmuzejs.gov.lv,https://dabasmuzejs.gov.lv/lv/pakalpojumi/briviem-briziem,FALSE,0.82,0.83,0.89,0.85
Latvia,,data.gov.lv,https://data.gov.lv/,TRUE,0.55,0.82,0.96,0.92
Latvia,,data.gov.lv,https://data.gov.lv/dati/lv/dataset,FALSE,0.65,0.78,0.96,0.83
Latvia,,data.gov.lv,https://data.gov.lv/dati/lv/group/arlietas,FALSE,0.5,0.9,0.93,0.83
Latvia,,data.stat.gov.lv,https://data.stat.gov.lv/,TRUE,0.86,0.88,0.96,0.82
Latvia,,data.stat.gov.lv,https://data.stat.gov.lv/pxweb/lv/OSP_OD/,FALSE,0.87,0.82,0.96,0.82
Latvia,,dati.zva.gov.lv,https://dati.zva.gov.lv/,TRUE,0.92,0.92,1,0.92
Latvia,,dati.zva.gov.lv,https://dati.zva.gov.lv/mt-iesniegumi/,FALSE,0.83,0.93,1,0.91
Latvia,,datubaze.nbd.gov.lv,https://datubaze.nbd.gov.lv/,TRUE,0.71,0.66,0.89,0.82
Latvia,,datubaze.nbd.gov.lv,https://datubaze.nbd.gov.lv/site/contact,FALSE,0.79,0.66,0.89,0.82
Latvia,,daugavpils.rtu.lv,https://daugavpils.rtu.lv/,TRUE,0.45,0.92,0.96,0.92
Latvia,,daugavpils.rtu.lv,https://daugavpils.rtu.lv/toposajiem-studentiem/,FALSE,0.63,0.96,1,0.92
Latvia,,dev.liepaja.lv,https://dev.liepaja.lv/,TRUE,0.3,0.83,0.75,0.92
Latvia,,dev.liepaja.lv,https://dev.liepaja.lv/liepajniekiem/,FALSE,0.28,0.78,0.75,0.83
