country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Portugal,,200anos.justica.gov.pt,https://200anos.justica.gov.pt/,TRUE,0.62,0.92,0.96,1
Portugal,,200anos.justica.gov.pt,https://200anos.justica.gov.pt/o-estado-democratico/o-ministerio-da-justica-na-atualidade/,FALSE,0.69,0.94,0.96,1
Portugal,,200anos.justica.gov.pt,https://200anos.justica.gov.pt/sessao-solene-dos-200-anos/,FALSE,0.65,0.94,1,0.92
Portugal,,4maravilhas.cm-mealhada.pt,https://4maravilhas.cm-mealhada.pt/,TRUE,0.3,0.59,0.79,0.83
Portugal,,4maravilhas.cm-mealhada.pt,https://4maravilhas.cm-mealhada.pt/menu/8/O_Projeto_/_A_Marca,FALSE,0.41,0.59,0.79,0.83
Portugal,,aaaa.madeira.gov.pt,https://aaaa.madeira.gov.pt/,TRUE,,1,1,0.91
Portugal,,abidjan.embaixadaportugal.mne.gov.pt,https://abidjan.embaixadaportugal.mne.gov.pt/,TRUE,0.75,0.87,0.79,0.64
Portugal,,abidjan.embaixadaportugal.mne.gov.pt,https://abidjan.embaixadaportugal.mne.gov.pt/pt/a-embaixada/noticias/elei%C3%A7%C3%A3o-para-a-assembleia-da-rep%C3%BAblica-2024-%E2%80%93-voto-postal-para-cidad%C3%A3os-nacionais-recenseados-na-costa-do-marfim,FALSE,0.87,0.91,1,0.83
Portugal,,abm.madeira.gov.pt,https://abm.madeira.gov.pt/,TRUE,0.51,0.89,1,0.92
Portugal,,abm.madeira.gov.pt,https://abm.madeira.gov.pt/destaque-2025-07/,FALSE,0.67,0.96,1,1
Portugal,,abrantes360.cm-abrantes.pt,https://abrantes360.cm-abrantes.pt/,TRUE,0.55,0.78,0.93,0.73
Portugal,,abudhabi.embaixadaportugal.mne.gov.pt,https://abudhabi.embaixadaportugal.mne.gov.pt/,TRUE,0.81,0.94,1,0.73
Portugal,,abudhabi.embaixadaportugal.mne.gov.pt,https://abudhabi.embaixadaportugal.mne.gov.pt/pt/a-embaixada/noticias/aviso-de-abertura-de-procedimento-concursal-%E2%80%93-1-um-uma-t%C3%A9cnico-a-superior,FALSE,0.87,0.91,1,0.91
Portugal,,abudhabi.embaixadaportugal.mne.gov.pt,https://abudhabi.embaixadaportugal.mne.gov.pt/pt/a-embaixada/noticias/encerramento-da-sec%C3%A7%C3%A3o-de-notariado-entre-os-dias-07-e-25-de-julho-de-2025,FALSE,0.81,0.89,1,0.91
Portugal,,ac.dgrdn.gov.pt,https://ac.dgrdn.gov.pt/,TRUE,0.92,0.38,0.89,0.82
Portugal,,ac.dgrdn.gov.pt,https://ac.dgrdn.gov.pt/envioreq/default.aspx,FALSE,0.98,0.42,0.89,0.82
Portugal,,academia.ama.gov.pt,https://academia.ama.gov.pt/,TRUE,0.5,0.74,0.74,0.91
Portugal,,academia.ama.gov.pt,https://academia.ama.gov.pt/course/view.php?id=853,FALSE,0.82,0.77,0.78,0.82
Portugal,,academia.ama.gov.pt,https://academia.ama.gov.pt/mod/page/view.php?id=31282,FALSE,0.57,0.84,1,0.91
Portugal,,academiaportuguesadahistoria.gov.pt,https://academiaportuguesadahistoria.gov.pt/,TRUE,0.54,0.98,1,0.92
Portugal,,accessmonitor.acessibilidade.gov.pt,https://accessmonitor.acessibilidade.gov.pt/,TRUE,0.72,1,1,0.92
Portugal,,accounts.recrutamento.cm-albufeira.pt,https://accounts.recrutamento.cm-albufeira.pt/,TRUE,1,0.7,0.89,0.5
Portugal,,accounts.recrutamento.cm-albufeira.pt,https://accounts.recrutamento.cm-albufeira.pt/auth/admin/,FALSE,1,0.88,0.93,0.54
Portugal,,aceconomiaonline.sgeconomia.gov.pt,https://aceconomiaonline.sgeconomia.gov.pt/,TRUE,0.39,0.78,0.82,0.92
Portugal,,aceconomiaonline.sgeconomia.gov.pt,https://aceconomiaonline.sgeconomia.gov.pt/viewer?id=997152,FALSE,0.25,0.85,0.79,0.66
Portugal,,acesso.edu.gov.pt,https://acesso.edu.gov.pt/,TRUE,0.94,0.75,0.96,0.75
Portugal,,acesso.gov.pt,https://acesso.gov.pt/,TRUE,1,0.77,0.89,0.82
Portugal,,acesso.recrutamento.ama.gov.pt,https://acesso.recrutamento.ama.gov.pt/,TRUE,1,0.7,0.89,0.5
Portugal,,acesso.recrutamento.ama.gov.pt,https://acesso.recrutamento.ama.gov.pt/auth/admin/,FALSE,1,0.88,0.93,0.54
Portugal,,acessoreservado.dgrm.mm.gov.pt,https://acessoreservado.dgrm.mm.gov.pt/,TRUE,0.56,0.58,0.89,0.91
Portugal,,acessoreservado.dgrm.mm.gov.pt,https://acessoreservado.dgrm.mm.gov.pt/xportal/xmain?xpid=dgrm&xpgid=homeV2,FALSE,0.56,0.58,0.89,0.91
Portugal,,acidentesrodoviarios.mai.gov.pt,https://acidentesrodoviarios.mai.gov.pt/,TRUE,0.99,0.79,0.86,0.82
Portugal,,acompanhamais.cm-tavira.pt,https://acompanhamais.cm-tavira.pt/,TRUE,0.77,0.77,1,0.92
Portugal,,acompanhamais.cm-tavira.pt,https://acompanhamais.cm-tavira.pt/index.php/metodologia/,FALSE,0.77,0.93,1,0.92
Portugal,,acordaosv22.tribunalconstitucional.pt,https://acordaosv22.tribunalconstitucional.pt/,TRUE,0.76,0.78,0.93,0.91
Portugal,,acordaosv22.tribunalconstitucional.pt,https://acordaosv22.tribunalconstitucional.pt/PesquisaAcordao/SitePolicy,FALSE,0.99,0.55,0.89,0.8
Portugal,,acpc.bnportugal.gov.pt,https://acpc.bnportugal.gov.pt/,TRUE,0.95,0.46,0.85,0.82
Portugal,,acpc.bnportugal.gov.pt,https://acpc.bnportugal.gov.pt/lista_cotas.html,FALSE,0.91,0.56,0.89,0.82
Portugal,,adavr.dglab.gov.pt,https://adavr.dglab.gov.pt/,TRUE,0.73,0.9,0.48,0.92
Portugal,,adavr.dglab.gov.pt,https://adavr.dglab.gov.pt/2025/05/13/incorporacao-de-livros-da-conservatoria-do-registo-civil-de-vale-de-cambra/,FALSE,0.77,0.87,0.48,0.92
Portugal,,adbgc.dglab.gov.pt,https://adbgc.dglab.gov.pt/,TRUE,0.82,0.87,0.48,1
Portugal,,adbgc.dglab.gov.pt,https://adbgc.dglab.gov.pt/2025/06/01/documento-do-mes-de-junho-2025-arquivo-de-familia-casa-de-sao-payo-de-vila-flor/,FALSE,0.4,0.87,0.46,0.92
Portugal,,adbgc.dglab.gov.pt,https://adbgc.dglab.gov.pt/2025/07/02/documento-do-mes-de-julho-2025-circular-do-bispo-joaquim-pereira-ferraz-do-ano-de-1850/,FALSE,0.74,0.87,0.48,0.92
Portugal,,adbja.dglab.gov.pt,https://adbja.dglab.gov.pt/,TRUE,0.72,0.89,0.48,0.92
Portugal,,adbja.dglab.gov.pt,https://adbja.dglab.gov.pt/arquivo-distrital-de-beja-participa-no-forum-vida-independente-a-assistencia-pessoal-na-vida-ativa-contexto-laboral/,FALSE,0.79,0.87,0.48,0.92
