country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Iceland,,abendingar.hafnarfjordur.is,https://abendingar.hafnarfjordur.is/,TRUE,0.87,1,0.96,1
Iceland,,abendingar.hafnarfjordur.is,https://abendingar.hafnarfjordur.is/user/login,FALSE,0.92,1,1,0.69
Iceland,,abendingar.reykjavik.is,https://abendingar.reykjavik.is/,TRUE,0.74,0.85,0.79,0.75
Iceland,,arbaejarskoli.reykjavik.is,https://arbaejarskoli.reykjavik.is/,TRUE,0.65,0.96,1,1
Iceland,,arbaejarskoli.reykjavik.is,https://arbaejarskoli.reykjavik.is/en/arbaejarskoli,FALSE,0.73,0.96,1,0.92
Iceland,,bifreidastaedasjodur.akureyri.is,https://bifreidastaedasjodur.akureyri.is/,TRUE,0.41,0.99,0.96,0.83
Iceland,,bifreidatolur.samgongustofa.is,https://bifreidatolur.samgongustofa.is/,TRUE,0.14,0.93,0.59,0.91
Iceland,,bifreidatolur.samgongustofa.is,https://bifreidatolur.samgongustofa.is/index.html,FALSE,0.21,0.93,0.59,0.91
Iceland,,bilastaedasjodur.reykjavik.is,https://bilastaedasjodur.reykjavik.is/,TRUE,0.56,0.89,0.96,0.82
Iceland,,bokasafn.kopavogur.is,https://bokasafn.kopavogur.is/,TRUE,0.43,0.88,1,1
Iceland,,bokasafn.kopavogur.is,https://bokasafn.kopavogur.is/2025/07/14/metadsokn-i-midri-viku-i-barnadeildinni/,FALSE,0.3,0.91,1,1
Iceland,,bokasafn.kopavogur.is,https://bokasafn.kopavogur.is/ungmennastarf/,FALSE,0.29,0.88,0.78,1
Iceland,,borgarvefsja.reykjavik.is,https://borgarvefsja.reykjavik.is/,TRUE,0.26,0.85,0.78,0.73
Iceland,,breidagerdisskoli.reykjavik.is,https://breidagerdisskoli.reykjavik.is/,TRUE,0.7,0.96,1,1
Iceland,,breidagerdisskoli.reykjavik.is,https://breidagerdisskoli.reykjavik.is/en/breidagerdisskoli,FALSE,0.63,0.96,1,0.92
Iceland,,breidagerdisskoli.reykjavik.is,https://breidagerdisskoli.reykjavik.is/starfsfolk,FALSE,0.6,0.96,1,0.92
Iceland,,dalskoli.reykjavik.is,https://dalskoli.reykjavik.is/,TRUE,0.68,0.96,1,1
Iceland,,dalskoli.reykjavik.is,https://dalskoli.reykjavik.is/en/dalskoli,FALSE,0.64,0.96,1,0.92
Iceland,,dalskoli.reykjavik.is,https://dalskoli.reykjavik.is/frettir/2025/skolasetning-dalskola-2025,FALSE,0.64,0.94,1,0.92
Iceland,,domstolar.is,https://domstolar.is/,TRUE,0.73,0.87,1,0.83
Iceland,,domstolar.is,https://domstolar.is/domstolasyslan/um-domstolasysluna/,FALSE,0.82,0.91,1,0.83
Iceland,,domstolar.is,https://domstolar.is/domstolasyslan/um-domstolasysluna/frettir/frett/2025/06/04/Arsskyrsla-2024-er-komin-ut/,FALSE,0.83,0.93,0.96,0.83
Iceland,,en.hafnarfjordur.is,https://en.hafnarfjordur.is/,TRUE,0.27,0.89,0.79,0.85
