country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Spain,,112.cantabria.es,https://112.cantabria.es/,TRUE,0.73,0.83,0.74,0.85
Spain,,112.cantabria.es,https://112.cantabria.es/noticias/cantabria-tendra-activados-el-viernes-los-avisos-amarillos-por-lluvia-y-tormentas,FALSE,0.29,,0.68,0.85
Spain,,112.cantabria.es,https://112.cantabria.es/noticias/liebana-estara-el-jueves-en-aviso-amarillo-por-lluvia-y-tormentas,FALSE,0.51,0.88,0.74,0.85
Spain,,112.castillalamancha.es,https://112.castillalamancha.es/,TRUE,0.66,0.95,0.96,0.92
Spain,,112.castillalamancha.es,https://112.castillalamancha.es/epc,FALSE,0.38,0.94,0.89,0.92
Spain,,112.jcyl.es,https://112.jcyl.es/,TRUE,0.55,0.88,1,0.92
Spain,,112.jcyl.es,https://112.jcyl.es/web/jcyl/112/es/PlantillaAccesoTuJCyL/1284178030391/_/_/_,FALSE,0.65,0.92,0.96,0.92
Spain,,112aragon.aragon.es,https://112aragon.aragon.es/,TRUE,0.65,0.92,0.74,1
Spain,,112aragon.aragon.es,https://112aragon.aragon.es/index.php/que-es-112,FALSE,0.48,0.87,0.74,1
Spain,,28dejulio.cantabria.es,https://28dejulio.cantabria.es/,TRUE,0.56,0.91,1,0.92
Spain,,28dejulio.cantabria.es,https://28dejulio.cantabria.es/simbolos-de-cantabria,FALSE,0.55,0.91,1,0.85
Spain,,5g.madrid.es,https://5g.madrid.es/,TRUE,0.29,0.93,0.79,0.92
Spain,,5g.madrid.es,https://5g.madrid.es/agenda-5g/,FALSE,0.51,0.87,1,0.92
Spain,,5g.madrid.es,https://5g.madrid.es/proyectos-y-corredores-5g/,FALSE,0.26,0.85,0.96,0.92
Spain,,aapl.academiasprocivil.aragon.es,https://aapl.academiasprocivil.aragon.es/,TRUE,0.55,0.75,0.96,0.85
Spain,,aapl.academiasprocivil.aragon.es,https://aapl.academiasprocivil.aragon.es/proceso-selectivo-unificado/,FALSE,0.58,0.75,0.96,0.85
Spain,,abiesweb.caib.es,http://abiesweb.caib.es/,TRUE,0.67,0.86,0.68,0.92
Spain,,absys.asturias.es,https://absys.asturias.es/,TRUE,0.63,0.97,0.96,0.92
Spain,,academiasprocivil.aragon.es,https://academiasprocivil.aragon.es/,TRUE,0.5,0.84,1,0.92
