country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Croatia,,aktivnosti.zagreb.hr,https://aktivnosti.zagreb.hr/,TRUE,0.57,0.81,0.96,0.83
Croatia,,aktivnosti.zagreb.hr,https://aktivnosti.zagreb.hr/ostalo/vijesti-134585/zagrebacki-kvartovi-zivlji-nego-ikad-pogledajte-sto-vas-sve-ocekuje/136651,FALSE,0.79,0.77,1,0.75
Croatia,,app.hakom.hr,https://app.hakom.hr/,TRUE,0.83,0.86,0.74,0.9
Croatia,,arcportal.zagreb.hr,https://arcportal.zagreb.hr/,TRUE,0.96,0.86,0.93,0.91
Croatia,,arhiva.pozega.hr,https://arhiva.pozega.hr/,TRUE,,0.91,0.96,0.69
Croatia,,arhiva.pozega.hr,https://arhiva.pozega.hr/index.php?option=com_k2&view=item&id=5846:cestitka-gradonacelnika-u-prigodi-obiljezavanja-dana-drzavnosti-republike-hrvatske&Itemid=323,FALSE,0.35,0.91,0.71,0.77
Croatia,,azop.hr,https://azop.hr/,TRUE,0.29,0.76,0.96,0.85
Croatia,,azop.hr,https://azop.hr/djelokrug/,FALSE,0.28,0.75,0.96,0.77
Croatia,,azop.hr,https://azop.hr/en/naslovna-english/,FALSE,0.04,0.72,0.96,0.77
Croatia,,buswebshop.dubrovnik.hr,https://buswebshop.dubrovnik.hr/,TRUE,0.9,0.92,0.96,1
Croatia,,buswebshop.dubrovnik.hr,https://buswebshop.dubrovnik.hr/en/disembarkationboarding-time-change,FALSE,0.92,0.89,1,0.92
Croatia,,buswebshop.dubrovnik.hr,https://buswebshop.dubrovnik.hr/en/privacy-policy,FALSE,0.61,0.87,0.96,0.92
Croatia,,data.zagreb.hr,https://data.zagreb.hr/,TRUE,0.69,0.84,1,0.83
Croatia,,data.zagreb.hr,https://data.zagreb.hr/dataset/,FALSE,0.71,0.81,0.81,0.75
Croatia,,data.zagreb.hr,https://data.zagreb.hr/dataset?tags=grad+zagreb,FALSE,0.52,0.84,0.82,0.75
Croatia,,dzo.hzzo.hr,https://dzo.hzzo.hr/,TRUE,0.85,0.88,0.96,1
Croatia,,dzo.hzzo.hr,https://dzo.hzzo.hr/najcesca-pitanja,FALSE,0.89,0.88,0.96,1
Croatia,,dzo.hzzo.hr,https://dzo.hzzo.hr/obrasci,FALSE,0.63,0.83,0.96,1
Croatia,,e-pisarnica.zagreb.hr,https://e-pisarnica.zagreb.hr/,TRUE,0.7,1,0.96,0.8
Croatia,,e-usluge.hzzo.hr,https://e-usluge.hzzo.hr/,TRUE,0.95,0.87,1,0.92
Croatia,,e-usluge3.rijeka.hr,https://e-usluge3.rijeka.hr/,TRUE,0.95,0.76,0.93,0.92
Croatia,,edoc.sabor.hr,https://edoc.sabor.hr/,TRUE,0.68,0.89,0.67,0.91
Croatia,,edoc.sabor.hr,https://edoc.sabor.hr/Default.aspx,FALSE,0.65,0.83,0.7,0.9
Croatia,,ejednostavnanabava.zagreb.hr,https://ejednostavnanabava.zagreb.hr/,TRUE,0.64,0.74,1,0.75
Croatia,,ejednostavnanabava.zagreb.hr,https://ejednostavnanabava.zagreb.hr/Nabava?,FALSE,0.65,0.74,1,0.75
Croatia,,eko.zagreb.hr,https://eko.zagreb.hr/,TRUE,0.66,0.55,1,0.82
