country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Hungary,,1000fa.szombathely.hu,https://1000fa.szombathely.hu/,TRUE,0.45,0.87,0.93,0.92
Hungary,,150.budapest.hu,https://150.budapest.hu/,TRUE,0.64,0.97,0.96,0.92
Hungary,,150.budapest.hu,https://150.budapest.hu/esemeny/bubla-eva-lelegzesre-kijelolt-hely-placcc-extra,FALSE,0.86,0.96,0.96,0.85
Hungary,,2010-2014.kormany.hu,https://2010-2014.kormany.hu/,TRUE,0.58,0.52,0.96,1
Hungary,,2010-2014.kormany.hu,https://2010-2014.kormany.hu/en/ministry-for-national-economy/news/the-central-sub-sector-of-the-state-budget-closed-the-month-of-may-with-a-significant-surplus,FALSE,0.39,0.55,0.5,1
Hungary,,2010-2014.kormany.hu,https://2010-2014.kormany.hu/en/prime-minister-s-office/news/prime-minister-central-europe-must-receive-security-guarantees,FALSE,0.66,0.46,0.56,0.92
Hungary,,2015-2019.kormany.hu,https://2015-2019.kormany.hu/,TRUE,0.56,0.52,0.74,0.85
Hungary,,2015-2019.kormany.hu,https://2015-2019.kormany.hu/en/news/from-thursday-hungarians-are-allowed-to-travel-to-romania-without-quarantine-obligation,FALSE,0.43,0.52,0.68,1
Hungary,,2015-2019.kormany.hu,https://2015-2019.kormany.hu/en/the-prime-minister/news/fight-against-coronavirus-epidemic-will-be-the-most-important-topic,FALSE,0.56,0.58,0.96,1
Hungary,,adatvedelem.police.hu,https://adatvedelem.police.hu/,TRUE,0.56,0.8,0.96,0.85
Hungary,,adatvedelem.police.hu,https://adatvedelem.police.hu/hirfolyam/-/blogs/uzemzavar-a-rendorseg-adatvedelmi-p?_com_liferay_blogs_web_portlet_BlogsPortlet_redirect=https%3A%2F%2Fadatvedelem.police.hu%2Fhirfolyam%3Fp_p_id%3Dcom_liferay_blogs_web_portlet_BlogsPortlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26_com_liferay_blogs_web_portlet_BlogsPortlet_cur%3D1%26_com_liferay_blogs_web_portlet_BlogsPortlet_delta%3D5,FALSE,0.56,0.8,0.96,0.85
Hungary,,adatvedelem.police.hu,https://adatvedelem.police.hu/home?p_p_id=it_smc_liferay_privacy_web_portlet_PrivacyPortlet&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_it_smc_liferay_privacy_web_portlet_PrivacyPortlet_jspPage=%2Fdisplay%2Fview_privacy_policy.jsp,FALSE,0.47,0.87,0.96,0.92
Hungary,,akadalymentes.2015-2019.kormany.hu,https://akadalymentes.2015-2019.kormany.hu/,TRUE,1,0.72,0.78,0.82
Hungary,,akadalymentes.2015-2019.kormany.hu,https://akadalymentes.2015-2019.kormany.hu/en/ministry-for-innovation-and-technology,FALSE,0.95,0.72,0.93,0.82
Hungary,,akadalymentes.2015-2019.kormany.hu,https://akadalymentes.2015-2019.kormany.hu/en/the-prime-minister/news/fight-against-coronavirus-epidemic-will-be-the-most-important-topic,FALSE,0.93,0.67,0.96,0.91
Hungary,,akr.kormany.hu,https://akr.kormany.hu/,TRUE,0.59,0.7,0.56,0.91
