country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Cyprus,,aigli.nicosia.org.cy,https://aigli.nicosia.org.cy/,TRUE,0.34,0.87,0.78,0.85
Cyprus,,aigli.nicosia.org.cy,https://aigli.nicosia.org.cy/epofelisou-kai-esy/,FALSE,0.64,0.92,1,0.85
Cyprus,,aigli.nicosia.org.cy,https://aigli.nicosia.org.cy/schetika-me-to-programma/,FALSE,0.34,0.91,0.96,0.85
Cyprus,,aradippou.org.cy,https://aradippou.org.cy/,TRUE,0.77,0.95,1,0.83
Cyprus,,aradippou.org.cy,https://aradippou.org.cy/%ce%b1%ce%bb%ce%bb%ce%b1%ce%b3%ce%ae-%cf%80%cf%81%ce%bf%ce%b3%cf%81%ce%ac%ce%bc%ce%bc%ce%b1%cf%84%ce%bf%cf%82-%cf%83%cf%85%ce%bb%ce%bb%ce%bf%ce%b3%ce%ae%cf%82-%ce%b1%ce%bd%ce%b1%ce%ba%cf%85%ce%ba/,FALSE,0.39,0.87,0.96,0.92
Cyprus,,aradippou.org.cy,https://aradippou.org.cy/%ce%be%ce%b5%ce%ba%ce%b9%ce%bd%ce%bf%cf%8d%ce%bd-%cf%84%ce%bf%ce%bd-%ce%b9%ce%bf%cf%8d%ce%bb%ce%b9%ce%bf-%ce%bf%ce%b9-%ce%b5%cf%81%ce%b3%ce%b1%cf%83%ce%af%ce%b5%cf%82-%ce%b3%ce%b9%ce%b1-%ce%bd%ce%ad/,FALSE,0.73,0.91,0.96,0.92
Cyprus,,pafos.org.cy,https://pafos.org.cy/,TRUE,0.63,0.84,0.96,0.92
Cyprus,,pafos.org.cy,https://pafos.org.cy/ked/,FALSE,0.65,0.71,0.96,0.92
Cyprus,,pafos.org.cy,https://pafos.org.cy/smart-city/,FALSE,0.41,0.83,0.93,0.92
Cyprus,,www.centralbank.cy,https://www.centralbank.cy/,TRUE,0.68,0.84,0.78,0.75
Cyprus,,www.centralbank.cy,https://www.centralbank.cy/en/the-bank,FALSE,0.81,0.82,0.78,0.67
Cyprus,,www.edx.centralbank.cy,https://www.edx.centralbank.cy/,TRUE,0.9,0.84,0.85,0.91
Cyprus,,www.larnaka.org.cy,https://www.larnaka.org.cy/,TRUE,0.41,0.89,0.82,0.92
Cyprus,,www.larnaka.org.cy,https://www.larnaka.org.cy/en/,FALSE,0.27,0.92,0.82,0.85
Cyprus,,www.larnaka.org.cy,https://www.larnaka.org.cy/enimerosi/politistikes-drastiriotites-draseis/imerologio-ekdiloseon/,FALSE,0.22,0.88,0.81,0.85
Cyprus,,www.nicosia.org.cy,https://www.nicosia.org.cy/,TRUE,0.6,0.77,0.78,0.92
Cyprus,,www.nicosia.org.cy,https://www.nicosia.org.cy/el-GR/news/announcements/2024/20572/,FALSE,0.92,0.76,0.81,0.83
Cyprus,,www.nicosia.org.cy,https://www.nicosia.org.cy/el-GR/news/nicosia-international-festival/2024-2025/,FALSE,0.61,0.74,0.82,0.83
Cyprus,,www.parliament.cy,https://www.parliament.cy/,TRUE,0.33,0.94,0.81,0.92
Cyprus,,www.parliament.cy,https://www.parliament.cy/el/%CE%BA%CE%BF%CE%B9%CE%BD%CE%BF%CE%B2%CE%BF%CF%85%CE%BB%CE%B5%CF%85%CF%84%CE%B9%CE%BA%CE%AE-%CE%B4%CE%B9%CF%80%CE%BB%CF%89%CE%BC%CE%B1%CF%84%CE%AF%CE%B1,FALSE,0.55,0.95,0.81,0.92
Cyprus,,www.parliament.cy,https://www.parliament.cy/el/contact/cookies-policy,FALSE,0.56,0.86,0.79,0.83
Cyprus,,www.strovolos.org.cy,https://www.strovolos.org.cy/,TRUE,0.51,0.74,0.96,0.92
Cyprus,,www.strovolos.org.cy,https://www.strovolos.org.cy/aitisi-gia-chrisi-prosorino-kleisimo-dimosiou-dromou/,FALSE,0.58,0.89,1,0.92
Cyprus,,www.strovolos.org.cy,https://www.strovolos.org.cy/archiki-selida/exipiretisi-dimoton/genikes-plirofories/e-strovolos-pliromes-meso-diadiktiou/,FALSE,0.26,0.8,0.96,0.92
