country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Greece,,0260.syzefxis.gov.gr,https://0260.syzefxis.gov.gr/,TRUE,0.74,0.82,0.96,0.82
Greece,,0260.syzefxis.gov.gr,https://0260.syzefxis.gov.gr/index.php,FALSE,0.74,0.82,0.96,0.82
Greece,,0807.syzefxis.gov.gr,https://0807.syzefxis.gov.gr/,TRUE,0.84,0.84,0.75,0.92
Greece,,0807.syzefxis.gov.gr,https://0807.syzefxis.gov.gr/%ce%b4%ce%b5%ce%bb%cf%84%ce%b9%ce%bf-%cf%84%cf%85%cf%80%ce%bf%cf%85-%cf%85%cf%80%ce%bf%ce%b4%ce%b9%ce%b5%cf%85%ce%b8%cf%85%ce%bd%cf%83%ce%b7%cf%83-%ce%ba%cf%84%ce%b7%ce%bd%ce%b9%ce%b1%cf%84%cf%81/,FALSE,0.84,0.81,0.74,0.92
Greece,,0807.syzefxis.gov.gr,https://0807.syzefxis.gov.gr/%cf%80%ce%b5%cf%81%ce%b9%ce%b2%ce%ac%ce%bb%ce%bb%ce%bf%ce%bd/,FALSE,0.79,0.87,0.75,0.92
Greece,,1555.gov.gr,https://1555.gov.gr/,TRUE,0.13,0.86,1,0.92
Greece,,1555.gov.gr,https://1555.gov.gr/politiki-cookies/,FALSE,0.36,0.9,0.82,0.92
Greece,,1555.gov.gr,https://1555.gov.gr/vinteoklisi-stin-noimatiki/,FALSE,0.17,0.9,0.59,0.92
Greece,,1click.minagric.gr,https://1click.minagric.gr/,TRUE,0.96,0.84,0.96,0.91
Greece,,200years.mfa.gr,https://200years.mfa.gr/,TRUE,0.8,1,1,1
Greece,,200years.mfa.gr,https://200years.mfa.gr/en/international-treaties-en/,FALSE,0.82,0.96,1,1
Greece,,2013.anaptyxi.gov.gr,https://2013.anaptyxi.gov.gr/,TRUE,0.37,0.85,0.74,0.75
Greece,,2013.anaptyxi.gov.gr,https://2013.anaptyxi.gov.gr/ODHelp.aspx,FALSE,0.56,0.75,0.74,0.75
