country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Slovakia,,amfik.trnava.sk,https://amfik.trnava.sk/,TRUE,0.31,0.87,1,0.82
Slovakia,,archivzverejnovanie.bratislava.sk,https://archivzverejnovanie.bratislava.sk/,TRUE,0.92,0.97,0.96,0.92
Slovakia,,archivzverejnovanie.bratislava.sk,https://archivzverejnovanie.bratislava.sk/msp/id_osnovy=80848&p1=80848,FALSE,0.84,0.92,0.93,0.83
Slovakia,,bajkujvmeste.trnava.sk,https://bajkujvmeste.trnava.sk/,TRUE,0.58,0.81,1,0.69
Slovakia,,bajkujvmeste.trnava.sk,https://bajkujvmeste.trnava.sk/2023/05/16/verejne-obchodne-podmienky/,FALSE,0.82,0.91,1,0.85
Slovakia,,bratislava.sk,https://bratislava.sk/,TRUE,0.81,0.97,0.79,1
Slovakia,,bratislava.sk,https://bratislava.sk/vyhladavanie,FALSE,0.73,0.93,0.78,0.92
Slovakia,,bratislava.sk,https://bratislava.sk/zivotne-prostredie-a-vystavba/rozvoj-mesta/uzemnoplanovacie-dokumenty/aktualne-obstaravana-uzemnoplanovacia-dokumentacia/uzemny-plan-mesta,FALSE,0.69,0.92,0.79,1
Slovakia,,cipc.gov.sk,https://cipc.gov.sk/,TRUE,0.44,0.98,1,0.92
Slovakia,,cipc.gov.sk,https://cipc.gov.sk/cipcidsk?page_id=12,FALSE,0.64,1,1,0.92
Slovakia,,cisss.gov.sk,https://cisss.gov.sk/,TRUE,0.59,1,1,0.92
Slovakia,,cisss.gov.sk,https://cisss.gov.sk/cookies,FALSE,0.68,1,0.96,0.92
Slovakia,,coplanuje.zilina.sk,https://coplanuje.zilina.sk/,TRUE,0.76,0.82,1,0.92
Slovakia,,coplanuje.zilina.sk,https://coplanuje.zilina.sk/projekty/,FALSE,0.65,0.82,1,0.92
Slovakia,,crp.gov.sk,https://crp.gov.sk/,TRUE,0.85,0.89,1,0.91
Slovakia,,crp.gov.sk,https://crp.gov.sk/digitalizacia-a-procesnej-optimalizacie-pre-industry-partner-sro/?csrt=14369706242246211736,FALSE,0.83,0.86,1,0.91
Slovakia,,crp.gov.sk,https://crp.gov.sk/digitalizacia-a-procesnej-optimalizacie-pre-industry-partner-sro/?csrt=652509932648624495,FALSE,0.84,0.86,0.96,0.91
Slovakia,,crz.gov.sk,https://crz.gov.sk/,TRUE,0.76,0.97,1,0.92
Slovakia,,crz.gov.sk,https://crz.gov.sk/?csrt=11026627107249402170,FALSE,0.81,0.97,1,0.92
