country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Austria,,48ertandler.wien.gv.at,https://48ertandler.wien.gv.at/,TRUE,0.66,0.84,0.96,0.77
Austria,,48ertandler.wien.gv.at,https://48ertandler.wien.gv.at/abfallvermeidung-in-wien/,FALSE,0.74,0.93,0.81,0.85
Austria,,48ertandler.wien.gv.at,https://48ertandler.wien.gv.at/adv-login.php?redirect_to=https%3A%2F%2F48ertandler.wien.gv.at%2F,FALSE,0.52,0.96,1,0.92
Austria,,abfallberatung.wien.gv.at,https://abfallberatung.wien.gv.at/,TRUE,0.57,0.96,0.96,0.92
Austria,,abfallberatung.wien.gv.at,https://abfallberatung.wien.gv.at/unser-angebot/fuer-gross-und-klein/,FALSE,0.59,0.95,0.96,0.92
Austria,,abfallberatung.wien.gv.at,https://abfallberatung.wien.gv.at/unser-angebot/unterrichtsmaterial/,FALSE,0.34,0.96,0.93,0.92
Austria,,anmeldung.tirol.gv.at,https://anmeldung.tirol.gv.at/,TRUE,0.79,0.99,0.89,0.66
Austria,,anwendungen.wien.gv.at,https://anwendungen.wien.gv.at/,TRUE,0.76,0.94,1,0.83
Austria,,app.hydrographie.steiermark.at,https://app.hydrographie.steiermark.at/,TRUE,0.86,0.91,0.89,0.91
Austria,,appointment.bmeia.gv.at,https://appointment.bmeia.gv.at/,TRUE,0.75,0.79,0.93,0.9
Austria,,apps.bgld.gv.at,https://apps.bgld.gv.at/,TRUE,0.72,0.91,0.82,0.82
Austria,,apps.bgld.gv.at,https://apps.bgld.gv.at/web/egov.nsf,FALSE,0.83,0.91,0.82,0.82
Austria,,atlas.noe.gv.at,https://atlas.noe.gv.at/,TRUE,0.37,0.83,0.81,0.5
Austria,,ausschreibungen.usp.gv.at,https://ausschreibungen.usp.gv.at/,TRUE,0.63,0.97,0.96,1
Austria,,ausschreibungen.usp.gv.at,https://ausschreibungen.usp.gv.at/at.gv.bmdw.eproc-p/public/tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-4c968f4d-2f2a-48d7-8dba-2b3841435e65&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9sb2FkPXRydWU=&orderColumn=2&orderDir=desc&start=0,FALSE,0.57,1,0.96,1
Austria,,ausschreibungen.usp.gv.at,https://ausschreibungen.usp.gv.at/at.gv.bmdw.eproc-p/public/tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-8152122f-604b-455c-87c8-7af669109411&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9sb2FkPXRydWU=&orderColumn=2&orderDir=desc&start=0,FALSE,0.65,1,0.96,1
Austria,,buechereien.wien.gv.at,https://buechereien.wien.gv.at/,TRUE,0.67,0.89,0.78,0.83
Austria,,buechereien.wien.gv.at,https://buechereien.wien.gv.at/Mediensuche/Einfache-Suche,FALSE,0.5,0.86,0.81,0.83
Austria,,buechereien.wien.gv.at,https://buechereien.wien.gv.at/Privacy,FALSE,0.47,0.86,0.79,0.83
Austria,,chat.bmf.gv.at,https://chat.bmf.gv.at/,TRUE,0.64,0.8,1,0.9
Austria,,chat.oesterreich.gv.at,https://chat.oesterreich.gv.at/,TRUE,0.65,0.94,1,0.9
Austria,,citizen.bmi.gv.at,https://citizen.bmi.gv.at/,TRUE,0.79,0.95,0.96,0.83
Austria,,cloud.wien.gv.at,https://cloud.wien.gv.at/,TRUE,0.44,1,0.82,0.54
Austria,,cms.bmeia.gv.at,https://cms.bmeia.gv.at/,TRUE,0.67,0.93,0.82,0.85
Austria,,cms.bmeia.gv.at,https://cms.bmeia.gv.at/ministerium/presse/aktuelles/alle/2025/07/zukunft-des-nahen-ostens-im-fokus-der-gespraeche-von-aussenministerin-meinl-reisinger-mit-amtskollegen-aus-deutschland-und-israel-in-wien,FALSE,0.78,0.84,0.82,0.85
Austria,,diehelferwiens.wien.gv.at,https://diehelferwiens.wien.gv.at/,TRUE,0.63,0.96,0.96,0.83
Austria,,digitales.wien.gv.at,https://digitales.wien.gv.at/,TRUE,0.66,0.96,0.96,0.92
Austria,,digitales.wien.gv.at,https://digitales.wien.gv.at/?s=,FALSE,0.53,0.97,0.93,0.58
Austria,,digitales.wien.gv.at,https://digitales.wien.gv.at/e-government/,FALSE,0.75,0.92,0.96,0.92
Austria,,dlr.bmaw.gv.at,https://dlr.bmaw.gv.at/,TRUE,0.9,0.9,0.7,0.58
Austria,,doris.ooe.gv.at,https://doris.ooe.gv.at/,TRUE,0.78,1,1,0.92
Austria,,doris.ooe.gv.at,https://doris.ooe.gv.at/default.aspx,FALSE,0.67,1,1,0.92
Austria,,e-government.steiermark.at,https://e-government.steiermark.at/,TRUE,0.63,0.9,1,1
Austria,,e-government.steiermark.at,https://e-government.steiermark.at/cms/ziel/34802928/DE/,FALSE,0.65,0.93,1,0.92
Austria,,eap.wien.gv.at,https://eap.wien.gv.at/,TRUE,0.82,0.7,0.86,0.92
Austria,,eap.wien.gv.at,https://eap.wien.gv.at/Ausbildungsgaenge.aspx?lang=de,FALSE,0.85,0.83,0.82,0.92
Austria,,eap.wien.gv.at,https://eap.wien.gv.at/Berufsliste.aspx?lang=de,FALSE,0.66,0.74,0.89,0.92
Austria,,ec.bmf.gv.at,https://ec.bmf.gv.at/,TRUE,1,0.55,0.85,0.8
Austria,,edikte.justiz.gv.at,https://edikte.justiz.gv.at/,TRUE,0.82,0.91,0.96,0.83
Austria,,edikte.justiz.gv.at,https://edikte.justiz.gv.at/edikte/km/eredi24.nsf/docs/voraberv,FALSE,0.61,0.86,1,0.83
