country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Finland,,asiointi.oikeus.fi,https://asiointi.oikeus.fi/,TRUE,0.73,1,1,1
Finland,,asiointi.oikeus.fi,https://asiointi.oikeus.fi/karajaoikeus-haastehakemus,FALSE,0.72,0.93,1,0.82
Finland,,asiointi.oikeus.fi,https://asiointi.oikeus.fi/konkurssiasiamies,FALSE,0.6,1,1,1
Finland,,asiointi.okm.fi,https://asiointi.okm.fi/,TRUE,0.76,0.86,0.96,0.83
Finland,,asiointi.okm.fi,https://asiointi.okm.fi/asiointi/desktop/ownapplications/listStart,FALSE,0.78,0.86,0.96,0.83
Finland,,asiointi.poliisi.fi,https://asiointi.poliisi.fi/,TRUE,0.65,1,1,0.91
Finland,,asiointi.poliisi.fi,https://asiointi.poliisi.fi/yksityis,FALSE,0.2,0.97,1,0.91
Finland,,asiointi.poliisi.fi,https://asiointi.poliisi.fi/yritys,FALSE,0.63,1,1,0.91
Finland,,asiointi.tulli.fi,https://asiointi.tulli.fi/,TRUE,0.39,0.98,0.96,0.83
Finland,,avi.fi,https://avi.fi/,TRUE,0.71,0.96,1,0.92
Finland,,avi.fi,https://avi.fi/asioi/henkiloasiakas,FALSE,0.32,0.93,0.96,0.92
Finland,,avi.fi,https://avi.fi/tapahtumat-ja-koulutukset,FALSE,0.7,0.93,1,0.92
Finland,,blogi.thl.fi,https://blogi.thl.fi/,TRUE,0.85,1,0.93,0.92
Finland,,blogi.thl.fi,https://blogi.thl.fi/saastojen-keskella-ei-saa-unohtaa-haavoittuvimpia-pakolaistaustaisten-mielenterveyden-tuelle-taattava-resurssit-myos-jatkossa/,FALSE,0.97,1,0.93,1
Finland,,blogi.thl.fi,https://blogi.thl.fi/sosiaali-ja-terveydenhuollon-asiakasmaksut-saattavat-nousta-vastedes-aiempaa-enemman-hallitus-haluaa-sitoa-maksut-hyvinvointialueindeksiin/,FALSE,0.68,1,0.93,1
Finland,,budjetti.vm.fi,https://budjetti.vm.fi/,TRUE,1,0.93,0.89,0.91
Finland,,budjetti.vm.fi,https://budjetti.vm.fi/index.jsp;jsessionid=ho3frgv6BdQoErkMOYPCumP9jibYYXhZuw3skU-1.vmbukweb01p,FALSE,0.94,0.93,0.7,0.91
Finland,,budjetti.vm.fi,https://budjetti.vm.fi/index.jsp;jsessionid=r3YYPqNG1DY5F13hI7VL1rLiMcf-spEoz1uAoY_P.vmbukweb02p,FALSE,0.98,0.93,0.68,0.91
Finland,,eventilla.avi.fi,https://eventilla.avi.fi/,TRUE,0.93,0.86,0.96,1
Finland,,fimea.fi,https://fimea.fi/,TRUE,0.59,0.96,0.96,0.92
Finland,,fimea.fi,https://fimea.fi/-/apteekkilupien-sahkoinen-haku-uudistuu-pian-siirtymaaikana-hakemukset-toimitetaan-kirjaamoon,FALSE,0.8,0.96,1,0.92
Finland,,fimea.fi,https://fimea.fi/laakehaut_ja_luettelot/saatavuushairio-uusi,FALSE,0.31,0.93,0.96,0.83
Finland,,hiilineutraalisuomi.syke.fi,https://hiilineutraalisuomi.syke.fi/,TRUE,0.7,0.97,1,0.85
Finland,,hiilineutraalisuomi.syke.fi,https://hiilineutraalisuomi.syke.fi/anna-palautetta/,FALSE,0.61,0.97,1,0.92
Finland,,hiilineutraalisuomi.syke.fi,https://hiilineutraalisuomi.syke.fi/ota-paastotiedot-haltuun-uusien-ohjemateriaalien-avulla/,FALSE,0.78,0.97,1,0.92
Finland,,id.businessfinland.fi,https://id.businessfinland.fi/,TRUE,0.68,0.89,1,0.63
Finland,,kala-asiointi.mmm.fi,https://kala-asiointi.mmm.fi/,TRUE,0.45,0.78,1,0.42
Finland,,kartat-tieto.traficom.fi,https://kartat-tieto.traficom.fi/,TRUE,0.55,,1,0.75
Finland,,kehittajille.suomi.fi,https://kehittajille.suomi.fi/,TRUE,0.89,1,1,1
Finland,,kehittajille.suomi.fi,https://kehittajille.suomi.fi/oppaat/kokonaisarkkitehtuuri,FALSE,0.59,1,0.93,1
Finland,,kehittajille.suomi.fi,https://kehittajille.suomi.fi/oppaat/vastuullinen-tekoaly,FALSE,0.91,1,0.93,1
Finland,,kiertotalousratkaisuja.syke.fi,https://kiertotalousratkaisuja.syke.fi/,TRUE,0.74,1,1,0.85
Finland,,kiertotalousratkaisuja.syke.fi,https://kiertotalousratkaisuja.syke.fi/muovipakkausten-ja-tuotteiden-uudelleenkaytto-yhteiskehittamisella-kiertotalouteen/,FALSE,0.69,1,1,0.92
Finland,,kiertotalousratkaisuja.syke.fi,https://kiertotalousratkaisuja.syke.fi/tietoa-meista/yhteystiedot/,FALSE,0.59,1,1,0.85
Finland,,kiinteistovalvonta.defmin.fi,https://kiinteistovalvonta.defmin.fi/,TRUE,0.61,1,0.96,0.91
Finland,,kiinteistovalvonta.defmin.fi,https://kiinteistovalvonta.defmin.fi/select-service,FALSE,0.61,1,0.96,0.91
Finland,,koodistot.suomi.fi,https://koodistot.suomi.fi/,TRUE,0.15,0.77,1,0.75
Finland,,koodistot.suomi.fi,https://koodistot.suomi.fi/codescheme;registryCode=kunta-yhtet;schemeCode=ipvsToimijoidenPalveluroolit,FALSE,0.45,0.7,1,0.82
Finland,,koodistot.suomi.fi,https://koodistot.suomi.fi/codescheme;registryCode=ptv;schemeCode=3X10D,FALSE,0.61,0.7,1,0.82
Finland,,kumppanit.kela.fi,https://kumppanit.kela.fi/,TRUE,0.83,0.59,0.7,0.82
Finland,,laatutyokalut.suomi.fi,https://laatutyokalut.suomi.fi/,TRUE,0.77,1,0.96,1
Finland,,laatutyokalut.suomi.fi,https://laatutyokalut.suomi.fi/feedback/5f33ba81-8909-4d4b-96bc-9d30fe401988,FALSE,0.9,1,1,1
Finland,,laskurit.kela.fi,https://laskurit.kela.fi/,TRUE,0.52,0.95,1,0.91
Finland,,laskurit.kela.fi,https://laskurit.kela.fi/raskaus-ja-vanhempainrahapaivien-laskuri,FALSE,0.58,1,1,0.91
Finland,,metsavarasuostumus.metsakeskus.fi,https://metsavarasuostumus.metsakeskus.fi/,TRUE,1,1,0.96,0.91
Finland,,migri.fi,https://migri.fi/,TRUE,0.59,0.97,0.96,1
Finland,,migri.fi,https://migri.fi/fi,FALSE,0.29,0.97,0.96,1
Finland,,migri.fi,https://migri.fi/sv/start,FALSE,0.6,0.97,0.96,1
Finland,,mmm.fi,https://mmm.fi/,TRUE,0.55,0.86,1,0.92
Finland,,mmm.fi,https://mmm.fi/fi,FALSE,0.54,0.86,1,0.92
Finland,,my-beta.businessfinland.fi,https://my-beta.businessfinland.fi/,TRUE,0.58,0.84,0.78,0.73
Finland,,my-beta.businessfinland.fi,https://my-beta.businessfinland.fi/fi/portal,FALSE,0.56,0.84,0.78,0.73
Finland,,oikeusministerio.fi,https://oikeusministerio.fi/,TRUE,0.63,0.88,1,1
Finland,,oikeusministerio.fi,https://oikeusministerio.fi/-/komission-oikeusvaltiokertomus-kansalaisten-luottamus-oikeuslaitoksen-riippumattomuuteen-suomessa-eu-n-korkein-,FALSE,0.7,0.92,1,0.92
Finland,,otos.stat.fi,https://otos.stat.fi/,TRUE,0.34,0.84,0.96,0.83
Finland,,otos.stat.fi,https://otos.stat.fi/collections/fa910fa4-0f6f-4bd9-aafd-c0f064cf52ae,FALSE,0.39,0.88,0.96,0.92
Finland,,otos.stat.fi,https://otos.stat.fi/communities/6f393d6e-2dbd-46cc-81a8-e42840930542/subcoms-cols,FALSE,0.2,0.91,0.96,0.83
Finland,,palaute.kela.fi,https://palaute.kela.fi/,TRUE,0.23,0.92,0.75,0.92
Finland,,palveluhallinta.suomi.fi,https://palveluhallinta.suomi.fi/,TRUE,0.55,0.94,0.96,0.83
Finland,,perhevapaavertailu.kela.fi,https://perhevapaavertailu.kela.fi/,TRUE,0.59,0.89,0.71,1
Finland,,pouta.poliisi.fi,https://pouta.poliisi.fi/,TRUE,0.75,0.92,0.96,0.83
Finland,,ryhti.syke.fi,https://ryhti.syke.fi/,TRUE,0.77,0.96,1,0.92
Finland,,ryhti.syke.fi,https://ryhti.syke.fi/?s,FALSE,0.54,0.99,1,0.5
Finland,,ryhti.syke.fi,https://ryhti.syke.fi/palvelut/palvelut-tiedon-hyodyntajille/,FALSE,0.69,1,1,0.92
Finland,,sampo.thl.fi,https://sampo.thl.fi/,TRUE,1,0.77,0.93,0.54
Finland,,sanastot.suomi.fi,https://sanastot.suomi.fi/,TRUE,0.76,0.96,1,1
Finland,,sanastot.suomi.fi,https://sanastot.suomi.fi/terminology/dac7,FALSE,0.76,0.95,1,1
Finland,,sanastot.suomi.fi,https://sanastot.suomi.fi/terminology/meluntorjunta,FALSE,0.5,0.96,0.96,1
Finland,,secmail.fimea.fi,https://secmail.fimea.fi/,TRUE,0.66,0.96,0.96,0.58
Finland,,securemail.kela.fi,https://securemail.kela.fi/,TRUE,0.65,1,0.96,0.58
Finland,,securemail.migri.fi,https://securemail.migri.fi/,TRUE,0.64,1,0.93,0.58
Finland,,securemail.poliisi.fi,https://securemail.poliisi.fi/,TRUE,0.65,0.96,0.93,0.58
Finland,,securemail.traficom.fi,https://securemail.traficom.fi/,TRUE,0.58,1,0.93,0.58
Finland,,sic.fimea.fi,https://sic.fimea.fi/,TRUE,0.83,1,1,0.92
Finland,,sic.fimea.fi,https://sic.fimea.fi/-/fimea-selvittaa-miten-laakkeiden-koneellista-annosjakelua-tulisi-kehittaa,FALSE,0.74,1,1,0.92
Finland,,sic.fimea.fi,https://sic.fimea.fi/fi,FALSE,0.42,1,1,0.92
Finland,,sosmeta.thl.fi,https://sosmeta.thl.fi/,TRUE,0.75,1,0.96,0.58
Finland,,sosmeta.thl.fi,https://sosmeta.thl.fi/data-components,FALSE,0.75,0.9,0.96,0.58
Finland,,sosmeta.thl.fi,https://sosmeta.thl.fi/document-definitions/list,FALSE,0.82,1,0.96,0.58
Finland,,sotesanastot.thl.fi,https://sotesanastot.thl.fi/,TRUE,0.72,1,0.93,0.92
Finland,,sotesanastot.thl.fi,https://sotesanastot.thl.fi/search,FALSE,0.71,0.96,0.93,0.92
Finland,,sp.traficom.fi,https://sp.traficom.fi/,TRUE,1,0.83,0.89,0.83
Finland,,stat.fi,https://stat.fi/,TRUE,0.78,1,0.93,1
Finland,,stat.fi,https://stat.fi/kyselyt,FALSE,0.84,1,0.96,0.92
Finland,,stat.fi,https://stat.fi/org/tietoa_sivustosta.html,FALSE,0.24,1,0.93,0.92
Finland,,static.traficom.fi,https://static.traficom.fi/,TRUE,0.81,1,0.96,0.92
Finland,,static.traficom.fi,https://static.traficom.fi/fi/kyberturvallisuuskeskus,FALSE,0.89,1,0.96,0.92
Finland,,statistics.migri.fi,https://statistics.migri.fi/,TRUE,0.47,0.7,0.96,0.82
Finland,,takaisinkutsut.traficom.fi,https://takaisinkutsut.traficom.fi/,TRUE,0.91,1,1,1
Finland,,takaisinkutsut.traficom.fi,https://takaisinkutsut.traficom.fi/recall/17823,FALSE,0.6,1,0.96,1
Finland,,takaisinkutsut.traficom.fi,https://takaisinkutsut.traficom.fi/recall/about,FALSE,0.91,1,1,1
Finland,,tarkka.syke.fi,https://tarkka.syke.fi/,TRUE,0.51,0.84,1,0.92
Finland,,tarkka.syke.fi,"https://tarkka.syke.fi/eo-tarkka/map/?ver=0&time=2025-07-01&bbox=18.81102,57.81719,26.76286,61.14310&style=opt&data=d-lc,d-bm-esriblack,d-s2,d-s3&coll=call&lang=fi",FALSE,0.31,0.84,1,1
Finland,,tarkka.syke.fi,"https://tarkka.syke.fi/map/?ver=0&time=2025-07-14&bbox=25.83975,59.84944,27.85808,60.54602&style=opt&data=d-bm-esri,d-s2,d-lc,d-s3&coll=call&lang=fi",FALSE,0.34,0.84,1,0.92
Finland,,tem.fi,https://tem.fi/,TRUE,0.66,0.94,1,0.92
Finland,,tem.fi,https://tem.fi/-/energia-ja-ilmastostrategia-lausuntokierrokselle,FALSE,0.34,0.96,1,0.92
Finland,,tem.fi,https://tem.fi/tyoelaman-kehittamisstrategia,FALSE,0.75,0.92,1,0.92
Finland,,thl.fi,https://thl.fi/,TRUE,0.77,0.97,1,1
Finland,,thl.fi,https://thl.fi/-/euroopan-uimavesiraportti-suomen-uimavesista-93-prosenttia-on-laadultaan-hyvia-tai-erinomaisia,FALSE,0.23,0.93,1,0.92
Finland,,thl.fi,https://thl.fi/-/muiden-maiden-sote-jarjestelmat-eivat-tarjoa-pikaratkaisuja-suomen-sote-mallin-kehittamiseen-tyo-vaatii-parlamentaarista-yhteistyota,FALSE,0.58,0.86,1,0.92
Finland,,tieto.traficom.fi,https://tieto.traficom.fi/,TRUE,0.58,0.93,0.93,0.83
Finland,,tieto.traficom.fi,https://tieto.traficom.fi/fi/node/11401?group=initial&limit=20&offset=0&query=&sort=created,FALSE,0.64,0.93,0.93,0.83
Finland,,tieto.traficom.fi,https://tieto.traficom.fi/fi/search,FALSE,0.35,0.95,0.93,0.91
Finland,,tilastot.migri.fi,https://tilastot.migri.fi/,TRUE,0.45,0.7,0.96,0.82
Finland,,tilastot.tulli.fi,https://tilastot.tulli.fi/,TRUE,0.63,0.96,1,1
Finland,,tilastot.tulli.fi,https://tilastot.tulli.fi/-/tavaroiden-ulkomaankaupan-ennakkotilasto-toukokuussa-2025,FALSE,0.31,0.96,1,0.92
Finland,,tilastot.tulli.fi,https://tilastot.tulli.fi/ajankohtaista-tilastoista,FALSE,0.74,0.96,1,1
Finland,,traficom.fi,https://traficom.fi/,TRUE,0.63,0.95,0.93,0.92
Finland,,traficom.fi,https://traficom.fi/fi/kyberturvallisuuskeskus,FALSE,0.86,0.95,0.93,0.92
