country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Romania,,ab.politiaromana.ro,https://ab.politiaromana.ro/,TRUE,0.66,0.64,0.89,0.67
Romania,,ab.politiaromana.ro,"https://ab.politiaromana.ro/I.P.J.%20ALBA%20-%20PNRR:%20Fonduri%20pentru%20Rom%C3%A2nia%20modern%C4%83%20%C8%99i%20reformat%C4%83!%20%E2%80%93%20C5-B2.2.b81%E2%80%9D%20-%20Lansarea%20proiectului%20,,REABILITAREA%20%C8%98I%20MODERNIZAREA%20SEDIULUI%20POLI%C8%9AIEI%20ORA%C8%98ULUI%20CUGIR%E2%80%9D",FALSE,0.77,0.69,0.96,0.62
Romania,,abc.brasovcity.ro,https://abc.brasovcity.ro/,TRUE,0.57,0.82,0.71,1
Romania,,abc.brasovcity.ro,https://abc.brasovcity.ro/becuri,FALSE,0.14,0.82,0.71,1
Romania,,abudhabi.mae.ro,https://abudhabi.mae.ro/,TRUE,0.75,0.68,0.67,0.83
Romania,,abudhabi.mae.ro,https://abudhabi.mae.ro/romania-news/7813,FALSE,,0.68,0.64,0.83
Romania,,abudhabi.mae.ro,https://abudhabi.mae.ro/romania-news/7816,FALSE,0.81,0.68,0.7,0.83
Romania,,abuja.mae.ro,https://abuja.mae.ro/,TRUE,0.71,0.68,0.63,0.83
Romania,,abuja.mae.ro,https://abuja.mae.ro/romania-news/7813,FALSE,0.85,0.68,0.7,0.83
Romania,,acteinterne.pmb.ro,https://acteinterne.pmb.ro/,TRUE,0.89,0.91,1,0.91
Romania,,acteinterne.pmb.ro,https://acteinterne.pmb.ro/institutii/cgmb/dezb_publica/proiecte/1667,FALSE,0.71,0.85,0.96,0.83
Romania,,acteinterne.pmb.ro,https://acteinterne.pmb.ro/institutii/cgmb/dezb_publica/proiecte/1681,FALSE,0.88,0.83,1,0.92
Romania,,activ.oradea.ro,https://activ.oradea.ro/,TRUE,0.67,0.61,1,0.73
Romania,,activ.oradea.ro,https://activ.oradea.ro/login,FALSE,0.79,0.61,1,0.73
Romania,,addisabeba.mae.ro,https://addisabeba.mae.ro/,TRUE,0.79,0.68,0.61,0.83
Romania,,addisabeba.mae.ro,https://addisabeba.mae.ro/romania-news/7813,FALSE,,0.68,0.68,0.83
