country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Poland,,100lat.uek.krakow.pl,https://100lat.uek.krakow.pl/,TRUE,0.35,0.92,0.75,0.85
Poland,,100lat.uek.krakow.pl,https://100lat.uek.krakow.pl/blog/arnold-bolland/,FALSE,0.53,0.96,0.96,0.92
Poland,,100lat.uek.krakow.pl,https://100lat.uek.krakow.pl/blog/film-promocyjny/,FALSE,0.55,1,0.74,0.92
Poland,,13lo.szczecin.pl,http://13lo.szczecin.pl/,TRUE,0.56,0.72,0.69,0.91
Poland,,13lo.szczecin.pl,http://13lo.szczecin.pl/index.php,FALSE,0.56,0.72,0.68,0.91
Poland,,13lo.szczecin.pl,http://13lo.szczecin.pl/info,FALSE,0.51,0.68,0.72,0.91
Poland,,18.lid.rzeszow.pl,https://18.lid.rzeszow.pl/,TRUE,0.36,0.78,0.93,0.92
Poland,,18.lid.rzeszow.pl,https://18.lid.rzeszow.pl/aktualnosci/ulica-kraszewskiego-wznowiona-komunikacja/,FALSE,0.44,0.84,0.93,0.85
Poland,,1lo.bydgoszcz.pl,https://1lo.bydgoszcz.pl/,TRUE,0.56,0.89,0.93,0.83
Poland,,1lo.bydgoszcz.pl,"https://1lo.bydgoszcz.pl/bydgoska-sekcja-dwujezyczna-hiszpanska-m1,370.html",FALSE,0.42,0.92,0.93,0.83
Poland,,1lo.bydgoszcz.pl,"https://1lo.bydgoszcz.pl/jedynka-zlota-szkola-narodowego-banku-polskiego-w1,5,100745.html",FALSE,0.5,0.88,0.89,0.83
Poland,,1lo.rzeszow.pl,https://1lo.rzeszow.pl/,TRUE,0.36,0.83,0.57,0.85
Poland,,1lo.rzeszow.pl,https://1lo.rzeszow.pl/rekrutacja/,FALSE,0.26,0.89,0.56,0.77
Poland,,2katwew.cm-uj.krakow.pl,https://2katwew.cm-uj.krakow.pl/,TRUE,0.66,0.91,1,0.92
Poland,,2katwew.cm-uj.krakow.pl,https://2katwew.cm-uj.krakow.pl/o-nas/,FALSE,0.81,0.93,1,0.92
Poland,,2lo.gorzow.pl,https://2lo.gorzow.pl/,TRUE,0.54,0.82,1,1
Poland,,2lo.gorzow.pl,https://2lo.gorzow.pl/organizacje-szkolne/,FALSE,0.66,0.8,1,0.92
Poland,,2lo.gorzow.pl,https://2lo.gorzow.pl/stypendia-miasta-gorzowa-wlkp/,FALSE,0.49,0.78,1,0.85
Poland,,2lo.radom.pl,http://2lo.radom.pl/,TRUE,0.59,0.83,0.59,0.83
Poland,,2lo.radom.pl,http://2lo.radom.pl/zakonczenie-roku-szkolnego-2024-2025/,FALSE,0.7,0.87,0.59,0.85
Poland,,2slo.bialystok.pl,https://2slo.bialystok.pl/,TRUE,0.51,0.92,0.96,0.92
Poland,,2slo.bialystok.pl,https://2slo.bialystok.pl/rekrutacja/,FALSE,0.51,0.89,0.96,0.92
Poland,,2slo.bydgoszcz.pl,https://2slo.bydgoszcz.pl/,TRUE,0.62,1,1,0.92
Poland,,2slo.bydgoszcz.pl,https://2slo.bydgoszcz.pl/kalendarium/,FALSE,0.76,0.92,1,0.92
Poland,,33.poznan.pl,https://33.poznan.pl/,TRUE,0.82,1,0.96,0.92
