country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Bulgaria,,address.sofia.bg,https://address.sofia.bg/,TRUE,0.73,0.96,1,1
Bulgaria,,address.sofia.bg,https://address.sofia.bg/bg/,FALSE,0.72,0.96,0.82,1
Bulgaria,,agup.varna.bg,https://agup.varna.bg/,TRUE,0.73,0.7,0.93,0.82
Bulgaria,,agup.varna.bg,https://agup.varna.bg/index.php/obyavi-i-novini/news/1031-obyava-na-direktziya-agup-che-e-izraboten-proekt-za-pup-plan-izvadka-prz-za-m-vilite-kvartal-asparuhovo-gr-varna,FALSE,0.73,0.82,0.93,0.91
Bulgaria,,app.mfa.bg,https://app.mfa.bg/,TRUE,0.4,0.68,1,0.83
Bulgaria,,architect.sofia.bg,https://architect.sofia.bg/,TRUE,0.61,0.88,1,0.92
Bulgaria,,architect.sofia.bg,https://architect.sofia.bg/?page_id=3,FALSE,0.68,0.87,1,0.92
Bulgaria,,architect.sofia.bg,https://architect.sofia.bg/?page_id=893,FALSE,0.63,0.88,1,0.92
Bulgaria,,bgsl.sofia.bg,https://bgsl.sofia.bg/,TRUE,0.56,0.91,1,0.85
Bulgaria,,bgsl.sofia.bg,https://bgsl.sofia.bg/bg/web/guest/home/,FALSE,0.46,0.86,0.96,0.77
Bulgaria,,bnb.bg,https://bnb.bg/,TRUE,0.59,0.7,0.74,0.83
Bulgaria,,bnb.bg,https://bnb.bg/AboutUs/PressOffice/POPressReleases/POPRDate/PR_20240418_BG,FALSE,0.62,0.77,0.74,0.83
Bulgaria,,call.sofia.bg,https://call.sofia.bg/,TRUE,0.59,0.7,0.96,0.92
Bulgaria,,call.sofia.bg,https://call.sofia.bg/bg/Account/Register,FALSE,0.59,0.83,0.96,0.92
Bulgaria,,carnival.gabrovo.bg,https://carnival.gabrovo.bg/,TRUE,0.56,0.76,0.96,0.85
Bulgaria,,carnival.gabrovo.bg,https://carnival.gabrovo.bg/bg/nachalo,FALSE,0.56,0.76,0.96,0.85
Bulgaria,,ccr.bnb.bg,https://ccr.bnb.bg/,TRUE,0.89,0.63,0.93,0.82
Bulgaria,,ccr.bnb.bg,https://ccr.bnb.bg/ccr/?ex=mC0KVOLZ.YrMMMZF0,FALSE,0.92,0.63,0.93,0.82
Bulgaria,,censusresults.nsi.bg,https://censusresults.nsi.bg/,TRUE,0.92,0.64,0.96,0.67
Bulgaria,,censusresults.nsi.bg,https://censusresults.nsi.bg/Census/Welcome.aspx,FALSE,0.93,0.64,0.96,0.67
Bulgaria,,chisto.gabrovo.bg,https://chisto.gabrovo.bg/,TRUE,0.63,0.87,1,0.92
Bulgaria,,chisto.gabrovo.bg,https://chisto.gabrovo.bg/blagoustroyavane/,FALSE,0.66,0.88,0.96,0.92
Bulgaria,,chisto.gabrovo.bg,https://chisto.gabrovo.bg/razdelno-sabirane/,FALSE,0.57,0.95,0.96,1
Bulgaria,,council.sofia.bg,https://council.sofia.bg/,TRUE,0.62,0.95,1,0.85
Bulgaria,,council.sofia.bg,https://council.sofia.bg/about-cookies-council,FALSE,0.48,0.96,0.93,0.85
