country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Belgium,,14-18.bruxelles.be,https://14-18.bruxelles.be/,TRUE,0.66,0.69,0.71,0.91
Belgium,,14-18.bruxelles.be,https://14-18.bruxelles.be/index.html,FALSE,0.38,0.69,0.75,0.91
Belgium,,1777.kortrijk.be,https://1777.kortrijk.be/,TRUE,1,1,1,0.58
Belgium,,accessibility.belgium.be,https://accessibility.belgium.be/,TRUE,0.65,1,0.96,0.92
Belgium,,accessibility.belgium.be,https://accessibility.belgium.be/nl,FALSE,0.69,1,0.96,0.92
Belgium,,accessmanagement.irisnet.be,https://accessmanagement.irisnet.be/,TRUE,0.38,0.95,1,0.75
Belgium,,accessmanagement.irisnet.be,https://accessmanagement.irisnet.be/terms-conditions?lang=en,FALSE,0.32,1,1,0.83
Belgium,,actionsociale.hainaut.be,https://actionsociale.hainaut.be/,TRUE,0.51,0.98,0.96,1
Belgium,,actionsociale.hainaut.be,https://actionsociale.hainaut.be/a-propos/,FALSE,0.55,1,0.96,0.92
Belgium,,actionsociale.hainaut.be,https://actionsociale.hainaut.be/accompagnement-pedagogique-des-etudiants-en-situation-de-handicap-lexemple-de-lenseignement-provincial-en-hainaut/,FALSE,0.22,0.97,0.75,0.92
Belgium,,actionsociale.wallonie.be,https://actionsociale.wallonie.be/,TRUE,0.87,0.96,1,0.92
Belgium,,actionsociale.wallonie.be,https://actionsociale.wallonie.be/home/thematiques.html,FALSE,0.77,0.95,1,0.92
Belgium,,actionsociale.wallonie.be,https://actionsociale.wallonie.be/home/vos-demarches.html,FALSE,0.78,0.95,1,0.92
Belgium,,admissions-arba-esa.brussels.be,https://admissions-arba-esa.brussels.be/,TRUE,0.83,0.96,0.79,0.85
Belgium,,admissions-arba-esa.brussels.be,https://admissions-arba-esa.brussels.be/admissions-2025-2026,FALSE,0.8,0.96,0.79,0.85
Belgium,,adresses-judiciaires.just.fgov.be,https://adresses-judiciaires.just.fgov.be/,TRUE,0.98,0.61,0.96,0.82
Belgium,,afcn.fgov.be,https://afcn.fgov.be/,TRUE,0.63,0.97,0.79,0.92
Belgium,,afcn.fgov.be,https://afcn.fgov.be/fr/actualites/automne-2025-formation-complementaire-pour-les-experts-en-contamination-des-sols,FALSE,0.9,0.96,1,1
Belgium,,agriculture.wallonie.be,https://agriculture.wallonie.be/,TRUE,0.56,0.96,1,0.92
Belgium,,agriculture.wallonie.be,https://agriculture.wallonie.be/home/actualites/actualites/prolongation-de-la-periode-pour-introduire-les-demandes-d-analyse-pour-la-maec-sols-campagne-2025.html,FALSE,0.61,0.89,1,1
Belgium,,agriculture.wallonie.be,https://agriculture.wallonie.be/home/communiques/presses/communique-de-presse-paiement-de-la-premiere-tranche-des-aides-en-agriculture-biologique-et-des-mesures-agroenvironnementales-et-climatiques-pour-la-campagne-2024.html,FALSE,0.55,0.81,1,0.83
Belgium,,aidesetat.wallonie.be,https://aidesetat.wallonie.be/,TRUE,0.79,1,1,0.92
Belgium,,aidesetat.wallonie.be,https://aidesetat.wallonie.be/home/actualites/actualites/la-commission-adopte-un-nouveau-cadre-pour-soutenir-l-industrie-propre.html,FALSE,0.76,0.89,1,1
Belgium,,algeria.diplomatie.belgium.be,https://algeria.diplomatie.belgium.be/,TRUE,0.62,1,1,1
Belgium,,algeria.diplomatie.belgium.be,https://algeria.diplomatie.belgium.be/nl/belgie-algerije,FALSE,0.63,1,0.96,1
Belgium,,ambulants.bruxelles.be,https://ambulants.bruxelles.be/,TRUE,0.28,0.95,0.71,1
Belgium,,ambulants.bruxelles.be,https://ambulants.bruxelles.be/les-evenements-braderiesbrocantes,FALSE,0.45,0.96,0.79,0.92
Belgium,,angola.diplomatie.belgium.be,https://angola.diplomatie.belgium.be/,TRUE,0.6,1,1,1
Belgium,,angola.diplomatie.belgium.be,https://angola.diplomatie.belgium.be/nl/belgie-angola,FALSE,0.61,1,1,1
Belgium,,anneessensfunck.brussel.be,https://anneessensfunck.brussel.be/,TRUE,0.93,0.93,0.82,0.85
Belgium,,anneessensfunck.brussel.be,https://anneessensfunck.brussel.be/inschrijven/,FALSE,0.96,0.96,0.81,0.85
Belgium,,anneessensfunck.brussel.be,https://anneessensfunck.brussel.be/wie-zijn-we/,FALSE,0.61,0.95,0.82,0.85
Belgium,,antispam.hasselt.be,https://antispam.hasselt.be/,TRUE,0.99,0.94,1,0.5
Belgium,,antispam.leuven.be,https://antispam.leuven.be/,TRUE,1,0.78,0.93,0.9
Belgium,,aprofiel.antwerpen.be,https://aprofiel.antwerpen.be/,TRUE,0.52,0.98,0.96,0.83
Belgium,,archief.algemeen.omgeving.vlaanderen.be,https://archief.algemeen.omgeving.vlaanderen.be/,TRUE,0.67,0.86,0.96,0.75
Belgium,,archief.algemeen.omgeving.vlaanderen.be,https://archief.algemeen.omgeving.vlaanderen.be/xmlui/handle/acd/1136739,FALSE,0.59,0.82,0.96,0.73
Belgium,,archief.algemeen.omgeving.vlaanderen.be,https://archief.algemeen.omgeving.vlaanderen.be/xmlui/handle/acd/1156358,FALSE,0.74,0.82,0.96,0.75
Belgium,,archief.brussel.be,https://archief.brussel.be/,TRUE,0.55,0.82,1,0.85
Belgium,,archief.brussel.be,https://archief.brussel.be/nieuws/opendeurdag-28062025,FALSE,0.58,0.96,1,0.92
Belgium,,archief.brussel.be,https://archief.brussel.be/wie-zijn-we,FALSE,0.58,0.96,1,0.92
Belgium,,archives.bruxelles.be,https://archives.bruxelles.be/,TRUE,0.55,0.82,1,0.85
Belgium,,archives.bruxelles.be,https://archives.bruxelles.be/actualites,FALSE,0.5,0.85,1,0.85
Belgium,,archives.bruxelles.be,https://archives.bruxelles.be/qui-sommes-nous,FALSE,0.64,0.96,1,0.92
Belgium,,arei.economie.fgov.be,https://arei.economie.fgov.be/,TRUE,0.56,0.89,1,0.83
Belgium,,arei.economie.fgov.be,https://arei.economie.fgov.be/arei-webform-fe/forms/extension,FALSE,0.56,0.87,1,0.83
Belgium,,argentina.diplomatie.belgium.be,https://argentina.diplomatie.belgium.be/,TRUE,0.61,1,1,1
Belgium,,argentina.diplomatie.belgium.be,https://argentina.diplomatie.belgium.be/nl/belgie-argentinie-paraguay-en-uruguay,FALSE,0.69,1,0.96,1
Belgium,,aria.hainaut.be,https://aria.hainaut.be/,TRUE,0.63,0.91,1,0.82
Belgium,,armenia.diplomatie.belgium.be,https://armenia.diplomatie.belgium.be/,TRUE,0.66,1,1,1
Belgium,,armenia.diplomatie.belgium.be,https://armenia.diplomatie.belgium.be/nl/belgie-armenie,FALSE,0.65,1,1,1
Belgium,,artisans.economie.fgov.be,https://artisans.economie.fgov.be/,TRUE,0.57,0.92,1,0.75
Belgium,,artisans.economie.fgov.be,https://artisans.economie.fgov.be/artisans-fo/,FALSE,0.57,0.92,1,0.75
Belgium,,artsentandarts-proefexamen.onderwijs-dev.vlaanderen.be,https://artsentandarts-proefexamen.onderwijs-dev.vlaanderen.be/,TRUE,0.6,0.85,1,0.73
Belgium,,assets.handicap.belgium.be,https://assets.handicap.belgium.be/,TRUE,1,0.55,0.85,0.8
Belgium,,atodo.antwerpen.be,https://atodo.antwerpen.be/,TRUE,0.3,1,0.75,0.83
Belgium,,australia.diplomatie.belgium.be,https://australia.diplomatie.belgium.be/,TRUE,0.63,1,1,1
Belgium,,australia.diplomatie.belgium.be,https://australia.diplomatie.belgium.be/nl/belgie-australie-nieuw-zeeland-en-de-stille-oceaan,FALSE,0.64,1,1,1
Belgium,,austria.diplomatie.belgium.be,https://austria.diplomatie.belgium.be/,TRUE,0.64,1,0.96,1
Belgium,,austria.diplomatie.belgium.be,https://austria.diplomatie.belgium.be/nl/belgie-oostenrijk-slovakije-en-slovenie,FALSE,0.65,0.96,0.96,1
Belgium,,authentieke-bronnen.belgium.be,https://authentieke-bronnen.belgium.be/,TRUE,0.73,1,0.96,0.92
Belgium,,authentieke-bronnen.belgium.be,https://authentieke-bronnen.belgium.be/nl/actors,FALSE,0.67,1,0.96,0.92
Belgium,,authentification.spw.wallonie.be,https://authentification.spw.wallonie.be/,TRUE,0.92,0.83,0.71,0.82
Belgium,,authentification.spw.wallonie.be,https://authentification.spw.wallonie.be/ui/welcome,FALSE,0.77,0.87,0.93,0.82
Belgium,,azerbaijan.diplomatie.belgium.be,https://azerbaijan.diplomatie.belgium.be/,TRUE,0.57,1,1,1
Belgium,,azerbaijan.diplomatie.belgium.be,https://azerbaijan.diplomatie.belgium.be/nl/belgie-azerbeidzjan-georgie-en-turkmenistan,FALSE,0.6,1,0.96,1
Belgium,,batiments.wallonie.be,https://batiments.wallonie.be/,TRUE,0.76,0.64,0.85,0.92
Belgium,,batiments.wallonie.be,https://batiments.wallonie.be/home/iframe-html.html,FALSE,0.91,0.56,0.74,0.92
Belgium,,bdes.spw.wallonie.be,https://bdes.spw.wallonie.be/,TRUE,0.32,0.73,0.52,0.75
Belgium,,bdf.belgium.be,https://bdf.belgium.be/,TRUE,0.92,0.97,0.96,0.92
Belgium,,bdf.belgium.be,https://bdf.belgium.be/en/,FALSE,0.89,0.96,0.93,0.92
Belgium,,bdf.belgium.be,https://bdf.belgium.be/en/topics/uncrpd.html,FALSE,0.8,0.93,0.96,0.92
Belgium,,beauxarts.namur.be,https://beauxarts.namur.be/,TRUE,0.27,0.86,0.68,0.85
Belgium,,beauxarts.namur.be,https://beauxarts.namur.be/@@consent,FALSE,0.29,0.84,0.68,0.85
Belgium,,beeldbank.kortrijk.be,https://beeldbank.kortrijk.be/,TRUE,0.46,0.91,0.96,0.82
Belgium,,beeldbank.kortrijk.be,https://beeldbank.kortrijk.be/portal/,FALSE,0.43,0.91,0.96,0.82
Belgium,,beeldbank.west-vlaanderen.be,https://beeldbank.west-vlaanderen.be/,TRUE,0.35,0.75,0.79,0.75
Belgium,,beeldbank.west-vlaanderen.be,https://beeldbank.west-vlaanderen.be/web/4d0f8c2927703a2b/westtoer/,FALSE,0.39,0.71,0.79,0.83
Belgium,,beenders.belgium.be,https://beenders.belgium.be/,TRUE,0.86,0.93,0.93,0.92
Belgium,,beenders.belgium.be,https://beenders.belgium.be/fr/page-daccueil,FALSE,0.83,0.8,0.93,0.92
Belgium,,beenders.belgium.be,https://beenders.belgium.be/nl/biografie,FALSE,0.95,0.93,0.96,0.92
Belgium,,beiaardschool.mechelen.be,https://beiaardschool.mechelen.be/,TRUE,0.73,0.75,1,0.91
Belgium,,beiaardschool.mechelen.be,https://beiaardschool.mechelen.be/contact,FALSE,0.67,0.77,0.96,0.91
Belgium,,beiaardschool.mechelen.be,https://beiaardschool.mechelen.be/over-ons/docenten,FALSE,0.51,0.74,0.96,0.91
Belgium,,beladl.mil.be,https://beladl.mil.be/,TRUE,0.56,0.97,0.82,0.91
Belgium,,beladl.mil.be,https://beladl.mil.be/goto.php/root/1,FALSE,0.44,0.97,0.82,0.91
Belgium,,beladl.mil.be,https://beladl.mil.be/login.php?client_id=iliasprd&cmd=force_login&lang=en,FALSE,0.62,1,0.81,0.91
Belgium,,beldefnews.mil.be,https://beldefnews.mil.be/,TRUE,0.54,0.95,1,0.92
Belgium,,beldefnews.mil.be,https://beldefnews.mil.be/cyber-summer-school-ik-heb-in-een-week-stage-meer-geleerd-dan-in-een-heel-jaar-in-de-burgersector/,FALSE,0.59,0.93,1,0.85
Belgium,,beldefnews.mil.be,https://beldefnews.mil.be/leren-overleven-op-zee-onderdompeling-van-leerling-piloten-in-zeebrugge/,FALSE,0.33,0.93,0.75,0.85
Belgium,,beldrive.mobilit.fgov.be,https://beldrive.mobilit.fgov.be/,TRUE,0.56,1,1,0.92
Belgium,,belmed.economie.fgov.be,https://belmed.economie.fgov.be/,TRUE,0.91,0.84,1,0.67
Belgium,,benin.diplomatie.belgium.be,https://benin.diplomatie.belgium.be/,TRUE,0.6,1,1,1
Belgium,,benin.diplomatie.belgium.be,https://benin.diplomatie.belgium.be/nl/startpagina,FALSE,0.57,1,0.93,1
Belgium,,besluitvorming.brugge.be,https://besluitvorming.brugge.be/,TRUE,0.71,0.74,0.96,0.91
