country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Lithuania,,1863.siauliai.lt,https://1863.siauliai.lt/,TRUE,0.25,0.93,0.93,0.92
Lithuania,,1863.siauliai.lt,https://1863.siauliai.lt/search?collection=appAndMap,FALSE,0.02,1,0.96,1
Lithuania,,apklausos.stat.gov.lt,https://apklausos.stat.gov.lt/,TRUE,0.58,0.85,1,0.92
Lithuania,,apklausos.stat.gov.lt,https://apklausos.stat.gov.lt/titulinis,FALSE,0.62,0.85,1,0.85
Lithuania,,atviri-duomenys.stat.gov.lt,https://atviri-duomenys.stat.gov.lt/,TRUE,0.24,0.81,0.96,0.92
Lithuania,,atviri-duomenys.stat.gov.lt,https://atviri-duomenys.stat.gov.lt/pages/surasymu-duomenys,FALSE,0.25,0.88,0.96,1
Lithuania,,atviri-duomenys.stat.gov.lt,https://atviri-duomenys.stat.gov.lt/search?categories=verslas%7C%20ekonomika%7C%20finansai,FALSE,0.14,0.93,0.96,1
Lithuania,,atviri.siauliai.lt,https://atviri.siauliai.lt/,TRUE,0.89,0.98,1,0.92
Lithuania,,atviri.siauliai.lt,https://atviri.siauliai.lt/apie/,FALSE,0.93,0.92,1,0.92
Lithuania,,avaz.vmi.lt,https://avaz.vmi.lt/,TRUE,0.64,0.78,0.82,0.92
Lithuania,,avaz.vmi.lt,https://avaz.vmi.lt/avaz/,FALSE,0.71,0.78,0.82,0.92
Lithuania,,dalyvauk.alytus.lt,https://dalyvauk.alytus.lt/,TRUE,0.8,0.97,0.93,0.92
Lithuania,,darzeliai.panevezys.lt,https://darzeliai.panevezys.lt/,TRUE,0.63,0.78,1,0.75
Lithuania,,daugiabuciai.kaunas.lt,https://daugiabuciai.kaunas.lt/,TRUE,0.5,0.86,1,0.83
Lithuania,,deklaravimas.vmi.lt,https://deklaravimas.vmi.lt/,TRUE,0.9,0.62,0.78,0.75
Lithuania,,deklaravimas.vmi.lt,https://deklaravimas.vmi.lt/Default.aspx,FALSE,0.9,0.62,0.78,0.75
Lithuania,,dms2014.finmin.lt,https://dms2014.finmin.lt/,TRUE,0.94,0.76,1,0.82
Lithuania,,e-seimas.lrs.lt,https://e-seimas.lrs.lt/,TRUE,0.69,0.61,0.96,0.82
Lithuania,,e-seimas.lrs.lt,https://e-seimas.lrs.lt/portal/legalActProjectSearch/lt,FALSE,0.57,0.61,0.96,0.82
Lithuania,,e-seimasx.lrs.lt,https://e-seimasx.lrs.lt/,TRUE,0.61,0.61,0.96,0.82
Lithuania,,e-seimasx.lrs.lt,https://e-seimasx.lrs.lt/portal/legalActProjectSearch/lt,FALSE,0.56,0.61,0.96,0.82
Lithuania,,edtech.nsa.smm.lt,https://edtech.nsa.smm.lt/,TRUE,0.58,1,0.96,1
Lithuania,,edtech.nsa.smm.lt,https://edtech.nsa.smm.lt/apie-projekta,FALSE,0.63,0.96,1,1
Lithuania,,eksternams.nsa.smm.lt,https://eksternams.nsa.smm.lt/,TRUE,0.55,0.83,1,0.75
Lithuania,,eksternams.nsa.smm.lt,https://eksternams.nsa.smm.lt/contact-directly,FALSE,0.55,0.85,1,0.75
Lithuania,,eksternams.nsa.smm.lt,https://eksternams.nsa.smm.lt/privacy-policy,FALSE,0.31,0.83,1,0.75
Lithuania,,en.kaunas.lt,https://en.kaunas.lt/,TRUE,0.76,0.7,0.93,0.83
Lithuania,,en.kaunas.lt,https://en.kaunas.lt/news/kaunas-investments-in-culture-new-spaces-ambitious-projects-and-a-growing-calendar-of-events,FALSE,0.77,0.68,0.93,0.85
Lithuania,,en.kaunas.lt,https://en.kaunas.lt/news/reunion-a-cultural-dialogue-between-lublin-and-kaunas-the-european-heritage-label-cities,FALSE,0.7,0.77,0.93,0.92
Lithuania,,epaslaugos.kaunas.lt,https://epaslaugos.kaunas.lt/,TRUE,0.91,0.85,1,0.92
Lithuania,,epaslaugos.kaunas.lt,https://epaslaugos.kaunas.lt/internetu-uzsakomos-paslaugos/,FALSE,0.86,0.8,1,0.92
Lithuania,,epaslaugos.kaunas.lt,https://epaslaugos.kaunas.lt/paslaugos/gyvenimo-atvejai/vzn-mokescio-deklaraciju-pateikimas/,FALSE,0.82,0.85,1,0.92
Lithuania,,idarzeli.kaunas.lt,https://idarzeli.kaunas.lt/,TRUE,1,0.73,1,0.73
Lithuania,,idarzeli.kaunas.lt,https://idarzeli.kaunas.lt/prisijungt.php,FALSE,1,0.84,1,0.9
Lithuania,,ikimokyklinis.klaipeda.lt,https://ikimokyklinis.klaipeda.lt/,TRUE,0.39,0.79,0.61,0.91
Lithuania,,ikimokyklinis.klaipeda.lt,https://ikimokyklinis.klaipeda.lt/laisvosvietos.html,FALSE,0.88,0.84,1,0.8
Lithuania,,imas-demo.vmi.lt,https://imas-demo.vmi.lt/,TRUE,0.74,0.7,0.82,1
Lithuania,,imas-demo.vmi.lt,https://imas-demo.vmi.lt/isaf/quickLoginAuth/,FALSE,0.71,0.63,0.81,1
Lithuania,,imas.vmi.lt,https://imas.vmi.lt/,TRUE,0.87,0.7,0.82,1
Lithuania,,imas.vmi.lt,https://imas.vmi.lt/isaf/quickLoginAuth/,FALSE,0.8,0.7,0.81,1
Lithuania,,ivs.vilnius.lt,https://ivs.vilnius.lt/,TRUE,0.92,0.69,0.74,0.82
Lithuania,,judeksveikai.kaunas.lt,https://judeksveikai.kaunas.lt/,TRUE,0.78,0.67,0.96,0.85
Lithuania,,judeksveikai.kaunas.lt,https://judeksveikai.kaunas.lt/registracija/,FALSE,0.46,0.62,0.93,0.85
Lithuania,,judeksveikai.kaunas.lt,https://judeksveikai.kaunas.lt/tvarkarastis/,FALSE,0.41,0.79,0.96,0.85
Lithuania,,kalba.eksternams.nsa.smm.lt,https://kalba.eksternams.nsa.smm.lt/,TRUE,0.69,0.92,1,0.91
Lithuania,,kalba.eksternams.nsa.smm.lt,https://kalba.eksternams.nsa.smm.lt/taoDeliveryRdf/Guest/guest,FALSE,0.69,0.86,1,0.91
Lithuania,,kapines.klaipeda.lt,https://kapines.klaipeda.lt/,TRUE,0.77,0.65,0.81,0.92
Lithuania,,kapines.klaipeda.lt,https://kapines.klaipeda.lt/public/cemeteries,FALSE,0.79,0.78,0.81,1
Lithuania,,komanda.kaunas.lt,https://komanda.kaunas.lt/,TRUE,0.93,0.78,0.93,0.91
Lithuania,,komanda.kaunas.lt,https://komanda.kaunas.lt/siuo-metu-ieskome/kauno_zalgirio_futbolo_akademija,FALSE,0.9,0.88,0.96,0.91
Lithuania,,kortele.klaipeda.lt,https://kortele.klaipeda.lt/,TRUE,0.98,0.59,1,0.91
Lithuania,,kpmpc.eksternams.nsa.smm.lt,https://kpmpc.eksternams.nsa.smm.lt/,TRUE,0.69,0.85,1,0.91
Lithuania,,kpmpc.eksternams.nsa.smm.lt,https://kpmpc.eksternams.nsa.smm.lt/taoDeliveryRdf/Guest/guest,FALSE,0.63,0.78,1,0.91
Lithuania,,kursportuoti.kaunas.lt,https://kursportuoti.kaunas.lt/,TRUE,0.87,0.83,0.96,0.92
Lithuania,,kursportuoti.kaunas.lt,https://kursportuoti.kaunas.lt/managecookie,FALSE,0.81,0.79,1,0.92
Lithuania,,kursportuoti.kaunas.lt,https://kursportuoti.kaunas.lt/prisijungti/2/register,FALSE,0.92,0.79,1,0.92
Lithuania,,likebike.kaunas.lt,https://likebike.kaunas.lt/,TRUE,0.64,0.81,0.75,0.85
Lithuania,,likebike.kaunas.lt,https://likebike.kaunas.lt/visos-naujienos,FALSE,0.59,0.81,0.79,0.85
Lithuania,,ltok.lt,https://ltok.lt/,TRUE,0.31,0.82,0.96,0.83
Lithuania,,ltok.lt,https://ltok.lt/naujienos,FALSE,0.49,0.87,0.93,0.83
Lithuania,,mail.siauliai.lt,https://mail.siauliai.lt/,TRUE,0.71,0.94,0.96,0.54
Lithuania,,mano.kaunas.lt,https://mano.kaunas.lt/,TRUE,0.89,0.73,0.96,0.73
Lithuania,,mano.kaunas.lt,https://mano.kaunas.lt/reg.php,FALSE,0.93,0.92,1,0.82
