country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Germany,,110prozent.berlin.de,https://110prozent.berlin.de/,TRUE,0.59,1,0.96,1
Germany,,110prozent.berlin.de,https://110prozent.berlin.de/berufsfelder/informationstechnik-it/,FALSE,0.66,1,0.96,1
Germany,,150.diplo.de,https://150.diplo.de/,TRUE,0.55,1,0.96,0.92
Germany,,150.diplo.de,https://150.diplo.de/150-jahre-de/aktuelles,FALSE,0.78,1,0.96,0.92
Germany,,150.diplo.de,https://150.diplo.de/150-jahre-de/aktuelles/2376128-2376128,FALSE,0.54,0.96,0.71,0.92
Germany,,226.sixcms.schule.bremen.de,https://226.sixcms.schule.bremen.de/,TRUE,0.7,1,1,0.92
Germany,,226.sixcms.schule.bremen.de,https://226.sixcms.schule.bremen.de/sixcms/detail.php?gsid=bremen256.c.9254.de,FALSE,0.67,0.92,0.96,0.85
Germany,,307.joomla.schule.bremen.de,https://307.joomla.schule.bremen.de/,TRUE,0.35,0.71,1,0.92
Germany,,307.joomla.schule.bremen.de,https://307.joomla.schule.bremen.de/index.php,FALSE,0.34,0.71,1,0.92
Germany,,309.sixcms.schule.bremen.de,https://309.sixcms.schule.bremen.de/,TRUE,0.52,0.98,0.96,0.92
Germany,,309.sixcms.schule.bremen.de,https://309.sixcms.schule.bremen.de/unterricht/oberstufe-einfuhrungsphase-13889,FALSE,0.76,1,1,0.85
Germany,,417.sixcms.schule.bremen.de,https://417.sixcms.schule.bremen.de/,TRUE,0.59,0.98,0.96,0.92
Germany,,417.sixcms.schule.bremen.de,https://417.sixcms.schule.bremen.de/absatze/-1480?template=05_content_bild_einzeln_d,FALSE,0.74,0.73,0.82,0.75
Germany,,abb.rlp.de,https://abb.rlp.de/,TRUE,0.81,0.96,1,0.85
Germany,,abb.rlp.de,https://abb.rlp.de/service/presse/detail/news-1-ueberschrift,FALSE,0.86,0.98,1,1
Germany,,abb.rlp.de,https://abb.rlp.de/ueber-uns-1,FALSE,0.91,1,1,0.92
Germany,,abeg.essen.de,https://abeg.essen.de/,TRUE,0.78,0.87,1,0.85
Germany,,abeg.essen.de,https://abeg.essen.de/datenschutz,FALSE,0.66,0.95,1,0.77
Germany,,abeg.essen.de,https://abeg.essen.de/kinderbetreuung,FALSE,0.85,0.87,1,0.85
Germany,,abfalldaten.brandenburg.de,https://abfalldaten.brandenburg.de/,TRUE,0.44,0.76,0.96,0.85
Germany,,abfalldaten.brandenburg.de,https://abfalldaten.brandenburg.de/entsorgungsanlagen,FALSE,0.28,0.69,0.71,0.85
Germany,,abholung-personaldokumente.leipzig.de,https://abholung-personaldokumente.leipzig.de/,TRUE,0.96,1,1,1
Germany,,abidjan.diplo.de,https://abidjan.diplo.de/,TRUE,0.75,0.9,1,0.85
Germany,,abidjan.diplo.de,https://abidjan.diplo.de/ci-fr,FALSE,0.82,0.87,1,0.92
Germany,,accra.diplo.de,https://accra.diplo.de/,TRUE,0.61,0.9,1,0.85
Germany,,accra.diplo.de,https://accra.diplo.de/gh-de,FALSE,0.8,0.91,1,0.85
Germany,,actapro-benutzung.hamburg.de,https://actapro-benutzung.hamburg.de/,TRUE,0.99,0.55,0.89,0.82
Germany,,add.rlp.de,https://add.rlp.de/,TRUE,0.77,0.95,1,0.85
Germany,,add.rlp.de,https://add.rlp.de/beruf-und-karriere,FALSE,0.81,1,1,0.92
Germany,,add.rlp.de,https://add.rlp.de/service/presse/detail/sed-opferrente-gesetzliche-aenderungen-erweitern-den-empfaengerkreis,FALSE,0.82,0.98,0.96,1
Germany,,add3portal.rlp.de,https://add3portal.rlp.de/,TRUE,0.78,1,1,0.9
Germany,,add3portal.rlp.de,https://add3portal.rlp.de/manuals/,FALSE,0.85,0.95,1,0.58
Germany,,addinter.service24.rlp.de,https://addinter.service24.rlp.de/,TRUE,0.96,0.67,0.85,0.82
Germany,,addis-abeba.diplo.de,https://addis-abeba.diplo.de/,TRUE,0.68,0.87,1,0.85
Germany,,addis-abeba.diplo.de,https://addis-abeba.diplo.de/et-de,FALSE,0.83,0.91,1,0.85
Germany,,adolph-schoenfelder-schule.hamburg.de,https://adolph-schoenfelder-schule.hamburg.de/,TRUE,0.82,0.83,1,0.85
Germany,,adolph-schoenfelder-schule.hamburg.de,https://adolph-schoenfelder-schule.hamburg.de/elternrat/,FALSE,0.85,0.88,1,0.85
Germany,,adolph-schoenfelder-schule.hamburg.de,https://adolph-schoenfelder-schule.hamburg.de/ueber-uns/,FALSE,0.81,0.87,1,0.85
Germany,,aelf.cloud.bayern.de,https://aelf.cloud.bayern.de/,TRUE,0.55,0.83,0.82,0.54
Germany,,afghanistan.diplo.de,https://afghanistan.diplo.de/,TRUE,0.66,0.99,1,0.92
Germany,,afghanistan.diplo.de,https://afghanistan.diplo.de/af-de/home,FALSE,0.81,0.98,1,0.92
Germany,,afghanistan.diplo.de,https://afghanistan.diplo.de/af-en,FALSE,0.34,0.99,1,0.92
Germany,,afi.sachsen-anhalt.de,https://afi.sachsen-anhalt.de/,TRUE,0.67,1,0.96,1
Germany,,afm.hamburg.de,https://afm.hamburg.de/,TRUE,0.99,0.55,0.89,0.82
Germany,,afm.schleswig-holstein.de,https://afm.schleswig-holstein.de/,TRUE,0.99,0.55,0.89,0.82
Germany,,africa.bayern.de,https://africa.bayern.de/,TRUE,0.56,0.84,0.75,0.92
Germany,,africa.bayern.de,https://africa.bayern.de/europes-innovation-powerhouse,FALSE,0.26,0.88,0.57,0.85
