country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Estonia,,aastaraamat.prokuratuur.ee,https://aastaraamat.prokuratuur.ee/,TRUE,0.54,0.96,0.93,0.92
Estonia,,aastaraamat.prokuratuur.ee,https://aastaraamat.prokuratuur.ee/prokuratuuri-aastaraamat-2024/prokuratuuri-proovikivid-maksejouetusega-seotud-suutegude,FALSE,0.78,0.96,0.93,0.92
Estonia,,aastaraamat.riigikohus.ee,https://aastaraamat.riigikohus.ee/,TRUE,0.78,0.98,0.93,0.85
Estonia,,aastaraamat.riigikohus.ee,https://aastaraamat.riigikohus.ee/category/aasta-2024/ii-paevakajalised-oigusteemad-2024/,FALSE,0.62,0.98,0.93,0.85
Estonia,,aastaraamat.riigikohus.ee,https://aastaraamat.riigikohus.ee/kultuurne-tagasiside-ja-tagasisidekultuur/,FALSE,0.85,0.94,0.93,0.85
Estonia,,abi.ria.ee,https://abi.ria.ee/,TRUE,0.98,1,1,1
Estonia,,abi.ria.ee,https://abi.ria.ee/?l=et,FALSE,0.97,1,1,1
Estonia,,agri.ee,https://agri.ee/,TRUE,0.87,0.91,0.81,0.83
Estonia,,agri.ee,https://agri.ee/uudised/minister-terras-toetame-ukraina-kiiret-loimimist-euroopa-liidu-uhisturuga,FALSE,0.68,0.85,0.75,1
Estonia,,agri.ee,https://agri.ee/uudised/regionaal-ja-pollumajandusministeerium-panustab-taas-ida-virumaa-iduettevotluskeskkonda,FALSE,0.91,0.95,0.81,1
Estonia,,alkoreg.agri.ee,https://alkoreg.agri.ee/,TRUE,0.89,0.57,0.7,0.82
Estonia,,andmed.eesti.ee,https://andmed.eesti.ee/,TRUE,0.64,0.96,0.79,0.91
Estonia,,andmed.eesti.ee,https://andmed.eesti.ee/accessibility,FALSE,0.53,0.95,0.79,0.91
Estonia,,andmed.eesti.ee,https://andmed.eesti.ee/datasets?hvd=true&type=ALL,FALSE,0.68,0.88,0.78,0.91
Estonia,,andmed.stat.ee,https://andmed.stat.ee/,TRUE,0.8,1,1,0.91
Estonia,,andmed.stat.ee,https://andmed.stat.ee/et/statsql,FALSE,0.77,0.96,1,0.91
Estonia,,arno.parnu.ee,https://arno.parnu.ee/,TRUE,0.58,0.9,1,1
Estonia,,arno.parnu.ee,https://arno.parnu.ee/huviringid/?,FALSE,0.36,0.84,1,1
Estonia,,arno.tartu.ee,https://arno.tartu.ee/,TRUE,0.89,0.87,0.81,1
Estonia,,arno.tartu.ee,https://arno.tartu.ee/huviringid/?,FALSE,0.71,0.84,0.81,1
Estonia,,arno.viljandi.ee,https://arno.viljandi.ee/,TRUE,0.43,0.87,0.96,1
Estonia,,arno.viljandi.ee,https://arno.viljandi.ee/lasteaed/?,FALSE,0.58,0.87,1,1
Estonia,,aveeb.sm.ee,https://aveeb.sm.ee/,TRUE,0.88,0.64,0.85,0.82
Estonia,,aveeb.sm.ee,https://aveeb.sm.ee/index.php?tid=82206120000101121501012122100030220021014130751952954030304217165,FALSE,0.66,0.81,0.85,0.82
Estonia,,cas.agri.ee,https://cas.agri.ee/,TRUE,1,0.85,0.89,0.9
Estonia,,cloud.agri.ee,https://cloud.agri.ee/,TRUE,0.57,1,0.82,0.54
Estonia,,dhs.narva.ee,https://dhs.narva.ee/,TRUE,0.71,0.8,0.96,0.5
Estonia,,dhs.tallinn.ee,https://dhs.tallinn.ee/,TRUE,0.61,0.82,0.96,0.63
Estonia,,dhs.tallinn.ee,https://dhs.tallinn.ee/atp/?id=1278,FALSE,0.75,0.71,0.74,0.66
Estonia,,dok.hm.ee,https://dok.hm.ee/,TRUE,0.95,1,0.93,0.9
Estonia,,eelnoud.valitsus.ee,https://eelnoud.valitsus.ee/,TRUE,0.72,0.93,0.52,0.8
Estonia,,eelnoud.valitsus.ee,https://eelnoud.valitsus.ee/main/mount/share/home,FALSE,0.6,0.93,0.52,0.8
Estonia,,eelviisataotlus.vm.ee,https://eelviisataotlus.vm.ee/,TRUE,0.73,0.79,0.93,0.58
Estonia,,eelviisataotlus.vm.ee,https://eelviisataotlus.vm.ee/c/rus/page/1/13h9g9pp7ee5qfvab4yq9ktmqxjkmykz8rhmpvrkyt2he11ppc2q9hblrn0b3xlwl9gyg4hs5zekc3d4ywd927ju54bt6b6tr3ay,FALSE,0.62,0.79,0.96,0.58
Estonia,,eelviisataotlus.vm.ee,https://eelviisataotlus.vm.ee/c/rus/page/1/13o0tmpdrete5756bwc1s33471vi6uqg75z2vaj7yg8zsnyd5c05qmec63phokt25efrv1lzbmb1itr5ftuwn5q0i8bznm365gmo,FALSE,0.57,0.79,0.89,0.58
Estonia,,eits.ria.ee,https://eits.ria.ee/,TRUE,0.57,0.9,0.74,0.83
Estonia,,eits.ria.ee,https://eits.ria.ee/et/versioon/2023/eits-poohidokumendid/eits-noouded-infoturbe-halduse-suesteemile,FALSE,0.57,0.84,0.74,0.75
Estonia,,estat.stat.ee,https://estat.stat.ee/,TRUE,0.84,0.88,1,0.75
Estonia,,estat.stat.ee,https://estat.stat.ee/sa-auth/login?TARGET=https%3A%2F%2Festat.stat.ee%2Fvalisportaal%2Flogin%2Fcas&language=ru,FALSE,0.77,0.88,1,0.75
Estonia,,fin.ee,https://fin.ee/,TRUE,0.57,0.83,0.57,0.83
