country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Luxembourg,,123easy.public.lu,https://123easy.public.lu/,TRUE,0.86,1,1,1
Luxembourg,,123easy.public.lu,https://123easy.public.lu/fr/support/aspects-legaux.html,FALSE,0.83,1,1,1
Luxembourg,,aaa.public.lu,https://aaa.public.lu/,TRUE,0.74,0.86,0.96,1
Luxembourg,,aaa.public.lu,https://aaa.public.lu/fr/actualites/2025/recrutement-service-controle.html,FALSE,0.87,0.9,1,1
Luxembourg,,aaa.public.lu,https://aaa.public.lu/fr/prestations-cotisations/videos-explicatives/declarationelectroniquemenages.html,FALSE,0.82,0.9,0.96,1
Luxembourg,,accessibilite.public.lu,https://accessibilite.public.lu/,TRUE,0.85,1,0.78,0.92
Luxembourg,,accessibilite.public.lu,https://accessibilite.public.lu/fr/news/2025-04-22-Klaro.html,FALSE,0.91,1,0.78,1
Luxembourg,,accessibilite.public.lu,https://accessibilite.public.lu/fr/raweb1/index.html,FALSE,0.94,0.98,0.75,0.92
Luxembourg,,acd.gouvernement.lu,https://acd.gouvernement.lu/,TRUE,0.71,0.99,0.96,1
Luxembourg,,acd.gouvernement.lu,https://acd.gouvernement.lu/fr/actualites.gouvernement2024%2Bfr%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2025%2B01-janvier%2B16-roth-transformation-contributions.html,FALSE,0.73,1,0.78,0.92
Luxembourg,,acd.gouvernement.lu,https://acd.gouvernement.lu/fr/support/aspects-legaux.html,FALSE,0.76,0.99,0.96,1
Luxembourg,,acf.gouvernement.lu,https://acf.gouvernement.lu/,TRUE,0.85,0.98,1,0.92
Luxembourg,,acf.gouvernement.lu,https://acf.gouvernement.lu/fr/support/aspects-legaux.html,FALSE,0.77,0.99,1,1
Luxembourg,,acme.uni.lu,https://acme.uni.lu/,TRUE,0.85,1,0.96,0.92
Luxembourg,,act.public.lu,https://act.public.lu/,TRUE,0.27,0.96,1,1
Luxembourg,,act.public.lu,https://act.public.lu/fr/actualites/2025/juillet/rapport-activites-2024.html,FALSE,0.74,1,0.96,1
Luxembourg,,act.public.lu,https://act.public.lu/fr/actualites/2025/mars/entrevue-eurogeographics.html,FALSE,0.77,1,1,1
Luxembourg,,adem.gouvernement.lu,https://adem.gouvernement.lu/,TRUE,0.77,0.99,0.78,1
Luxembourg,,adem.gouvernement.lu,https://adem.gouvernement.lu/fr/actualites.gouvernement2024%2Bfr%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2025%2B07-juillet%2B09-mischo-adem.html,FALSE,0.76,1,0.78,0.92
Luxembourg,,adem.gouvernement.lu,https://adem.gouvernement.lu/fr/support/aspects-legaux.html,FALSE,0.79,0.99,0.96,1
Luxembourg,,adem.public.lu,https://adem.public.lu/,TRUE,0.65,1,1,1
Luxembourg,,adem.public.lu,https://adem.public.lu/fr/demandeurs-demploi.html,FALSE,0.79,0.95,1,1
Luxembourg,,adem.public.lu,https://adem.public.lu/fr/support/aspects-legaux.html,FALSE,0.74,1,0.96,1
Luxembourg,,administration.esch.lu,https://administration.esch.lu/,TRUE,0.69,0.91,1,0.92
Luxembourg,,administration.esch.lu,https://administration.esch.lu/2025/07/11/la-ville-desch-investit-dans-lavenir-du-quartier-rout-lens-100-millions-deuros-pour-des-logements-abordables-et-adaptes/?return=home,FALSE,0.63,0.9,1,0.85
Luxembourg,,aec.gouvernement.lu,https://aec.gouvernement.lu/,TRUE,0.76,1,1,1
Luxembourg,,aec.gouvernement.lu,https://aec.gouvernement.lu/fr/support/aspects-legaux.html,FALSE,0.81,0.99,1,1
Luxembourg,,aed.gouvernement.lu,https://aed.gouvernement.lu/,TRUE,0.84,1,0.96,1
Luxembourg,,aed.gouvernement.lu,https://aed.gouvernement.lu/fr/actualites.gouvernement2024%2Bfr%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2024%2B09-septembre%2B30-roth-aed.html,FALSE,0.57,0.96,0.78,0.92
Luxembourg,,aed.gouvernement.lu,https://aed.gouvernement.lu/fr/support/aspects-legaux.html,FALSE,0.74,0.99,0.96,1
Luxembourg,,aev.gouvernement.lu,https://aev.gouvernement.lu/,TRUE,0.6,1,0.78,1
Luxembourg,,aev.gouvernement.lu,https://aev.gouvernement.lu/fr/actualites.gouvernement2024%2Bfr%2Bactualites%2Btoutes_actualites%2Barticles%2B2025%2B07-juillet%2B15-wilmes-assermentation.html,FALSE,0.77,1,0.78,0.92
Luxembourg,,agriculture.public.lu,https://agriculture.public.lu/,TRUE,0.69,0.97,1,1
Luxembourg,,agriculture.public.lu,https://agriculture.public.lu/de/aktuelles/2025/juni/luga-luxembourg-urban-garden.html,FALSE,0.61,0.96,1,1
Luxembourg,,alia.public.lu,https://alia.public.lu/,TRUE,0.65,0.84,1,1
Luxembourg,,alia.public.lu,https://alia.public.lu/deposer-une-plainte/,FALSE,0.69,0.97,0.96,1
Luxembourg,,alia.public.lu,https://alia.public.lu/en/,FALSE,0.29,0.81,1,0.92
Luxembourg,,amenagement-territoire.public.lu,https://amenagement-territoire.public.lu/,TRUE,0.81,0.94,1,1
Luxembourg,,amenagement-territoire.public.lu,https://amenagement-territoire.public.lu/fr/actualites/2025/dater.html,FALSE,0.86,0.94,1,1
Luxembourg,,ana.gouvernement.lu,https://ana.gouvernement.lu/,TRUE,0.63,1,0.96,1
Luxembourg,,ana.gouvernement.lu,https://ana.gouvernement.lu/fr/actualites/mes-actualites/2025/nomination-andrea-drescher.html,FALSE,0.84,0.99,1,1
Luxembourg,,ana.gouvernement.lu,https://ana.gouvernement.lu/fr/support/aspects-legaux.html,FALSE,0.72,0.99,0.96,1
Luxembourg,,androzoo.uni.lu,https://androzoo.uni.lu/,TRUE,0.58,0.9,1,0.91
Luxembourg,,androzoo.uni.lu,https://androzoo.uni.lu/access,FALSE,0.87,0.93,1,0.91
Luxembourg,,anf.gouvernement.lu,https://anf.gouvernement.lu/,TRUE,0.84,1,0.96,1
Luxembourg,,anf.gouvernement.lu,https://anf.gouvernement.lu/fr/actualites.gouvernement2024%2Bfr%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2025%2B04-avril%2B25-wilmes-bilan-eco-points.html,FALSE,0.79,1,0.78,0.92
Luxembourg,,anf.gouvernement.lu,https://anf.gouvernement.lu/fr/support/aspects-legaux.html,FALSE,0.74,0.99,0.96,1
Luxembourg,,anlux.public.lu,https://anlux.public.lu/,TRUE,0.73,0.94,1,1
Luxembourg,,anlux.public.lu,https://anlux.public.lu/fr/actualites/2025/postes-vacants-juillet2025.html,FALSE,0.77,0.94,0.96,1
Luxembourg,,anlux.public.lu,https://anlux.public.lu/fr/decouvrir-apprendre/participer.html,FALSE,0.85,0.9,1,1
Luxembourg,,annuaire.public.lu,https://annuaire.public.lu/,TRUE,0.61,1,1,1
Luxembourg,,annuaire.public.lu,https://annuaire.public.lu/fr.html?id=110,FALSE,0.38,0.95,1,0.92
Luxembourg,,annuaire.public.lu,https://annuaire.public.lu/fr/support/aspects-legaux.html,FALSE,0.88,1,0.96,1
Luxembourg,,aop.public.lu,https://aop.public.lu/,TRUE,0.55,1,1,1
Luxembourg,,aop.public.lu,https://aop.public.lu/fr/support/aspects-legaux.html,FALSE,0.74,1,1,1
Luxembourg,,ap.public.lu,https://ap.public.lu/,TRUE,0.39,0.96,1,0.92
Luxembourg,,ap.public.lu,https://ap.public.lu/aspects-legaux/,FALSE,0.78,1,1,0.92
Luxembourg,,armee.gouvernement.lu,https://armee.gouvernement.lu/,TRUE,0.7,0.99,0.78,1
Luxembourg,,armee.gouvernement.lu,https://armee.gouvernement.lu/fr/actualites.gouvernement2024%2Bfr%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2025%2B04-avril%2B01-backes-detachement-benelux.html,FALSE,0.74,1,0.78,0.92
Luxembourg,,armee.gouvernement.lu,https://armee.gouvernement.lu/fr/support/aspects-legaux.html,FALSE,0.72,0.99,0.96,1
Luxembourg,,armee.public.lu,https://armee.public.lu/,TRUE,0.69,0.95,1,1
Luxembourg,,armee.public.lu,https://armee.public.lu/fr/support/aspects-legaux.html,FALSE,0.58,0.96,1,1
Luxembourg,,atp.gouvernement.lu,https://atp.gouvernement.lu/,TRUE,0.67,0.96,1,1
Luxembourg,,atp.gouvernement.lu,https://atp.gouvernement.lu/fr/support/aspects-legaux.html,FALSE,0.81,0.99,1,1
Luxembourg,,bamhaiser.esch.lu,https://bamhaiser.esch.lu/,TRUE,0.68,0.92,1,0.92
Luxembourg,,bamhaiser.esch.lu,https://bamhaiser.esch.lu/bamhaiser-fr/la-maison-de-maisy/,FALSE,0.73,0.92,0.96,0.92
Luxembourg,,bamhaiser.esch.lu,https://bamhaiser.esch.lu/infos/politique-de-confidentialite/,FALSE,0.59,0.89,1,0.92
Luxembourg,,bettembourg.lu,https://bettembourg.lu/,TRUE,0.46,0.82,1,0.85
Luxembourg,,bettembourg.lu,https://bettembourg.lu/carte/,FALSE,0.27,0.84,1,0.85
Luxembourg,,bettembourg.lu,https://bettembourg.lu/news/nouvelle-edition-du-bulletin-communal-16/,FALSE,0.34,0.82,1,0.85
Luxembourg,,bierger.remich.lu,https://bierger.remich.lu/,TRUE,0.5,0.9,1,0.92
Luxembourg,,bierger.remich.lu,https://bierger.remich.lu/en/2025/07/05/11-13-07-2025-ironman-in-remich-wichtige-infos/,FALSE,0.62,0.89,0.96,0.85
Luxembourg,,bierger.remich.lu,https://bierger.remich.lu/en/2025/07/17/servior-jousefshaus-freiwillige-helfer-gesucht/,FALSE,0.28,0.87,1,0.85
