country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Sweden,,1177direkt.regionvastmanland.se,https://1177direkt.regionvastmanland.se/,TRUE,0.38,1,0.82,0.58
Sweden,,1177direkt.regionvastmanland.se,https://1177direkt.regionvastmanland.se/privacyPolicy,FALSE,0.38,1,0.78,0.54
Sweden,,aad-mfa-reset.goteborg.se,https://aad-mfa-reset.goteborg.se/,TRUE,0.93,1,0.82,0.91
Sweden,,admin.jagarregistret.naturvardsverket.se,https://admin.jagarregistret.naturvardsverket.se/,TRUE,0.74,0.9,1,0.92
Sweden,,aichatt.konsumentverket.se,https://aichatt.konsumentverket.se/,TRUE,0.77,0.96,1,1
Sweden,,alfresco7.svk.se,https://alfresco7.svk.se/,TRUE,0.91,0.74,0.96,0.58
Sweden,,alkt.sodertalje.se,https://alkt.sodertalje.se/,TRUE,0.97,0.86,0.93,0.91
Sweden,,allaktivitetshus.uppsala.se,https://allaktivitetshus.uppsala.se/,TRUE,0.7,0.96,1,0.92
Sweden,,allaktivitetshus.uppsala.se,https://allaktivitetshus.uppsala.se/allaktivitetshus-i-uppsala/,FALSE,0.82,1,1,0.92
Sweden,,allis.uppsala.se,https://allis.uppsala.se/,TRUE,0.86,0.96,1,0.92
Sweden,,allis.uppsala.se,https://allis.uppsala.se/link/fd0512b01d1c49b3a78d41be49b67e65.aspx?gpid=75882,FALSE,0.78,0.98,1,0.92
Sweden,,allis.uppsala.se,https://allis.uppsala.se/om_oss/aktiviteter/,FALSE,0.85,1,1,0.92
Sweden,,almtunaskolan.uppsala.se,https://almtunaskolan.uppsala.se/,TRUE,0.78,1,1,0.92
Sweden,,almtunaskolan.uppsala.se,https://almtunaskolan.uppsala.se/link/28db6d03c06645a8a15a4304e65fa81b.aspx?gpid=75882,FALSE,0.78,0.98,1,0.92
Sweden,,almtunaskolan.uppsala.se,https://almtunaskolan.uppsala.se/omskolan/,FALSE,0.84,1,1,0.92
Sweden,,anlaggningsregister.umea.se,https://anlaggningsregister.umea.se/,TRUE,0.86,0.8,0.52,0.91
Sweden,,anlaggningsregister.umea.se,https://anlaggningsregister.umea.se/Default.aspx,FALSE,0.9,0.8,0.52,0.91
Sweden,,anmalan.konsumentverket.se,https://anmalan.konsumentverket.se/,TRUE,0.95,1,1,1
Sweden,,anmalan.konsumentverket.se,https://anmalan.konsumentverket.se/flow/anmalning-start,FALSE,0.77,1,1,0.54
Sweden,,anpassad-grundskola.uppsala.se,https://anpassad-grundskola.uppsala.se/,TRUE,0.87,1,1,0.92
Sweden,,anpassad-grundskola.uppsala.se,https://anpassad-grundskola.uppsala.se/vara-anpassade-grundskolor/,FALSE,0.74,1,1,0.92
Sweden,,apimanager.lantmateriet.se,https://apimanager.lantmateriet.se/,TRUE,0.57,0.95,0.96,0.83
Sweden,,apimanager.lantmateriet.se,https://apimanager.lantmateriet.se/devportal/apis/95a11ee8-fbe8-43e4-b299-7224307ddfec,FALSE,0.59,0.95,1,0.83
Sweden,,aqua.smhi.se,https://aqua.smhi.se/,TRUE,0.4,0.91,1,0.91
Sweden,,aqua.smhi.se,https://aqua.smhi.se/aquademo,FALSE,0.32,,0.96,0.92
Sweden,,archive.riksbank.se,https://archive.riksbank.se/,TRUE,1,0.68,0.96,1
Sweden,,archive.riksbank.se,https://archive.riksbank.se/sv/Webbarkiv/index.html,FALSE,0.99,0.59,0.96,0.91
Sweden,,arenorochfastigheter.uppsala.se,https://arenorochfastigheter.uppsala.se/,TRUE,0.75,0.97,1,0.92
Sweden,,arenorochfastigheter.uppsala.se,https://arenorochfastigheter.uppsala.se/link/3540bbb7b8fe41c5a3361d5e5657931a.aspx?gpid=75882,FALSE,0.8,0.99,1,0.92
Sweden,,artvisemobile.borlange.se,https://artvisemobile.borlange.se/,TRUE,0.94,0.86,0.93,0.91
Sweden,,asb.pts.se,https://asb.pts.se/,TRUE,0.8,0.81,1,0.75
Sweden,,asb.pts.se,https://asb.pts.se/asben/create,FALSE,0.79,0.92,1,0.75
Sweden,,auktion.kronofogden.se,https://auktion.kronofogden.se/,TRUE,0.96,0.81,0.96,0.82
Sweden,,auktion.kronofogden.se,https://auktion.kronofogden.se/auk/w.ObjectList?inC=KFM&inA=WEB,FALSE,0.66,0.81,0.96,0.82
Sweden,,auktionstorget.kronofogden.se,https://auktionstorget.kronofogden.se/,TRUE,0.83,0.97,1,0.77
Sweden,,auktionstorget.kronofogden.se,https://auktionstorget.kronofogden.se/77812.html?query=*,FALSE,0.77,0.96,0.93,0.58
Sweden,,auktionstorget.kronofogden.se,https://auktionstorget.kronofogden.se/Sokfastigheterbostadsratter.html?query=*,FALSE,0.89,0.9,1,0.58
Sweden,,auth.ea.trafikverket.se,https://auth.ea.trafikverket.se/,TRUE,0.74,1,1,0.83
Sweden,,authtoken.umea.se,https://authtoken.umea.se/,TRUE,0.69,0.9,0.96,0.5
Sweden,,authtoken.umea.se,https://authtoken.umea.se/LoginStatusJsCommunicator,FALSE,0.99,0.55,0.93,0.45
Sweden,,avtalsnyheter.goteborg.se,https://avtalsnyheter.goteborg.se/,TRUE,0.99,1,0.74,0.83
Sweden,,bariumapp.vgregion.se,https://bariumapp.vgregion.se/,TRUE,0.58,0.82,1,0.54
Sweden,,batman.trafikverket.se,https://batman.trafikverket.se/,TRUE,0.69,1,1,0.82
Sweden,,batplats.vasteras.se,https://batplats.vasteras.se/,TRUE,0.96,0.88,1,0.91
Sweden,,batplats.vasteras.se,https://batplats.vasteras.se/BokaBetala,FALSE,0.75,0.81,1,0.82
Sweden,,batplatser.karlskrona.se,https://batplatser.karlskrona.se/,TRUE,0.85,0.85,0.96,0.91
Sweden,,batplatser.karlskrona.se,https://batplatser.karlskrona.se/sv/Boka,FALSE,0.69,0.8,0.96,0.82
Sweden,,beo.skolinspektionen.se,https://beo.skolinspektionen.se/,TRUE,0.8,0.9,1,0.85
Sweden,,beo.skolinspektionen.se,https://beo.skolinspektionen.se/lamna-uppgifter/,FALSE,0.81,0.95,1,0.92
Sweden,,bestalladata.socialstyrelsen.se,https://bestalladata.socialstyrelsen.se/,TRUE,0.69,1,0.96,1
Sweden,,bestalladata.socialstyrelsen.se,https://bestalladata.socialstyrelsen.se/data-for-forskning/,FALSE,0.26,1,0.96,0.92
Sweden,,bestalladata.socialstyrelsen.se,https://bestalladata.socialstyrelsen.se/stod-till-kvalitetsregister/,FALSE,0.77,1,0.96,0.92
Sweden,,betala.etjanst.domstol.se,https://betala.etjanst.domstol.se/,TRUE,0.74,1,1,0.91
Sweden,,betalning.bolagsverket.se,https://betalning.bolagsverket.se/,TRUE,0.71,0.95,1,0.83
Sweden,,bevaringsprogram.lund.se,https://bevaringsprogram.lund.se/,TRUE,0.83,0.9,0.96,0.92
Sweden,,bevaringsprogram.lund.se,https://bevaringsprogram.lund.se/wiki/Inledning,FALSE,0.97,0.89,0.96,0.83
Sweden,,bevaringsprogram.lund.se,https://bevaringsprogram.lund.se/wiki/L%C3%A4sanvisningar,FALSE,0.94,0.93,0.96,0.92
Sweden,,bibblan.regionvarmland.se,https://bibblan.regionvarmland.se/,TRUE,0.43,0.89,0.96,0.83
Sweden,,bibblan.regionvarmland.se,https://bibblan.regionvarmland.se/sommarlasning,FALSE,0.56,0.89,0.96,0.83
Sweden,,bibliotek.eskilstuna.se,https://bibliotek.eskilstuna.se/,TRUE,0.58,1,1,0.92
