country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Czech Republic,,adisspr.mfcr.cz,https://adisspr.mfcr.cz/,TRUE,0.41,0.98,0.96,0.92
Czech Republic,,adisspr.mfcr.cz,https://adisspr.mfcr.cz/dpr/adis/idpr/vatref/ds.faces,FALSE,0.81,0.84,0.96,0.92
Czech Republic,,adisspr.mfcr.cz,https://adisspr.mfcr.cz/pmd/home/dac7-vyber-provozovatele,FALSE,0.39,0.93,0.96,0.92
Czech Republic,,akce.plzen.eu,https://akce.plzen.eu/,TRUE,0.67,0.87,1,1
Czech Republic,,akce.plzen.eu,https://akce.plzen.eu/?date=dnes,FALSE,0.51,0.87,1,1
Czech Republic,,akce.plzen.eu,https://akce.plzen.eu/?date=vikend,FALSE,0.55,0.87,1,1
Czech Republic,,akreditace.mzcr.cz,https://akreditace.mzcr.cz/,TRUE,0.79,0.82,1,0.92
Czech Republic,,akreditace.mzcr.cz,https://akreditace.mzcr.cz/akreditace/,FALSE,0.66,0.82,1,0.92
Czech Republic,,akreditace.mzcr.cz,https://akreditace.mzcr.cz/akreditace/zakladni-kmeny-ua,FALSE,0.6,0.84,1,0.92
Czech Republic,,akris.mpsv.cz,https://akris.mpsv.cz/,TRUE,0.9,0.65,1,0.82
Czech Republic,,amo.ostrava.cz,https://amo.ostrava.cz/,TRUE,0.8,0.8,0.96,1
Czech Republic,,amo.ostrava.cz,https://amo.ostrava.cz/odboj-1939-1945-databaze-ostravskych-obeti-nacistickeho-rezimu/,FALSE,0.88,0.86,0.96,1
Czech Republic,,amo.ostrava.cz,https://amo.ostrava.cz/rekonstrukce-strechy-historicke-budovy-archivu/,FALSE,0.87,0.85,0.89,1
Czech Republic,,amp.plzen.eu,https://amp.plzen.eu/,TRUE,0.85,1,1,0.92
Czech Republic,,amp.plzen.eu,https://amp.plzen.eu/o-nas/aktuality/mezinarodni-den-archivu-online-vystava/,FALSE,0.89,0.97,1,0.92
Czech Republic,,apl.brno.cz,https://apl.brno.cz/,TRUE,1,0.55,0.93,0.8
Czech Republic,,archiv.brno.cz,https://archiv.brno.cz/,TRUE,0.81,0.95,0.96,0.85
