country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Denmark,,aa.rm.dk,https://aa.rm.dk/,TRUE,0.94,0.8,0.96,0.82
Denmark,,aabenraa.dk,https://aabenraa.dk/,TRUE,0.53,0.97,0.96,0.92
Denmark,,aabenraa.dk,https://aabenraa.dk/aktiv-og-oplev/det-sker,FALSE,0.11,0.97,1,0.92
Denmark,,aabenskole.kk.dk,https://aabenskole.kk.dk/,TRUE,0.86,0.97,1,0.92
Denmark,,aabenskole.kk.dk,https://aabenskole.kk.dk/ny-pulje-for-madundervisning-til-skoleaaret-2526,FALSE,0.94,0.95,1,1
Denmark,,aabneaktivitetscentre.horsens.dk,https://aabneaktivitetscentre.horsens.dk/,TRUE,0.52,1,0.96,0.92
Denmark,,aabneaktivitetscentre.horsens.dk,https://aabneaktivitetscentre.horsens.dk/aktivitetscentre,FALSE,0.66,0.94,0.96,0.83
Denmark,,aabneaktivitetscentre.horsens.dk,https://aabneaktivitetscentre.horsens.dk/info,FALSE,0.01,0.94,0.93,0.83
Denmark,,aabyskole.aarhus.dk,https://aabyskole.aarhus.dk/,TRUE,0.59,0.91,0.93,0.83
Denmark,,aabyskole.aarhus.dk,https://aabyskole.aarhus.dk/vores-skole,FALSE,0.27,0.91,0.93,0.83
Denmark,,aabyskole.aarhus.dk,https://aabyskole.aarhus.dk/vores-skole/mad-paa-skolen,FALSE,0.65,0.9,0.93,0.83
Denmark,,aalborguh.rn.dk,https://aalborguh.rn.dk/,TRUE,0.83,0.97,0.96,0.77
Denmark,,aalborguh.rn.dk,https://aalborguh.rn.dk/da/,FALSE,0.46,0.97,0.96,0.77
Denmark,,aalborguh.rn.dk,https://aalborguh.rn.dk/da/Praktisk-Information/Aalborg-Syd,FALSE,0.76,0.97,0.96,0.77
Denmark,,aarhus.dk,https://aarhus.dk/,TRUE,0.62,0.96,0.93,0.92
Denmark,,aarhus.dk,https://aarhus.dk/borger/borgerservice/akut-hjaelp,FALSE,0.57,0.97,0.75,0.92
Denmark,,aeldrecentre.hjoerring.dk,https://aeldrecentre.hjoerring.dk/,TRUE,0.9,0.96,1,0.85
Denmark,,aeldrecentre.hjoerring.dk,https://aeldrecentre.hjoerring.dk/aeldrecentre,FALSE,0.73,0.96,1,0.85
Denmark,,affald.kk.dk,https://affald.kk.dk/,TRUE,0.55,0.92,1,0.92
Denmark,,affald.kk.dk,https://affald.kk.dk/kalender,FALSE,0.78,0.88,1,1
Denmark,,affald.kk.dk,https://affald.kk.dk/soeg,FALSE,0.49,0.93,1,0.91
Denmark,,akbehandling.regionh.dk,https://akbehandling.regionh.dk/,TRUE,0.55,0.71,0.96,0.9
