country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Ireland,,aai.gov.ie,https://aai.gov.ie/,TRUE,0.65,0.88,0.75,0.67
Ireland,,aai.gov.ie,https://aai.gov.ie/en/component/content/article/535-the-aai-has-launched-a-new-research-report-entitled-%E2%80%9Cthe-lived-experience-of-intercountry-adopted-adults-in-ireland%E2%80%9D.html?catid=30&Itemid=429,FALSE,0.52,0.89,0.75,0.67
Ireland,,aai.gov.ie,https://aai.gov.ie/en/what-we-do/domestic/adoption-orders-and-hearings.html,FALSE,0.79,0.93,0.74,0.75
Ireland,,about.hse.ie,https://about.hse.ie/,TRUE,0.9,0.98,1,1
Ireland,,about.hse.ie,https://about.hse.ie/leadership-and-operations/,FALSE,0.83,1,1,1
Ireland,,about.hse.ie,https://about.hse.ie/our-work/,FALSE,0.66,0.95,1,1
Ireland,,affordablehomes.dublincity.ie,https://affordablehomes.dublincity.ie/,TRUE,0.7,0.87,1,0.5
Ireland,,affordablehomes.dublincity.ie,https://affordablehomes.dublincity.ie/DocumentationChecklist,FALSE,0.45,0.85,0.81,0.58
Ireland,,affordablehomes.dublincity.ie,https://affordablehomes.dublincity.ie/ssauth/register?return_url=https%3A%2F%2Faffordablehomes.dublincity.ie%2Fen&lang=en,FALSE,0.12,0.8,0.82,0.42
Ireland,,aim.gov.ie,https://aim.gov.ie/providers/,FALSE,0.74,1,0.96,0.92
Ireland,,aimsportal.apps.services.agriculture.gov.ie,https://aimsportal.apps.services.agriculture.gov.ie/,TRUE,0.56,0.97,1,0.91
Ireland,,alerts.corkcity.ie,https://alerts.corkcity.ie/,TRUE,0.6,0.96,0.96,0.92
Ireland,,alerts.corkcity.ie,https://alerts.corkcity.ie/register,FALSE,0.58,1,0.96,0.63
Ireland,,alerts.dublincity.ie,https://alerts.dublincity.ie/,TRUE,0.68,0.83,0.96,0.91
Ireland,,alerts.dublincity.ie,https://alerts.dublincity.ie/register,FALSE,0.65,0.88,0.96,1
Ireland,,alerts.fingal.ie,https://alerts.fingal.ie/,TRUE,0.7,0.93,1,0.92
Ireland,,alerts.fingal.ie,https://alerts.fingal.ie/register,FALSE,0.7,1,1,0.58
Ireland,,alerts.kilkennycoco.ie,https://alerts.kilkennycoco.ie/,TRUE,0.58,0.95,1,1
Ireland,,alerts.kilkennycoco.ie,https://alerts.kilkennycoco.ie/register,FALSE,0.62,0.96,1,0.58
Ireland,,alerts.meath.ie,https://alerts.meath.ie/,TRUE,0.59,0.98,0.96,1
Ireland,,alerts.meath.ie,https://alerts.meath.ie/latest?view=form,FALSE,0.48,0.94,0.96,0.91
Ireland,,alerts.monaghancoco.ie,https://alerts.monaghancoco.ie/,TRUE,0.56,0.88,0.96,0.91
Ireland,,aosdana.artscouncil.ie,https://aosdana.artscouncil.ie/,TRUE,0.71,0.87,0.75,0.77
Ireland,,aosdana.artscouncil.ie,https://aosdana.artscouncil.ie/general/aosdana-expresses-its-sadness-at-the-death-of-sculptor-and-member-michael-warren/,FALSE,0.95,0.79,0.96,0.85
