country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Malta,,aacc.gov.mt,https://aacc.gov.mt/,TRUE,0.56,0.8,0.75,0.83
Malta,,aacc.gov.mt,https://aacc.gov.mt/centru-servizz-anzjan-il-quality-label/,FALSE,0.37,0.81,0.75,0.83
Malta,,aacc.gov.mt,https://aacc.gov.mt/legislazzjoni-u-pubblikazzjoni/,FALSE,0.59,0.79,0.74,0.83
Malta,,accommodation.gov.mt,https://accommodation.gov.mt/,TRUE,0.28,0.88,0.75,0.75
Malta,,accommodation.gov.mt,https://accommodation.gov.mt/ministry/,FALSE,0.43,0.89,0.79,0.67
Malta,,accommodation.gov.mt,https://accommodation.gov.mt/public-bodies/,FALSE,0.67,0.91,0.78,0.75
Malta,,accountancyboard.gov.mt,https://accountancyboard.gov.mt/,TRUE,0.67,0.92,0.75,0.91
Malta,,accountancyboard.gov.mt,https://accountancyboard.gov.mt/Home.aspx,FALSE,0.19,0.9,0.75,0.91
Malta,,accountancyboard.gov.mt,https://accountancyboard.gov.mt/Library/FrequentlyAskedQuestions.aspx,FALSE,0.93,0.96,0.7,0.91
Malta,,activeageing.gov.mt,https://activeageing.gov.mt/,TRUE,0.6,0.89,0.75,0.75
Malta,,activeageing.gov.mt,https://activeageing.gov.mt/ministry/,FALSE,0.39,0.89,0.79,0.67
Malta,,activeageing.gov.mt,https://activeageing.gov.mt/public-bodies/,FALSE,0.69,0.91,0.78,0.75
Malta,,afm.gov.mt,https://afm.gov.mt/,TRUE,0.75,0.91,0.75,0.83
Malta,,afm.gov.mt,https://afm.gov.mt/operations-deployments/,FALSE,0.72,0.92,0.93,0.83
Malta,,agriculture.gov.mt,https://agriculture.gov.mt/,TRUE,0.79,0.88,0.79,0.83
Malta,,agriculture.gov.mt,https://agriculture.gov.mt/malta-strategy-for-resilient-food-systems/,FALSE,0.91,0.95,0.79,0.83
Malta,,ahwd.gov.mt,https://ahwd.gov.mt/,TRUE,0.54,0.75,0.79,0.75
Malta,,ahwd.gov.mt,https://ahwd.gov.mt/dipartimenti/,FALSE,0.62,0.75,0.78,0.83
Malta,,ahwd.gov.mt,https://ahwd.gov.mt/en/,FALSE,0.28,0.75,0.79,0.67
Malta,,alliedhealthservices.gov.mt,https://alliedhealthservices.gov.mt/,TRUE,0.63,0.8,0.79,0.83
Malta,,alliedhealthservices.gov.mt,https://alliedhealthservices.gov.mt/en/,FALSE,0.31,0.8,0.79,0.83
Malta,,alliedhealthservices.gov.mt,https://alliedhealthservices.gov.mt/professjonijiet/,FALSE,0.68,0.72,0.78,0.83
Malta,,ambjentmalta.gov.mt,https://ambjentmalta.gov.mt/,TRUE,0.69,0.8,0.75,0.83
Malta,,ambjentmalta.gov.mt,https://ambjentmalta.gov.mt/mt/,FALSE,0.33,0.8,0.75,0.83
Malta,,ambjentmalta.gov.mt,https://ambjentmalta.gov.mt/the-department/,FALSE,0.55,0.75,0.74,0.83
Malta,,apollo.nso.gov.mt,https://apollo.nso.gov.mt/,TRUE,0.59,0.85,0.96,0.82
Malta,,apollo.nso.gov.mt,https://apollo.nso.gov.mt/admin,FALSE,0.56,1,1,0.91
Malta,,armi.gov.mt,https://armi.gov.mt/,TRUE,0.68,0.77,1,0.82
Malta,,armi.gov.mt,https://armi.gov.mt/en,FALSE,0.75,0.77,1,0.82
Malta,,arpa.gov.mt,https://arpa.gov.mt/,TRUE,0.63,0.75,0.75,0.75
Malta,,arpa.gov.mt,https://arpa.gov.mt/biedja-cam/,FALSE,0.48,0.79,0.74,0.83
Malta,,artscouncilmalta.gov.mt,https://artscouncilmalta.gov.mt/,TRUE,0.58,0.84,0.96,0.85
Malta,,artscouncilmalta.gov.mt,https://artscouncilmalta.gov.mt/opportunities/,FALSE,0.42,0.79,0.96,0.85
Malta,,artscouncilmalta.gov.mt,https://artscouncilmalta.gov.mt/publications/,FALSE,0.72,0.79,0.96,0.92
Malta,,avsystem.gov.mt,https://avsystem.gov.mt/,TRUE,0.86,0.82,0.96,0.82
Malta,,awas.gov.mt,https://awas.gov.mt/,TRUE,0.67,0.94,1,0.83
Malta,,awas.gov.mt,https://awas.gov.mt/legislation-and-projects/,FALSE,0.66,0.92,1,0.83
Malta,,bca.gov.mt,https://bca.gov.mt/,TRUE,0.63,0.91,1,0.75
Malta,,bca.gov.mt,https://bca.gov.mt/about%20us/,FALSE,0.38,1,1,0.83
Malta,,bca.gov.mt,https://bca.gov.mt/application-forms/,FALSE,0.32,0.97,1,0.83
Malta,,beltvallettalc.gov.mt,https://beltvallettalc.gov.mt/,TRUE,0.79,0.87,0.96,0.75
Malta,,beltvallettalc.gov.mt,https://beltvallettalc.gov.mt/live-streaming/,FALSE,0.54,0.89,0.96,0.75
Malta,,biccerija.gov.mt,https://biccerija.gov.mt/,TRUE,0.56,0.75,0.79,0.75
Malta,,biccerija.gov.mt,https://biccerija.gov.mt/en/,FALSE,0.28,0.75,0.79,0.75
Malta,,biccerija.gov.mt,https://biccerija.gov.mt/progetti/kors-fuq-it-trobbija-organiku-tal-hniezer/,FALSE,0.66,0.72,0.78,0.83
Malta,,birkirkaralc.gov.mt,https://birkirkaralc.gov.mt/,TRUE,0.75,0.87,0.96,0.67
Malta,,birkirkaralc.gov.mt,https://birkirkaralc.gov.mt/mt/live-streaming/,FALSE,0.56,0.93,0.96,0.75
Malta,,birzebbugalc.gov.mt,https://birzebbugalc.gov.mt/,TRUE,0.63,0.87,0.96,0.67
Malta,,birzebbugalc.gov.mt,https://birzebbugalc.gov.mt/live-streaming/,FALSE,0.59,0.93,0.96,0.75
Malta,,blood.gov.mt,https://blood.gov.mt/,TRUE,0.42,0.75,0.79,0.75
Malta,,blood.gov.mt,https://blood.gov.mt/en/,FALSE,0.34,0.75,0.79,0.75
Malta,,blood.gov.mt,https://blood.gov.mt/kun-eroj/,FALSE,0.63,0.72,0.78,0.45
Malta,,certifikati.identita.gov.mt,https://certifikati.identita.gov.mt/,TRUE,0.82,1,0.75,1
Malta,,cfr.gov.mt,https://cfr.gov.mt/,TRUE,0.59,0.88,0.74,0.73
Malta,,cfr.gov.mt,https://cfr.gov.mt/en/onlinepayments/Pages/Online-Payments.aspx,FALSE,0.77,0.91,0.74,0.82
Malta,,cleanandupkeep.gov.mt,https://cleanandupkeep.gov.mt/,TRUE,0.02,0.9,0.68,0.91
Malta,,commerce.gov.mt,https://commerce.gov.mt/,TRUE,0.29,0.81,0.75,0.83
Malta,,commerce.gov.mt,https://commerce.gov.mt/premju-proprjeta-intellettwali-malta/,FALSE,0.35,0.77,0.75,0.83
Malta,,commerce.gov.mt,https://commerce.gov.mt/proprjeta-intellettwali/,FALSE,0.38,0.79,0.56,0.83
Malta,,commissioneranimalwelfare.gov.mt,https://commissioneranimalwelfare.gov.mt/,TRUE,0.3,0.96,0.75,0.92
Malta,,commissioneranimalwelfare.gov.mt,https://commissioneranimalwelfare.gov.mt/contact-us/,FALSE,0.31,1,0.79,0.91
Malta,,consularplus.gov.mt,https://consularplus.gov.mt/,TRUE,0.57,1,1,0.67
Malta,,consularplus.gov.mt,https://consularplus.gov.mt/nearest-mission,FALSE,0.69,0.97,0.93,0.67
Malta,,consumeraffairscouncil.gov.mt,https://consumeraffairscouncil.gov.mt/,TRUE,0.76,0.93,0.93,0.83
Malta,,consumeraffairscouncil.gov.mt,https://consumeraffairscouncil.gov.mt/consumer-rights/,FALSE,0.63,0.88,0.89,0.83
Malta,,continentalshelf.gov.mt,https://continentalshelf.gov.mt/,TRUE,0.61,0.81,0.71,0.83
Malta,,continentalshelf.gov.mt,https://continentalshelf.gov.mt/en/contact/,FALSE,0.35,0.81,0.75,0.83
Malta,,continentalshelf.gov.mt,https://continentalshelf.gov.mt/the-department/,FALSE,0.59,0.72,0.74,0.83
Malta,,contracts.gov.mt,https://contracts.gov.mt/,TRUE,0.64,0.8,0.75,0.83
Malta,,contracts.gov.mt,https://contracts.gov.mt/dipartimenti/,FALSE,0.6,0.75,0.74,0.83
Malta,,contracts.gov.mt,https://contracts.gov.mt/en/,FALSE,0.34,0.8,0.75,0.75
Malta,,courts.gov.mt,https://courts.gov.mt/,TRUE,0.77,0.93,1,0.83
Malta,,courts.gov.mt,https://courts.gov.mt/fit-and-proper/,FALSE,0.32,0.95,0.75,0.92
Malta,,courts.gov.mt,https://courts.gov.mt/the-courts/,FALSE,0.58,0.95,1,0.92
Malta,,cpcm.gov.mt,https://cpcm.gov.mt/,TRUE,0.71,0.8,0.79,0.83
Malta,,cpcm.gov.mt,https://cpcm.gov.mt/en/,FALSE,0.34,0.8,0.79,0.75
Malta,,cpcm.gov.mt,https://cpcm.gov.mt/servizzi/,FALSE,0.71,0.67,0.78,0.75
Malta,,cportal.gov.mt,https://cportal.gov.mt/,TRUE,0.62,0.68,1,0.9
