country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Norway,,a3.kystverket.no,https://a3.kystverket.no/,TRUE,0.55,0.65,0.74,0.67
Norway,,aksel.nav.no,https://aksel.nav.no/,TRUE,0.66,1,1,1
Norway,,aksel.nav.no,https://aksel.nav.no/designsystemet,FALSE,0.73,1,1,1
Norway,,analysebrettet.udir.no,https://analysebrettet.udir.no/,TRUE,0.56,0.99,0.96,0.83
Norway,,api.nve.no,https://api.nve.no/,TRUE,0.74,0.74,0.75,1
Norway,,api.nve.no,https://api.nve.no/doc/elsertifikater/,FALSE,0.47,0.85,0.75,0.9
Norway,,api.nve.no,https://api.nve.no/doc/kulturminner-i-vassdrags-og-energisektoren/,FALSE,0.8,0.85,0.74,0.9
Norway,,arbeidogvelferd.nav.no,https://arbeidogvelferd.nav.no/,TRUE,0.81,0.95,1,1
Norway,,arbeidogvelferd.nav.no,https://arbeidogvelferd.nav.no/article/2025/06/P-virkes-brukernes-arbeidsdeltakelse-av-sykefrav-r-og-bemanning-ved-Nav-kontoret-,FALSE,0.81,0.94,0.81,1
Norway,,arbeidogvelferd.nav.no,https://arbeidogvelferd.nav.no/journal/latest,FALSE,0.52,1,1,1
Norway,,arbeidsmiljohjelpen.arbeidstilsynet.no,https://arbeidsmiljohjelpen.arbeidstilsynet.no/,TRUE,0.94,1,0.57,1
Norway,,arbeidsmiljohjelpen.arbeidstilsynet.no,https://arbeidsmiljohjelpen.arbeidstilsynet.no/bransje/ambulanse-brann-og-redning/,FALSE,0.6,0.98,0.57,0.92
Norway,,arbeidsmiljohjelpen.arbeidstilsynet.no,https://arbeidsmiljohjelpen.arbeidstilsynet.no/bransje/anlegg/,FALSE,0.92,0.99,0.56,0.92
Norway,,arbeidsplassen.nav.no,https://arbeidsplassen.nav.no/,TRUE,0.93,1,1,1
Norway,,arbeidsplassen.nav.no,https://arbeidsplassen.nav.no/informasjonskapsler,FALSE,0.82,1,1,0.91
Norway,,arbeidsplassen.nav.no,https://arbeidsplassen.nav.no/sommerjobb,FALSE,0.96,1,1,1
Norway,,atcddd.fhi.no,https://atcddd.fhi.no/,TRUE,1,0.76,0.93,0.92
Norway,,atcddd.fhi.no,https://atcddd.fhi.no/lists_of__temporary_atc_ddds_and_alterations/,FALSE,1,0.76,0.93,0.83
Norway,,atlas.nve.no,https://atlas.nve.no/,TRUE,0.42,0.84,0.79,0.91
Norway,,autosys-kjoretoy-api.atlas.vegvesen.no,https://autosys-kjoretoy-api.atlas.vegvesen.no/,TRUE,0.95,0.74,0.93,0.82
Norway,,autosys-kjoretoy-api.atlas.vegvesen.no,https://autosys-kjoretoy-api.atlas.vegvesen.no/api-ui/apen,FALSE,0.99,0.6,0.96,0.82
Norway,,barnehagefakta.udir.no,https://barnehagefakta.udir.no/,TRUE,0.65,0.95,0.96,1
Norway,,barnehagefakta.udir.no,https://barnehagefakta.udir.no/sok/kart,FALSE,0.57,0.91,0.75,0.83
Norway,,bestill.bufdir.no,https://bestill.bufdir.no/,TRUE,0.74,0.85,1,0.75
Norway,,bestill.bufdir.no,https://bestill.bufdir.no/pub/foreldreveiledning-1,FALSE,0.68,0.69,1,0.75
Norway,,bestill.bufdir.no,https://bestill.bufdir.no/pub/likestilling-og-inkludering,FALSE,0.74,0.84,1,0.75
Norway,,datafangst.vegvesen.no,https://datafangst.vegvesen.no/,TRUE,0.6,0.87,0.93,0.9
Norway,,datafangst.vegvesen.no,https://datafangst.vegvesen.no/noauth/,FALSE,0.52,0.87,0.93,0.9
Norway,,dataut.vegvesen.no,https://dataut.vegvesen.no/,TRUE,0.7,0.83,1,0.83
Norway,,dataut.vegvesen.no,https://dataut.vegvesen.no/dataset/,FALSE,0.85,0.78,1,0.75
Norway,,dataut.vegvesen.no,https://dataut.vegvesen.no/user/login,FALSE,0.86,0.9,1,0.83
Norway,,dekningskart.nkom.no,https://dekningskart.nkom.no/,TRUE,0.92,,0.96,0.91
Norway,,deltager.eps.udir.no,https://deltager.eps.udir.no/,TRUE,0.81,0.94,0.96,0.82
Norway,,digitaleksamen.lovdata.no,https://digitaleksamen.lovdata.no/,TRUE,0.83,0.78,1,0.58
Norway,,edialog.udi.no,https://edialog.udi.no/,TRUE,0.74,0.86,0.78,0.91
Norway,,eksamen.lovdata.no,http://eksamen.lovdata.no/,TRUE,0.68,1,0.79,0.66
Norway,,eksamen.lovdata.no,http://eksamen.lovdata.no/artikkel/her_er_regelendringene_som_gjelder_fra_1__juli_2025/5131,FALSE,0.69,0.97,0.79,0.58
Norway,,eksamensplan.udir.no,https://eksamensplan.udir.no/,TRUE,0.94,0.89,0.89,0.83
Norway,,elev.udir.no,https://elev.udir.no/,TRUE,0.75,1,0.82,0.91
Norway,,elrapp.atlas.vegvesen.no,https://elrapp.atlas.vegvesen.no/,TRUE,0.55,0.7,1,0.58
Norway,,fiksvegdata.atlas.vegvesen.no,https://fiksvegdata.atlas.vegvesen.no/,TRUE,0.69,0.93,1,1
Norway,,finnhjelpemiddel.nav.no,https://finnhjelpemiddel.nav.no/,TRUE,0.77,1,1,0.83
Norway,,finnhjelpemiddel.nav.no,https://finnhjelpemiddel.nav.no/personvern,FALSE,0.71,0.94,1,0.83
Norway,,finnhjelpemiddel.nav.no,https://finnhjelpemiddel.nav.no/rammeavtale/hjelpemidler/b062ea46-9cec-4503-982c-943c1734120d,FALSE,0.19,1,0.96,0.83
Norway,,fiskeravgift.miljodirektoratet.no,https://fiskeravgift.miljodirektoratet.no/,TRUE,0.91,0.93,1,0.91
Norway,,fiskeravgift.miljodirektoratet.no,https://fiskeravgift.miljodirektoratet.no/betal?Length=4,FALSE,0.86,0.88,0.89,0.91
Norway,,frekvens.nkom.no,https://frekvens.nkom.no/,TRUE,0.51,0.92,1,0.82
Norway,,geocortex02.miljodirektoratet.no,https://geocortex02.miljodirektoratet.no/,TRUE,0.98,0.86,0.93,0.91
Norway,,grunnforurensning.miljodirektoratet.no,https://grunnforurensning.miljodirektoratet.no/,TRUE,0.25,0.84,0.48,0.73
Norway,,gsi.udir.no,https://gsi.udir.no/,TRUE,0.82,0.89,0.96,0.91
Norway,,gsi.udir.no,https://gsi.udir.no/informasjon/apne/,FALSE,0.86,0.93,0.96,0.91
Norway,,hjelp.lovdata.no,https://hjelp.lovdata.no/,TRUE,0.91,0.86,1,1
Norway,,hjelp.lovdata.no,https://hjelp.lovdata.no/category/271-innhold-i-lovdata-pro-2,FALSE,0.92,0.81,1,1
Norway,,hoering.miljodirektoratet.no,https://hoering.miljodirektoratet.no/,TRUE,0.72,1,1,0.91
Norway,,hoering.udir.no,https://hoering.udir.no/,TRUE,0.73,1,1,0.91
Norway,,info.altinn.no,https://info.altinn.no/,TRUE,0.99,1,0.82,0.83
Norway,,info.altinn.no,https://info.altinn.no/skjemaoversikt/,FALSE,0.88,1,0.81,0.83
Norway,,info.altinn.no,https://info.altinn.no/skjemaoversikt/bronnoysundregistrene/samordnet-registermelding---registrering-av-nye-og-endring-av-eksisterende-foretak-og-enheter/,FALSE,0.89,0.93,0.82,0.83
Norway,,info.tt02.altinn.no,https://info.tt02.altinn.no/,TRUE,1,1,0.78,0.5
Norway,,info.tt02.altinn.no,https://info.tt02.altinn.no/skjemaoversikt/,FALSE,0.94,1,0.78,0.5
