country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Netherlands,,3d.amsterdam.nl,https://3d.amsterdam.nl/,TRUE,0.94,0.84,0.96,0.9
Netherlands,,aanmeldenparkeren.amsterdam.nl,https://aanmeldenparkeren.amsterdam.nl/,TRUE,0.94,1,0.96,0.91
Netherlands,,aanvraagparkeren.groningen.nl,https://aanvraagparkeren.groningen.nl/,TRUE,0.88,1,1,0.91
Netherlands,,aanvraagparkeren.groningen.nl,https://aanvraagparkeren.groningen.nl/Account/Login,FALSE,0.85,0.94,1,0.91
Netherlands,,activiteiten.amsterdam.nl,https://activiteiten.amsterdam.nl/,TRUE,0.8,0.96,0.81,1
Netherlands,,activiteiten.amsterdam.nl,https://activiteiten.amsterdam.nl/?CalDtm=20250805,FALSE,0.66,0.96,0.79,0.66
Netherlands,,activiteiten.amsterdam.nl,https://activiteiten.amsterdam.nl/activiteiten/2025/01/spreekuur-vondelpark-willemsparkbuurt/,FALSE,0.81,1,0.78,1
Netherlands,,afspraakmaken.enschede.nl,https://afspraakmaken.enschede.nl/,TRUE,0.79,0.95,0.96,0.91
Netherlands,,afspraakmaken.enschede.nl,https://afspraakmaken.enschede.nl/?language=de-DE,FALSE,0.69,0.95,0.96,0.91
Netherlands,,afspraken.amersfoort.nl,https://afspraken.amersfoort.nl/,TRUE,0.54,1,0.93,0.83
Netherlands,,afspraken.belastingdienst.nl,https://afspraken.belastingdienst.nl/,TRUE,0.55,0.94,1,0.83
Netherlands,,afspraken.zwolle.nl,https://afspraken.zwolle.nl/,TRUE,0.7,0.94,1,0.91
Netherlands,,afvalkalender.alphenaandenrijn.nl,https://afvalkalender.alphenaandenrijn.nl/,TRUE,0.68,1,1,0.92
Netherlands,,afvalkalender.alphenaandenrijn.nl,https://afvalkalender.alphenaandenrijn.nl/afvalwijzer,FALSE,0.65,1,1,0.92
Netherlands,,afvalkalender.alphenaandenrijn.nl,https://afvalkalender.alphenaandenrijn.nl/privacy,FALSE,0.59,1,1,0.92
Netherlands,,algoritmes.overheid.nl,https://algoritmes.overheid.nl/,TRUE,0.78,0.96,0.93,1
Netherlands,,algoritmes.overheid.nl,https://algoritmes.overheid.nl/nl/algoritme/31561642,FALSE,0.49,0.97,0.93,1
Netherlands,,algoritmes.overheid.nl,https://algoritmes.overheid.nl/nl/algoritme/53213554,FALSE,0.83,0.93,0.93,1
Netherlands,,antwoord.cbs.nl,https://antwoord.cbs.nl/,TRUE,0.69,1,1,1
Netherlands,,antwoord.cbs.nl,https://antwoord.cbs.nl/Login/Cookies,FALSE,0.77,0.99,1,1
Netherlands,,aoep-iam.rvo.nl,https://aoep-iam.rvo.nl/,TRUE,1,0.77,0.89,0.54
Netherlands,,api.data.amsterdam.nl,https://api.data.amsterdam.nl/,TRUE,0.93,0.92,0.93,0.91
Netherlands,,api.data.amsterdam.nl,https://api.data.amsterdam.nl/v1/docs/,FALSE,0.73,0.88,0.93,0.9
Netherlands,,api.data.amsterdam.nl,https://api.data.amsterdam.nl/v1/docs/generic/gis.html,FALSE,0.7,0.85,0.89,0.9
Netherlands,,apis.developer.overheid.nl,https://apis.developer.overheid.nl/,TRUE,0.89,0.94,0.96,0.91
Netherlands,,apis.developer.overheid.nl,https://apis.developer.overheid.nl/apis/toevoegen,FALSE,0.97,0.94,0.96,0.91
Netherlands,,apis.developer.overheid.nl,https://apis.developer.overheid.nl/organisaties/centraal-bureau-voor-de-statistiek,FALSE,0.92,0.94,0.96,0.91
Netherlands,,app.meldingen.amsterdam.nl,https://app.meldingen.amsterdam.nl/,TRUE,,0.87,0.82,0.82
Netherlands,,app.meldingen.amsterdam.nl,https://app.meldingen.amsterdam.nl/meldingenkaart,FALSE,,0.98,0.79,0.83
Netherlands,,app6.nijmegen.nl,https://app6.nijmegen.nl/,TRUE,0.72,1,1,0.5
