country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Switzerland,,abstimmungen.admin.ch,https://abstimmungen.admin.ch/,TRUE,0.88,0.79,1,0.91
Switzerland,,abz.inf.ethz.ch,https://abz.inf.ethz.ch/,TRUE,0.8,0.84,1,0.85
Switzerland,,abz.inf.ethz.ch,https://abz.inf.ethz.ch/umgebungen/,FALSE,0.69,0.9,1,0.83
Switzerland,,abz.inf.ethz.ch,https://abz.inf.ethz.ch/volksschule/,FALSE,0.55,0.71,1,0.85
Switzerland,,acdc.vision.ee.ethz.ch,https://acdc.vision.ee.ethz.ch/,TRUE,0.77,0.84,1,0.75
Switzerland,,acdc.vision.ee.ethz.ch,https://acdc.vision.ee.ethz.ch/dataprotection,FALSE,0.79,0.86,1,0.75
Switzerland,,ace.ethz.ch,https://ace.ethz.ch/,TRUE,0.62,0.73,0.74,0.83
Switzerland,,ace.ethz.ch,https://ace.ethz.ch/en/publications,FALSE,0.68,0.82,0.96,0.83
Switzerland,,acl.inf.ethz.ch,https://acl.inf.ethz.ch/,TRUE,0.88,0.83,0.93,0.92
Switzerland,,acl.inf.ethz.ch,https://acl.inf.ethz.ch/people/,FALSE,0.73,0.83,0.93,0.92
Switzerland,,actu.epfl.ch,https://actu.epfl.ch/,TRUE,1,0.95,1,0.83
Switzerland,,actu.epfl.ch,https://actu.epfl.ch/news/light-reveals-secrets-encoded-in-chiral-metasurf-2/,FALSE,0.71,0.93,0.79,0.85
Switzerland,,actu.epfl.ch,https://actu.epfl.ch/news/travel-back-in-time-and-discover-lausanne-in-1831/,FALSE,0.99,0.93,0.78,0.85
Switzerland,,admissions.unige.ch,https://admissions.unige.ch/,TRUE,0.99,0.8,0.96,0.83
Switzerland,,advanced-manufacturing.ethz.ch,https://advanced-manufacturing.ethz.ch/,TRUE,0.38,0.92,1,0.92
Switzerland,,advanced-manufacturing.ethz.ch,https://advanced-manufacturing.ethz.ch/research/data-driven---computational-manufacturing.html,FALSE,0.43,0.93,1,0.92
Switzerland,,aerial.e-pics.ethz.ch,https://aerial.e-pics.ethz.ch/,TRUE,1,1,0.96,0.91
Switzerland,,aether.ethz.ch,https://aether.ethz.ch/,TRUE,0.79,1,1,1
Switzerland,,aether.ethz.ch,https://aether.ethz.ch/ausgabe/aether-09/einleitung/,FALSE,0.84,1,1,1
Switzerland,,aether.ethz.ch,https://aether.ethz.ch/ausgaben/,FALSE,0.98,1,0.96,0.9
Switzerland,,afz.ethz.ch,https://afz.ethz.ch/,TRUE,0.49,0.97,1,0.92
Switzerland,,afz.ethz.ch,https://afz.ethz.ch/lehre-forschung/brennpunkt-zeitgeschichte/tagungen-events-open-doors/harald-feller-zuerich-liest.html,FALSE,0.47,0.92,1,0.92
Switzerland,,agenda.unige.ch,https://agenda.unige.ch/,TRUE,0.89,0.8,0.81,0.92
Switzerland,,agenda.unige.ch,https://agenda.unige.ch/events/view/42767,FALSE,0.9,0.8,1,0.92
Switzerland,,agenda.unige.ch,https://agenda.unige.ch/events/view/43049,FALSE,0.93,0.64,0.96,0.92
Switzerland,,agora.unige.ch,https://agora.unige.ch/,TRUE,0.59,0.9,0.96,0.77
Switzerland,,agora.unige.ch,https://agora.unige.ch/agenda,FALSE,0.69,0.89,0.96,0.77
Switzerland,,agora.unige.ch,https://agora.unige.ch/associations,FALSE,0.19,0.8,0.96,0.77
