country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
France,,1000jours.fabrique.social.gouv.fr,https://1000jours.fabrique.social.gouv.fr/,TRUE,0.73,0.83,0.89,0.91
France,,1000jours.fabrique.social.gouv.fr,https://1000jours.fabrique.social.gouv.fr/zeroaccident/index.html?source=landing-btn,FALSE,0.71,0.86,1,0.75
France,,17cyber.gouv.fr,https://17cyber.gouv.fr/,TRUE,0.94,0.98,1,0.92
France,,1eleve1stage.education.gouv.fr,https://1eleve1stage.education.gouv.fr/,TRUE,0.64,0.98,0.93,1
France,,1eleve1stage.education.gouv.fr,https://1eleve1stage.education.gouv.fr/equipe-pedagogique,FALSE,0.56,0.98,0.93,0.92
France,,2d.bordeaux.fr,https://2d.bordeaux.fr/,TRUE,0.98,0.83,0.93,0.82
France,,a06-v7.apps.paris.fr,https://a06-v7.apps.paris.fr/,TRUE,0.87,0.87,0.96,1
France,,aaa.dordogne.fr,https://aaa.dordogne.fr/,TRUE,0.57,0.74,0.81,0.82
France,,abbaye-hambye.manche.fr,https://abbaye-hambye.manche.fr/,TRUE,0.66,0.92,0.96,1
France,,abbaye-hambye.manche.fr,https://abbaye-hambye.manche.fr/?post_type=post&p=3033,FALSE,0.6,0.96,0.96,1
France,,abbaye-hambye.manche.fr,https://abbaye-hambye.manche.fr/la-programmation/,FALSE,0.75,0.98,0.96,1
France,,abonnementstationnement.annecy.fr,https://abonnementstationnement.annecy.fr/,TRUE,0.55,0.88,0.96,0.92
France,,abonnementstationnement.annecy.fr,https://abonnementstationnement.annecy.fr/register,FALSE,0.55,0.96,0.96,1
France,,abonnes.cc-genevois.fr,https://abonnes.cc-genevois.fr/,TRUE,0.27,0.89,0.96,0.9
France,,abris-securises-velos.paris.fr,https://abris-securises-velos.paris.fr/,TRUE,0.66,0.96,0.96,0.91
France,,abris-securises-velos.paris.fr,https://abris-securises-velos.paris.fr/our-service,FALSE,0.73,0.96,0.96,0.91
France,,absences.haute-vienne.fr,https://absences.haute-vienne.fr/,TRUE,0.81,0.8,0.81,0.91
France,,abu.cnam.fr,http://abu.cnam.fr/,TRUE,1,0.89,0.64,1
France,,abu.cnam.fr,http://abu.cnam.fr/INFO/,FALSE,1,0.91,0.64,0.92
France,,ac-clermont.ent.auvergnerhonealpes.fr,https://ac-clermont.ent.auvergnerhonealpes.fr/,TRUE,0.67,0.98,1,1
France,,ac-clermont.ent.auvergnerhonealpes.fr,https://ac-clermont.ent.auvergnerhonealpes.fr/actualites/rentree-2023-authentification-via-les-comptes-educonnect-obligatoire-pour-les-eleves-et-leurs-parents-7376.htm,FALSE,0.73,0.92,0.81,0.92
France,,ac-clermont.ent.auvergnerhonealpes.fr,https://ac-clermont.ent.auvergnerhonealpes.fr/informations-pratiques/portails-ent-des-etablissements/accedez-a-l-ent-de-votre-etablissement-4574.htm,FALSE,0.44,0.91,1,1
France,,ac-grenoble.ent.auvergnerhonealpes.fr,https://ac-grenoble.ent.auvergnerhonealpes.fr/,TRUE,0.29,1,0.57,1
France,,ac-grenoble.ent.auvergnerhonealpes.fr,https://ac-grenoble.ent.auvergnerhonealpes.fr/actualites/,FALSE,0.84,0.87,0.81,0.92
France,,ac-grenoble.ent.auvergnerhonealpes.fr,https://ac-grenoble.ent.auvergnerhonealpes.fr/sondage-propositions-d-evolution-de-l-ent-ma-classe-en-/,FALSE,0.74,0.89,0.79,0.92
France,,ac-lyon.ent.auvergnerhonealpes.fr,https://ac-lyon.ent.auvergnerhonealpes.fr/,TRUE,0.74,0.95,1,0.92
France,,ac-lyon.ent.auvergnerhonealpes.fr,https://ac-lyon.ent.auvergnerhonealpes.fr/actualites/bienvenue-sur-l-ent-106.htm,FALSE,0.93,0.95,1,1
France,,academie.ecollege.haute-garonne.fr,https://academie.ecollege.haute-garonne.fr/,TRUE,0.38,0.96,0.81,0.92
France,,acceslibre.beta.gouv.fr,https://acceslibre.beta.gouv.fr/,TRUE,0.6,1,1,1
France,,acceslibre.beta.gouv.fr,https://acceslibre.beta.gouv.fr/recherche/,FALSE,0.55,1,1,1
