country,subnational,gov_domain,page,is_root_page,performance_score,accessibility_score,best_practices_score,seo_score
Canada,,311.edmonton.ca,https://311.edmonton.ca/,TRUE,0.87,0.85,0.79,1
Canada,,311.edmonton.ca,https://311.edmonton.ca/reports/list_services,FALSE,0.96,0.67,0.61,0.92
Canada,,311.ville.quebec.qc.ca,https://311.ville.quebec.qc.ca/,TRUE,1,0.92,1,0.58
Canada,,311.ville.quebec.qc.ca,https://311.ville.quebec.qc.ca/demandes,FALSE,1,0.92,1,0.58
Canada,,a11y.canada.ca,https://a11y.canada.ca/,TRUE,0.99,1,1,0.91
Canada,,a11y.canada.ca,https://a11y.canada.ca/en/digital-accessibility-in-the-government-of-canada/,FALSE,0.94,1,1,0.91
Canada,,accessibilite.canada.ca,https://accessibilite.canada.ca/,TRUE,0.76,1,1,0.92
Canada,,accessibilite.canada.ca,https://accessibilite.canada.ca/?wbdisable=true,FALSE,0.18,1,1,0.92
Canada,,accessibilite.canada.ca,https://accessibilite.canada.ca/elaboration-normes-accessibilite/resume-de-la-norme-can-asc-112024-rev-2025-lemploi,FALSE,0.65,0.91,0.78,0.92
Canada,,accessible.canada.ca,https://accessible.canada.ca/,TRUE,0.76,1,1,0.92
Canada,,accessible.canada.ca,https://accessible.canada.ca/?wbdisable=true,FALSE,0.2,1,1,0.92
Canada,,accessible.canada.ca,https://accessible.canada.ca/creating-accessibility-standards/summary-can-asc-112024-rev-2025-employment,FALSE,0.66,0.91,0.78,0.92
Canada,,accounts.surrey.ca,https://accounts.surrey.ca/,TRUE,0.73,0.87,0.75,0.42
Canada,,accreditationcanada.gc.ca,https://accreditationcanada.gc.ca/,TRUE,0.96,1,0.96,0.91
Canada,,achatscanada.canada.ca,https://achatscanada.canada.ca/,TRUE,0.86,0.87,0.56,1
Canada,,achatscanada.canada.ca,https://achatscanada.canada.ca/fr/notre-processus-d-achat,FALSE,0.87,0.84,0.56,1
Canada,,activate.cbc.ca,https://activate.cbc.ca/,TRUE,1,0.95,0.79,0.91
Canada,,active.inspection.gc.ca,https://active.inspection.gc.ca/,TRUE,0.93,0.96,0.93,0.5
Canada,,active.inspection.gc.ca,https://active.inspection.gc.ca/bcp/bcp.html?wbdisable=true,FALSE,0.82,0.97,0.93,0.5
Canada,,aegis.canada.ca,https://aegis.canada.ca/,TRUE,1,1,0.96,0.91
Canada,,aegis.canada.ca,https://aegis.canada.ca/suite/forgotpasswordrequest?appian_environment=tempo,FALSE,0.99,1,0.96,0.91
Canada,,agriculture.canada.ca,https://agriculture.canada.ca/,TRUE,0.99,1,0.74,0.92
Canada,,agriculture.canada.ca,https://agriculture.canada.ca/en,FALSE,0.73,1,0.79,0.92
Canada,,ai-answers.alpha.canada.ca,https://ai-answers.alpha.canada.ca/,TRUE,0.56,1,1,0.63
Canada,,aimfc.rncan.gc.ca,https://aimfc.rncan.gc.ca/,TRUE,0.9,0.98,1,0.92
Canada,,aimfc.rncan.gc.ca,https://aimfc.rncan.gc.ca/fr/?wbdisable=true,FALSE,0.25,0.99,1,0.92
Canada,,aimfc.rncan.gc.ca,https://aimfc.rncan.gc.ca/fr/parties-de-larbre-affectees,FALSE,0.89,1,1,0.92
Canada,,aiprp-atip.bac-lac.gc.ca,https://aiprp-atip.bac-lac.gc.ca/,TRUE,0.4,1,0.75,0.82
Canada,,animee.ville.quebec.qc.ca,https://animee.ville.quebec.qc.ca/,TRUE,0.87,1,0.82,0.91
Canada,,animee.ville.quebec.qc.ca,https://animee.ville.quebec.qc.ca/activites/barnev-qui-je-suis/,FALSE,0.5,0.93,0.81,0.91
Canada,,animee.ville.quebec.qc.ca,https://animee.ville.quebec.qc.ca/activites/wesli/,FALSE,0.49,0.93,0.82,0.91
Canada,,aomt-ogael.atip-aiprp.tbs-sct.gc.ca,https://aomt-ogael.atip-aiprp.tbs-sct.gc.ca/,TRUE,0.85,1,0.79,0.83
Canada,,aomt-ogael.atip-aiprp.tbs-sct.gc.ca,https://aomt-ogael.atip-aiprp.tbs-sct.gc.ca/fr/Accueil/Bienvenue,FALSE,0.59,1,0.79,0.83
Canada,,apc-cap.ic.gc.ca,https://apc-cap.ic.gc.ca/,TRUE,0.81,0.96,0.75,0.58
Canada,,api.weather.gc.ca,https://api.weather.gc.ca/,TRUE,0.97,0.86,1,0.92
Canada,,api.weather.gc.ca,https://api.weather.gc.ca/collections?lang=en,FALSE,0.94,0.9,1,0.92
Canada,,app.1759.ccbn-nbc.gc.ca,https://app.1759.ccbn-nbc.gc.ca/,TRUE,,1,1,0.9
Canada,,app.vancouver.ca,https://app.vancouver.ca/,TRUE,1,0.69,0.85,0.36
Canada,,app2.kitchener.ca,https://app2.kitchener.ca/,TRUE,0.99,0.86,0.93,0.91
Canada,,applications.crtc.gc.ca,https://applications.crtc.gc.ca/,TRUE,1,0.79,0.89,0.91
Canada,,apply.calgary.ca,https://apply.calgary.ca/,TRUE,0.69,0.8,0.79,0.75
Canada,,apppen-penapp.tpsgc-pwgsc.gc.ca,http://apppen-penapp.tpsgc-pwgsc.gc.ca/,TRUE,0.98,1,0.75,0.92
Canada,,apps-externes.ville.quebec.qc.ca,https://apps-externes.ville.quebec.qc.ca/,TRUE,1,0.59,0.89,0.8
Canada,,apps.stjohns.ca,https://apps.stjohns.ca/,TRUE,1,0.69,0.93,0.8
Canada,,apps.stjohns.ca,https://apps.stjohns.ca/cityhall/CSJPolicies.aspx,FALSE,0.79,0.82,0.74,0.73
