domain,source
3c.govern.ad,swh_gov_domains
acces-ec.govern.ad,swh_gov_domains
admwifi1.local.govern.ad,swh_gov_domains
admwifi2.local.govern.ad,swh_gov_domains
aeoi-pre.govern.ad,swh_gov_domains
aeoi.govern.ad,swh_gov_domains
ajudeseo.govern.ad,swh_gov_domains
alertes.govern.ad,swh_gov_domains
api.bip.govern.ad,swh_gov_domains
aplicacions.govern.ad,swh_gov_domains
appnotes.govern.ad,swh_gov_domains
asterix.govern.ad,swh_gov_domains
atol.govern.ad,swh_gov_domains
autenticacio-cert.govern.ad,swh_gov_domains
autenticacio.ec.govern.ad,swh_gov_domains
autenticacio.govern.ad,swh_gov_domains
authwifi1.local.govern.ad,swh_gov_domains
authwifi2.local.govern.ad,swh_gov_domains
backoffice.govern.ad,swh_gov_domains
certcambra.govern.ad,swh_gov_domains
certgovern.govern.ad,swh_gov_domains
certificat.govern.ad,swh_gov_domains
cita.govern.ad,swh_gov_domains
citaprevia.govern.ad,swh_gov_domains
citapreviaat.govern.ad,swh_gov_domains
cnac.govern.ad,swh_gov_domains
collabora.govern.ad,swh_gov_domains
consell.ec.govern.ad,swh_gov_domains
contractacio.govern.ad,swh_gov_domains
coronavirus.govern.ad,swh_gov_domains
correu.govern.ad,swh_gov_domains
covid19.govern.ad,swh_gov_domains
crtf2.govern.ad,swh_gov_domains
csu.govern.ad,swh_gov_domains
documents-ec.govern.ad,swh_gov_domains
documents.govern.ad,swh_gov_domains
duana.govern.ad,swh_gov_domains
ec.govern.ad,swh_gov_domains
empleat.govern.ad,swh_gov_domains
enquesta.govern.ad,swh_gov_domains
eosweb.govern.ad,swh_gov_domains
escriptorivirtual.govern.ad,swh_gov_domains
espai.ec.govern.ad,swh_gov_domains
espai.govern.ad,swh_gov_domains
estacionsrius.govern.ad,swh_gov_domains
estadistiquesvisuals.govern.ad,swh_gov_domains
examenconduir.govern.ad,swh_gov_domains
examenconduiralt.govern.ad,swh_gov_domains
examenconduirpre.govern.ad,swh_gov_domains
fitxers.govern.ad,swh_gov_domains
formaciosefp.govern.ad,swh_gov_domains
fotodenuncies.govern.ad,swh_gov_domains
ftpaeoi.govern.ad,swh_gov_domains
funciopublica.govern.ad,swh_gov_domains
geolidar360.govern.ad,swh_gov_domains
gesdoc.ec.govern.ad,swh_gov_domains
gestioduana.govern.ad,swh_gov_domains
govern.ad,swh_gov_domains
habitabilitat.govern.ad,swh_gov_domains
icorreu.govern.ad,swh_gov_domains
identitat-pre-cert.govern.ad,swh_gov_domains
identitat-pre.govern.ad,swh_gov_domains
intercanvi.govern.ad,swh_gov_domains
intranet.govern.ad,swh_gov_domains
ipc.govern.ad,swh_gov_domains
isi.govern.ad,swh_gov_domains
itctributs.govern.ad,swh_gov_domains
licitacio.govern.ad,swh_gov_domains
link.ec.govern.ad,swh_gov_domains
llacs1.local.govern.ad,swh_gov_domains
llacs2.local.govern.ad,swh_gov_domains
local.govern.ad,swh_gov_domains
mdm.govern.ad,swh_gov_domains
miltemp.govern.ad,swh_gov_domains
ministres.govern.ad,swh_gov_domains
ministres2.govern.ad,swh_gov_domains
missatgeria.govern.ad,swh_gov_domains
notesgovern.govern.ad,swh_gov_domains
obsmet.govern.ad,swh_gov_domains
oficinaduana.govern.ad,swh_gov_domains
outsystems-d1.local.govern.ad,swh_gov_domains
outsystems-t1.local.govern.ad,swh_gov_domains
ovac.govern.ad,swh_gov_domains
percanela.govern.ad,swh_gov_domains
pki.govern.ad,swh_gov_domains
portalfp.govern.ad,swh_gov_domains
portalfp2.govern.ad,swh_gov_domains
portasignatures.govern.ad,swh_gov_domains
preduana.govern.ad,swh_gov_domains
premediambient.govern.ad,swh_gov_domains
quotes.govern.ad,swh_gov_domains
ra.govern.ad,swh_gov_domains
rac.govern.ad,swh_gov_domains
repositori.govern.ad,swh_gov_domains
reunio.ec.govern.ad,swh_gov_domains
reunio.govern.ad,swh_gov_domains
reunions.govern.ad,swh_gov_domains
roat.govern.ad,swh_gov_domains
sad.govern.ad,swh_gov_domains
sadaigua.govern.ad,swh_gov_domains
salut.govern.ad,swh_gov_domains
saptstdb.govern.ad,swh_gov_domains
serveistic-pre.suport.govern.ad,swh_gov_domains
serveistic.govern.ad,swh_gov_domains
serveistic.suport.govern.ad,swh_gov_domains
serveisweb.govern.ad,swh_gov_domains
sig.govern.ad,swh_gov_domains
signatura.govern.ad,swh_gov_domains
signaturaelectronica.govern.ad,swh_gov_domains
signaturatercers.govern.ad,swh_gov_domains
sima.govern.ad,swh_gov_domains
sincro.govern.ad,swh_gov_domains
solucions.govern.ad,swh_gov_domains
test-cartografia.govern.ad,swh_gov_domains
testduana.govern.ad,swh_gov_domains
tpv.govern.ad,swh_gov_domains
tramits.govern.ad,swh_gov_domains
trmelec.govern.ad,swh_gov_domains
tsl.govern.ad,swh_gov_domains
turestadistica.govern.ad,swh_gov_domains
vdi.govern.ad,swh_gov_domains
vpn.govern.ad,swh_gov_domains
webxat.govern.ad,swh_gov_domains
wifi.govern.ad,swh_gov_domains
wifi2.govern.ad,swh_gov_domains
xat.ec.govern.ad,swh_gov_domains
xat.govern.ad,swh_gov_domains
xifrat.govern.ad,swh_gov_domains
