domain,source
adams.gov.am,swh_gov_domains
admin.car.mia.gov.am,swh_gov_domains
ai.gov.am,swh_gov_domains
anti-corruption.gov.am,swh_gov_domains
api-ac19.gov.am,swh_gov_domains
api-covid.gov.am,swh_gov_domains
api-stayhome.gov.am,swh_gov_domains
api.car.mia.gov.am,swh_gov_domains
auction.mia.gov.am,swh_gov_domains
autodiscover.ai.gov.am,swh_gov_domains
benefits.hightech.gov.am,swh_gov_domains
bulletin.moj.gov.am,swh_gov_domains
cadastre-zz.gov.am,swh_gov_domains
car.mia.gov.am,swh_gov_domains
cert.gov.am,swh_gov_domains
cms-ogp.gov.am,swh_gov_domains
consular.mfa.gov.am,swh_gov_domains
covid19.gov.am,swh_gov_domains
cpanel.ai.gov.am,swh_gov_domains
cpcalendars.ai.gov.am,swh_gov_domains
cpcontacts.ai.gov.am,swh_gov_domains
cso.gov.am,swh_gov_domains
drive-echr.gov.am,swh_gov_domains
drive.gov.am,swh_gov_domains
e-gov.am,swh_gov_domains
eid.e-gov.am,swh_gov_domains
elearning.cso.gov.am,swh_gov_domains
elearning.mta.gov.am,swh_gov_domains
elections.mia.gov.am,swh_gov_domains
en.gov.am,swh_gov_domains
env.gov.am,swh_gov_domains
environment.gov.am,swh_gov_domains
erepo.gov.am,swh_gov_domains
gov-zz.gov.am,swh_gov_domains
gov.am,swh_gov_domains
hartak.cso.gov.am,swh_gov_domains
hightech.gov.am,swh_gov_domains
mail-gw.gov.am,swh_gov_domains
mail.ai.gov.am,swh_gov_domains
mail.cso.gov.am,swh_gov_domains
mail.diaspora.gov.am,swh_gov_domains
mail.echr.gov.am,swh_gov_domains
mail.ecoinspect.gov.am,swh_gov_domains
mail.eib.gov.am,swh_gov_domains
mail.gov.am,swh_gov_domains
mail.msib.gov.am,swh_gov_domains
mail.mta.gov.am,swh_gov_domains
mail.utfsib.gov.am,swh_gov_domains
mail1.gov.am,swh_gov_domains
mia.gov.am,swh_gov_domains
migration-zz.gov.am,swh_gov_domains
migration.mia.gov.am,swh_gov_domains
minfin.gov.am,swh_gov_domains
minurban-zz.gov.am,swh_gov_domains
mip-zz.gov.am,swh_gov_domains
moj.gov.am,swh_gov_domains
mul-eec.gov.am,swh_gov_domains
mul-fsss.gov.am,swh_gov_domains
mul-mil.gov.am,swh_gov_domains
mul-scws.gov.am,swh_gov_domains
mul.agri.gov.am,swh_gov_domains
mul.aragatsotn.gov.am,swh_gov_domains
mul.ararat.gov.am,swh_gov_domains
mul.armavir.gov.am,swh_gov_domains
mul.aviation.gov.am,swh_gov_domains
mul.cadastre.gov.am,swh_gov_domains
mul.competition.gov.am,swh_gov_domains
mul.csc.gov.am,swh_gov_domains
mul.culture.gov.am,swh_gov_domains
mul.dmr.gov.am,swh_gov_domains
mul.edu.gov.am,swh_gov_domains
mul.ema.gov.am,swh_gov_domains
mul.fsss.gov.am,swh_gov_domains
mul.gegh.gov.am,swh_gov_domains
mul.gov.am,swh_gov_domains
mul.kotayk.gov.am,swh_gov_domains
mul.lori.gov.am,swh_gov_domains
mul.mfa.gov.am,swh_gov_domains
mul.mieir.gov.am,swh_gov_domains
mul.mindiaspora.gov.am,swh_gov_domains
mul.mineconomy.gov.am,swh_gov_domains
mul.minenergy.gov.am,swh_gov_domains
mul.minfin.gov.am,swh_gov_domains
mul.mnp.gov.am,swh_gov_domains
mul.moh.gov.am,swh_gov_domains
mul.moj.gov.am,swh_gov_domains
mul.mss.gov.am,swh_gov_domains
mul.msy.gov.am,swh_gov_domains
mul.mta.gov.am,swh_gov_domains
mul.mtc.gov.am,swh_gov_domains
mul.mud.gov.am,swh_gov_domains
mul.nsc.gov.am,swh_gov_domains
mul.psrc.gov.am,swh_gov_domains
mul.scws.gov.am,swh_gov_domains
mul.shirak.gov.am,swh_gov_domains
mul.sif.gov.am,swh_gov_domains
mul.spm.gov.am,swh_gov_domains
mul.syunik.gov.am,swh_gov_domains
mul.tavush.gov.am,swh_gov_domains
mul.taxservice.gov.am,swh_gov_domains
mul.vdzor.gov.am,swh_gov_domains
mul2-aatm.gov.am,swh_gov_domains
mul2-anra.gov.am,swh_gov_domains
mul2-aragatsotn.gov.am,swh_gov_domains
mul2-ararat.gov.am,swh_gov_domains
mul2-armarchives.gov.am,swh_gov_domains
mul2-armavir.gov.am,swh_gov_domains
mul2-armroad.gov.am,swh_gov_domains
mul2-atdf.gov.am,swh_gov_domains
mul2-austria.gov.am,swh_gov_domains
mul2-aviation.gov.am,swh_gov_domains
mul2-batumi.gov.am,swh_gov_domains
mul2-belarus.gov.am,swh_gov_domains
mul2-belgium.gov.am,swh_gov_domains
mul2-bsec.gov.am,swh_gov_domains
mul2-bulgaria.gov.am,swh_gov_domains
mul2-cadastre.gov.am,swh_gov_domains
mul2-ccc.gov.am,swh_gov_domains
mul2-cec.gov.am,swh_gov_domains
mul2-china.gov.am,swh_gov_domains
mul2-cis.gov.am,swh_gov_domains
mul2-coe.gov.am,swh_gov_domains
mul2-competition.gov.am,swh_gov_domains
mul2-csto.gov.am,swh_gov_domains
mul2-cyprus.gov.am,swh_gov_domains
mul2-cz.gov.am,swh_gov_domains
mul2-dmr.gov.am,swh_gov_domains
mul2-dubai.gov.am,swh_gov_domains
mul2-ecopatrolservice.gov.am,swh_gov_domains
mul2-edu.gov.am,swh_gov_domains
mul2-egypt.gov.am,swh_gov_domains
mul2-eib.gov.am,swh_gov_domains
mul2-ema.gov.am,swh_gov_domains
mul2-forestcommittee.gov.am,swh_gov_domains
mul2-france.gov.am,swh_gov_domains
