domain,source
48ertandler-qm.wien.gv.at,swh_gov_domains
aba.gv.at,swh_gov_domains
abfall.gda.gv.at,swh_gov_domains
abfuhrtermine.gda.gv.at,swh_gov_domains
access.ada.gv.at,swh_gov_domains
access.bmvit.gv.at,swh_gov_domains
access.opfb.bmvit.gv.at,swh_gov_domains
accounts.citrix.wien.gv.at,swh_gov_domains
accounts.wien.gv.at,swh_gov_domains
accreditor-test.bka.gv.at,swh_gov_domains
accreditor.bka.gv.at,swh_gov_domains
achau.gv.at,swh_gov_domains
ada.gv.at,swh_gov_domains
admin.fma.gv.at,swh_gov_domains
adportal.bmf.gv.at,swh_gov_domains
adressen.eggenburg.gv.at,swh_gov_domains
advfem.nsgslb.wien.gv.at,swh_gov_domains
aflenz.gv.at,swh_gov_domains
ag-test.bka.gv.at,swh_gov_domains
ag.bka.gv.at,swh_gov_domains
ag.bmf.bca.gv.at,swh_gov_domains
ag1.bmf.bca.gv.at,swh_gov_domains
ahdb.ehealth.gv.at,swh_gov_domains
ainet.gv.at,swh_gov_domains
ainet.tirol.gv.at,swh_gov_domains
akkreditierung.bka.gv.at,swh_gov_domains
aklcsg01.ktn.gv.at,swh_gov_domains
aklwi01.ktn.gv.at,swh_gov_domains
akpflegevorsorge.bmask.gv.at,swh_gov_domains
allhartsberg.gv.at,swh_gov_domains
alt.intern.magwien.gv.at,swh_gov_domains
alt.neunkirchen.gv.at,swh_gov_domains
altheim.ooe.gv.at,swh_gov_domains
ams.brz.gv.at,swh_gov_domains
amtsdolmetsch.jba.gv.at,swh_gov_domains
amtssignatur.brz.gv.at,swh_gov_domains
amtssignatur.tirol.gv.at,swh_gov_domains
amtsweg.gv.at,swh_gov_domains
andorf.ooe.gv.at,swh_gov_domains
anmelden.bmlfuw.gv.at,swh_gov_domains
antrag.bev.gv.at,swh_gov_domains
anwportal-t.ooe.gv.at,swh_gov_domains
anwportal.ooe.gv.at,swh_gov_domains
ap.bmf.gv.at,swh_gov_domains
ap2.bmf.gv.at,swh_gov_domains
apf.gv.at,swh_gov_domains
app.fma.gv.at,swh_gov_domains
app.portal.ooe.gv.at,swh_gov_domains
apps.egiz.gv.at,swh_gov_domains
apps.tirol.gv.at,swh_gov_domains
arbeitsinspektion.gv.at,swh_gov_domains
ardagger.gv.at,swh_gov_domains
arnfels.gv.at,swh_gov_domains
arzl-pitztal.tirol.gv.at,swh_gov_domains
as.apab.gv.at,swh_gov_domains
