domain,source
4sim.gov.az,swh_gov_domains
aak.gov.az,swh_gov_domains
abad.gov.az,swh_gov_domains
accreditation.gov.az,swh_gov_domains
acra.gov.az,swh_gov_domains
adif.gov.az,swh_gov_domains
admin.anama.gov.az,swh_gov_domains
admin.dtf.gov.az,swh_gov_domains
adoption.mlspp.gov.az,swh_gov_domains
adra.gov.az,swh_gov_domains
aef.gov.az,swh_gov_domains
afsi.gov.az,swh_gov_domains
aghdam.azerenerji.gov.az,swh_gov_domains
agro.gov.az,swh_gov_domains
agrotrade.gov.az,swh_gov_domains
aih.gov.az,swh_gov_domains
aim.gov.az,swh_gov_domains
aipis.mlspp.gov.az,swh_gov_domains
alert.e-kassa.gov.az,swh_gov_domains
alfa.e-taxes.gov.az,swh_gov_domains
allowance.mlspp.gov.az,swh_gov_domains
alpha.e-taxes.gov.az,swh_gov_domains
alpha.taxes.gov.az,swh_gov_domains
anama.gov.az,swh_gov_domains
ani.edu.gov.az,swh_gov_domains
antikorrupsiya.gov.az,swh_gov_domains
apc.taxes.gov.az,swh_gov_domains
api.anama.gov.az,swh_gov_domains
api.blacklist.gov.az,swh_gov_domains
api.e-health.gov.az,swh_gov_domains
api.e-kassa.gov.az,swh_gov_domains
api.eservice.e-health.gov.az,swh_gov_domains
api.snqis.gov.az,swh_gov_domains
apitest.snqis.gov.az,swh_gov_domains
apostille.justice.gov.az,swh_gov_domains
applications.mlspp.gov.az,swh_gov_domains
applications.mlspp.gov.az.mlspp.gov.az,swh_gov_domains
apply.asxm.gov.az,swh_gov_domains
aqtis.afsa.gov.az,swh_gov_domains
ardda.gov.az,swh_gov_domains
area.gov.az,swh_gov_domains
arpii.gov.az,swh_gov_domains
arxkom.gov.az,swh_gov_domains
asan.gov.az,swh_gov_domains
asanfinance.gov.az,swh_gov_domains
asanlogin.my.gov.az,swh_gov_domains
asanmuraciet.gov.az,swh_gov_domains
asf.gov.az,swh_gov_domains
ask.gov.az,swh_gov_domains
asxm.e-taxes.gov.az,swh_gov_domains
asxm.gov.az,swh_gov_domains
atm.gov.az,swh_gov_domains
att.gov.az,swh_gov_domains
audit.gov.az,swh_gov_domains
autodiscover.barda.edu.gov.az,swh_gov_domains
autodiscover.edu.gov.az,swh_gov_domains
autodiscover.ganja.edu.gov.az,swh_gov_domains
autodiscover.guba.edu.gov.az,swh_gov_domains
autodiscover.kalbajar.edu.gov.az,swh_gov_domains
autodiscover.lankaran.edu.gov.az,swh_gov_domains
autodiscover.mincom.gov.az,swh_gov_domains
autodiscover.sabirabad.edu.gov.az,swh_gov_domains
autodiscover.salyan.edu.gov.az,swh_gov_domains
autodiscover.shaki.edu.gov.az,swh_gov_domains
autodiscover.shamakhi.edu.gov.az,swh_gov_domains
autodiscover.shamkir.edu.gov.az,swh_gov_domains
autodiscover.sumgayit.edu.gov.az,swh_gov_domains
autodiscover.yevlakh.edu.gov.az,swh_gov_domains
avchat.taxes.gov.az,swh_gov_domains
avis-gateway.e-kassa.gov.az,swh_gov_domains
avis.e-taxes.gov.az,swh_gov_domains
avis.taxes.gov.az,swh_gov_domains
avis64.taxes.gov.az,swh_gov_domains
avisarge.taxes.gov.az,swh_gov_domains
avisbeta.taxes.gov.az,swh_gov_domains
aviscache.taxes.gov.az,swh_gov_domains
avismon.e-taxes.gov.az,swh_gov_domains
avistest.taxes.gov.az,swh_gov_domains
avistest2.taxes.gov.az,swh_gov_domains
ayna.gov.az,swh_gov_domains
azerenerji.gov.az,swh_gov_domains
azersuvenir.gov.az,swh_gov_domains
azertag.gov.az,swh_gov_domains
aztc.gov.az,swh_gov_domains
babek-ih.gov.az,swh_gov_domains
backend.smb.gov.az,swh_gov_domains
baku-ih.gov.az,swh_gov_domains
baku.edu.gov.az,swh_gov_domains
bakupolice.gov.az,swh_gov_domains
belediyye.gov.az,swh_gov_domains
beta.e-taxes.gov.az,swh_gov_domains
bi.e-taxes.gov.az,swh_gov_domains
bi.mlspp.gov.az,swh_gov_domains
bi.taxes.gov.az,swh_gov_domains
bineqedi.azerenerji.gov.az,swh_gov_domains
birpencere.arxkom.gov.az,swh_gov_domains
bitest.taxes.gov.az,swh_gov_domains
blacklist.gov.az,swh_gov_domains
bmi.gov.az,swh_gov_domains
bmis.gov.az,swh_gov_domains
boyukqayidish.gov.az,swh_gov_domains
bpqmi.gov.az,swh_gov_domains
bulvar.gov.az,swh_gov_domains
bvip.taxes.gov.az,swh_gov_domains
c2b.customs.gov.az,swh_gov_domains
c4ir.gov.az,swh_gov_domains
ca.e-taxes.gov.az,swh_gov_domains
caa.gov.az,swh_gov_domains
cabmin.gov.az,swh_gov_domains
callcenter.eco.gov.az,swh_gov_domains
cashback.taxes.gov.az,swh_gov_domains
cert.dxa.gov.az,swh_gov_domains
cert.gov.az,swh_gov_domains
certificate.its.gov.az,swh_gov_domains
cg.gov.az,swh_gov_domains
cg1.gov.az,swh_gov_domains
cg2.gov.az,swh_gov_domains
cidc.gov.az,swh_gov_domains
cmdb.e-taxes.gov.az,swh_gov_domains
cmdb.taxes.gov.az,swh_gov_domains
competition.gov.az,swh_gov_domains
connect.mdm.cert.gov.az,swh_gov_domains
constcourt.gov.az,swh_gov_domains
consul.e-kassa.gov.az,swh_gov_domains
copat.gov.az,swh_gov_domains
copyright.gov.az,swh_gov_domains
copyright.gov.az.netdigital.az,swh_gov_domains
corporate.metro.gov.az,swh_gov_domains
courts.gov.az,swh_gov_domains
covid.economy.gov.az,swh_gov_domains
cpanel.icazeler.gov.az,swh_gov_domains
cpanel.sahibkar.economy.gov.az,swh_gov_domains
cpcalendars.icazeler.gov.az,swh_gov_domains
cpcalendars.sahibkar.economy.gov.az,swh_gov_domains
cpcontacts.icazeler.gov.az,swh_gov_domains
cpcontacts.sahibkar.economy.gov.az,swh_gov_domains
crs.gov.az,swh_gov_domains
culture.gov.az,swh_gov_domains
customs.gov.az,swh_gov_domains
cv.dma.gov.az,swh_gov_domains
cvpn.e-taxes.gov.az,swh_gov_domains
cyberhygiene.gov.az,swh_gov_domains
danx.gov.az,swh_gov_domains
dc1-vcenter.e-taxes.gov.az,swh_gov_domains
dc1-vcenter.taxes.gov.az,swh_gov_domains
dc1.taxes.gov.az,swh_gov_domains
dc2-vcenter.e-taxes.gov.az,swh_gov_domains
dc2-vcenter.taxes.gov.az,swh_gov_domains
dc2.taxes.gov.az,swh_gov_domains
ddla.gov.az,swh_gov_domains
dea.gov.az,swh_gov_domains
debugavis.taxes.gov.az,swh_gov_domains
decl.e-taxes.gov.az,swh_gov_domains
dedkr.gov.az,swh_gov_domains
demx.gov.az,swh_gov_domains
deqkis1.e-emdk.gov.az,swh_gov_domains
dfs.e-taxes.gov.az,swh_gov_domains
diaspor.gov.az,swh_gov_domains
digital.gov.az,swh_gov_domains
digitaltrade.gov.az,swh_gov_domains
dim.gov.az,swh_gov_domains
dma.gov.az,swh_gov_domains
dmx.gov.az,swh_gov_domains
dnis.gov.az,swh_gov_domains
docker-priv.e-kassa.gov.az,swh_gov_domains
docker.e-kassa.gov.az,swh_gov_domains
documents-ta9.taxes.gov.az,swh_gov_domains
dokcentra.mlspp.gov.az,swh_gov_domains
dost.gov.az,swh_gov_domains
dsx.gov.az,swh_gov_domains
dtf.gov.az,swh_gov_domains
dth.e-taxes.gov.az,swh_gov_domains
dth.taxes.gov.az,swh_gov_domains
dthtest.taxes.gov.az,swh_gov_domains
dtsera.gov.az,swh_gov_domains
dtx.courts.gov.az,swh_gov_domains
dtx.gov.az,swh_gov_domains
dxa.courts.gov.az,swh_gov_domains
dxa.gov.az,swh_gov_domains
dyp.gov.az,swh_gov_domains
e-afsa.gov.az,swh_gov_domains
e-anfes.gov.az,swh_gov_domains
e-audit.gov.az,swh_gov_domains
e-azadolma.maliyye.gov.az,swh_gov_domains
e-belediyye.gov.az,swh_gov_domains
e-edf.gov.az,swh_gov_domains
e-emdk.gov.az,swh_gov_domains
e-emlak.gov.az,swh_gov_domains
