domain,source
addon.test.ozujak1203.cdu.gov.hr,swh_gov_domains
addondomena.hr.webs004-demo.cdu.gov.hr,swh_gov_domains
app.fzo.gov.hr,swh_gov_domains
autodiscover.mailtest4.cdu.gov.hr,swh_gov_domains
autodiscover.test.cdu.gov.hr,swh_gov_domains
businesscroatia.gov.hr,swh_gov_domains
cdu.gov.hr,swh_gov_domains
cdu001-test.cdu.gov.hr,swh_gov_domains
crm.investcroatia.gov.hr,swh_gov_domains
demo.racuni.cdu.gov.hr,swh_gov_domains
demo0202.webs002.cdu.gov.hr,swh_gov_domains
demo1.webs000.cdu.gov.hr,swh_gov_domains
demo1.webs001.cdu.gov.hr,swh_gov_domains
demo1.webs002.cdu.gov.hr,swh_gov_domains
demo1.webs003.cdu.gov.hr,swh_gov_domains
demo1105.cdu.gov.hr,swh_gov_domains
demo2.webs001.cdu.gov.hr,swh_gov_domains
demo2.webs002.cdu.gov.hr,swh_gov_domains
demo2.webs003.cdu.gov.hr,swh_gov_domains
demo3.webs001.cdu.gov.hr,swh_gov_domains
demo3.webs002.cdu.gov.hr,swh_gov_domains
demolea.cdu.gov.hr,swh_gov_domains
demolea3.cdu.gov.hr,swh_gov_domains
demoleatest.cdu.gov.hr,swh_gov_domains
demoskripta.cdu.gov.hr,swh_gov_domains
demowebs004.cdu.gov.hr,swh_gov_domains
dodatna2.27102025.patchwebs1002.cdu.gov.hr,swh_gov_domains
domagoj.test.sasina-skritpa1.cdu.gov.hr,swh_gov_domains
dov.eufondovi.gov.hr,swh_gov_domains
dov2024.eufondovi.gov.hr,swh_gov_domains
dov2025.eufondovi.gov.hr,swh_gov_domains
drreuf.eufondovi.gov.hr,swh_gov_domains
drupal.test.webst001-test.cdu.gov.hr,swh_gov_domains
edlpan.mail.cdu.gov.hr,swh_gov_domains
eidas.gov.hr,swh_gov_domains
ek-demo.cdu.gov.hr,swh_gov_domains
esavjetovanja.gov.hr,swh_gov_domains
eu-pozivi.eufondovi.gov.hr,swh_gov_domains
eufondovi.gov.hr,swh_gov_domains
europa.eufondovi.gov.hr,swh_gov_domains
fondovieu.gov.hr,swh_gov_domains
fzo.gov.hr,swh_gov_domains
gov.hr,swh_gov_domains
governikus.gov.hr,swh_gov_domains
governikustst.gov.hr,swh_gov_domains
hr.webst001-test.cdu.gov.hr,swh_gov_domains
info-udruge.gov.hr,swh_gov_domains
info.fzo.gov.hr,swh_gov_domains
investcroatia.gov.hr,swh_gov_domains
isorportor.gov.hr,swh_gov_domains
iss.gov.hr,swh_gov_domains
isstest.gov.hr,swh_gov_domains
isznr.gov.hr,swh_gov_domains
isznrtest.gov.hr,swh_gov_domains
jbtest.11122024.webs002-demo.cdu.gov.hr,swh_gov_domains
jeer-morsp.gov.hr,swh_gov_domains
jeer-mrosp.gov.hr,swh_gov_domains
jisms.gospodarstvo.gov.hr,swh_gov_domains
kam.cdu.gov.hr,swh_gov_domains
kam.mail.cdu.gov.hr,swh_gov_domains
lea.patchwebs008.cdu.gov.hr,swh_gov_domains
lea1.patchtestiranje1.cdu.gov.hr,swh_gov_domains
lea2.patchtestiranje2.cdu.gov.hr,swh_gov_domains
lea3.patchtestiranje3.cdu.gov.hr,swh_gov_domains
leates.webst001-test.cdu.gov.hr,swh_gov_domains
leatest.patchwebs0210.cdu.gov.hr,swh_gov_domains
leatest0907.cdu.gov.hr,swh_gov_domains
leatestiraconvert.hr.webs004-demo.cdu.gov.hr,swh_gov_domains
leicatest.cdu.gov.hr,swh_gov_domains
leya.patchwebs0810.cdu.gov.hr,swh_gov_domains
link.cdu.gov.hr,swh_gov_domains
linux.test.webs001-demo.cdu.gov.hr,swh_gov_domains
linux.test.webs008-demo.cdu.gov.hr,swh_gov_domains
mail.businesscroatia.gov.hr,swh_gov_domains
mail.demo1.webs003.cdu.gov.hr,swh_gov_domains
mail.demo3.webs001.cdu.gov.hr,swh_gov_domains
mail.investcroatia.gov.hr,swh_gov_domains
mail.patchwebs1103.cdu.gov.hr,swh_gov_domains
mail.webs001-demo.cdu.gov.hr,swh_gov_domains
mail.webs008-demo.cdu.gov.hr,swh_gov_domains
mailout.cdu.gov.hr,swh_gov_domains
mailtest001.cdu.gov.hr,swh_gov_domains
markotest.cdu.gov.hr,swh_gov_domains
mingo.gov.hr,swh_gov_domains
mingor.gov.hr,swh_gov_domains
mint.gov.hr,swh_gov_domains
moj.zagrebdemo.cdu.gov.hr,swh_gov_domains
my.testsite.webst001-test.cdu.gov.hr,swh_gov_domains
nabave.eufondovi.gov.hr,swh_gov_domains
nova.domena2.patchwebs0101.cdu.gov.hr,swh_gov_domains
nova.domena8.patchwebs0108.cdu.gov.hr,swh_gov_domains
nova.patch.patchwebs0103.cdu.gov.hr,swh_gov_domains
novadomena.patch.patchwebs0102.cdu.gov.hr,swh_gov_domains
novatest.cdu.gov.hr,swh_gov_domains
novitest.cdu.gov.hr.webst001-test.cdu.gov.hr,swh_gov_domains
novo.webs001-demo.cdu.gov.hr,swh_gov_domains
novo.webst001.demo1.cdu.gov.hr,swh_gov_domains
obavijesti.cdu.gov.hr,swh_gov_domains
obavijesti2.cdu.gov.hr,swh_gov_domains
otvorenavlada.gov.hr,swh_gov_domains
ozujak1203.cdu.gov.hr,swh_gov_domains
patch.test2.patchwebs0301.cdu.gov.hr,swh_gov_domains
patchprod1610.cdu.gov.hr,swh_gov_domains
patchtest012025.cdu.gov.hr,swh_gov_domains
patchtest02025.cdu.gov.hr,swh_gov_domains
patchtest1410.cdu.gov.hr,swh_gov_domains
patchtest1709.cdu.gov.hr,swh_gov_domains
patchtest1712.cdu.gov.hr,swh_gov_domains
patchtest2511.cdu.gov.hr,swh_gov_domains
patchwebs008.cdu.gov.hr,swh_gov_domains
patchwebs0101.cdu.gov.hr,swh_gov_domains
patchwebs0102.cdu.gov.hr,swh_gov_domains
patchwebs01022026.cdu.gov.hr,swh_gov_domains
patchwebs0103.cdu.gov.hr,swh_gov_domains
patchwebs01032026.cdu.gov.hr,swh_gov_domains
patchwebs0104.cdu.gov.hr,swh_gov_domains
patchwebs01042026.cdu.gov.hr,swh_gov_domains
patchwebs0108.cdu.gov.hr,swh_gov_domains
patchwebs0201.cdu.gov.hr,swh_gov_domains
patchwebs0202.cdu.gov.hr,swh_gov_domains
patchwebs02022026.cdu.gov.hr,swh_gov_domains
patchwebs0203.cdu.gov.hr,swh_gov_domains
patchwebs02032026.cdu.gov.hr,swh_gov_domains
patchwebs02042026.cdu.gov.hr,swh_gov_domains
patchwebs0208.cdu.gov.hr,swh_gov_domains
patchwebs0301.cdu.gov.hr,swh_gov_domains
patchwebs0302.cdu.gov.hr,swh_gov_domains
patchwebs03022026.cdu.gov.hr,swh_gov_domains
patchwebs0303.cdu.gov.hr,swh_gov_domains
patchwebs03032026.cdu.gov.hr,swh_gov_domains
patchwebs0304.cdu.gov.hr,swh_gov_domains
patchwebs03042026.cdu.gov.hr,swh_gov_domains
patchwebs0308.cdu.gov.hr,swh_gov_domains
