domain,source
admin.denmark.dk,swh_gov_domains
aeldremin.dk,swh_gov_domains
denmark.dk,swh_gov_domains
edit.denmark.dk,swh_gov_domains
em.dk,swh_gov_domains
fmn.dk,swh_gov_domains
folkatingid.dk,swh_gov_domains
folketingi.dk,swh_gov_domains
ft.dk,swh_gov_domains
ism.dk,swh_gov_domains
justitsministeriet.dk,swh_gov_domains
kefm.dk,swh_gov_domains
km.dk,swh_gov_domains
mgtp.dk,swh_gov_domains
thedanishparliament.dk,swh_gov_domains
trm.dk,swh_gov_domains
video.denmark.dk,swh_gov_domains
