domain,source
admin.api.dev.app.eesti.ee,swh_gov_domains
admin.buerokratt.eesti.ee,swh_gov_domains
ahk.eesti.ee,swh_gov_domains
andmed-test.eesti.ee,swh_gov_domains
api.app.eesti.ee,swh_gov_domains
api.arva.dev.eesti.ee,swh_gov_domains
api.arva.test.eesti.ee,swh_gov_domains
api.dev.app.eesti.ee,swh_gov_domains
api.test.app.eesti.ee,swh_gov_domains
app.eesti.ee,swh_gov_domains
arendus.eesti.ee,swh_gov_domains
argocd.app.eesti.ee,swh_gov_domains
argocd.arva.dev.eesti.ee,swh_gov_domains
argocd.arva.eesti.ee,swh_gov_domains
argocd.arva.test.eesti.ee,swh_gov_domains
argocd.dev.app.eesti.ee,swh_gov_domains
argocd.dev.postkast.eesti.ee,swh_gov_domains
argocd.pk2-central.demo.eesti.ee,swh_gov_domains
argocd.pk2-central.dev.eesti.ee,swh_gov_domains
argocd.pk2-central.eesti.ee,swh_gov_domains
argocd.pk2-central.test.eesti.ee,swh_gov_domains
argocd.pk2-client.dev.eesti.ee,swh_gov_domains
argocd.pk2-client.eesti.ee,swh_gov_domains
argocd.pk2-client.test.eesti.ee,swh_gov_domains
argocd.postkast.arendus.eesti.ee,swh_gov_domains
argocd.postkast.eesti.ee,swh_gov_domains
argocd.pro.dev.eesti.ee,swh_gov_domains
argocd.pro.eesti.ee,swh_gov_domains
argocd.pro.stage.eesti.ee,swh_gov_domains
argocd.pro.test.eesti.ee,swh_gov_domains
argocd.sun.dev.eesti.ee,swh_gov_domains
argocd.sun.eesti.ee,swh_gov_domains
argocd.sun.stage.eesti.ee,swh_gov_domains
argocd.sun.test.eesti.ee,swh_gov_domains
argocd.test.app.eesti.ee,swh_gov_domains
arva.dev.eesti.ee,swh_gov_domains
arva.eesti.ee,swh_gov_domains
arva.test.eesti.ee,swh_gov_domains
atv-dev.eesti.ee,swh_gov_domains
auth-admin.pro.dev.eesti.ee,swh_gov_domains
auth-admin.pro.eesti.ee,swh_gov_domains
auth-admin.pro.stage.eesti.ee,swh_gov_domains
auth-admin.pro.test.eesti.ee,swh_gov_domains
auth.arva.dev.eesti.ee,swh_gov_domains
auth.arva.eesti.ee,swh_gov_domains
auth.arva.test.eesti.ee,swh_gov_domains
auth.pro.dev.eesti.ee,swh_gov_domains
auth.pro.eesti.ee,swh_gov_domains
auth.pro.stage.eesti.ee,swh_gov_domains
auth.pro.test.eesti.ee,swh_gov_domains
avaandmed.eesti.ee,swh_gov_domains
avaandmeddev.eesti.ee,swh_gov_domains
avaandmedtest.eesti.ee,swh_gov_domains
beta.eesti.ee,swh_gov_domains
buerokratt.eesti.ee,swh_gov_domains
burokratt.eesti.ee,swh_gov_domains
central.dev.postkast.eesti.ee,swh_gov_domains
central.postkast.arendus.eesti.ee,swh_gov_domains
central.postkast.eesti.ee,swh_gov_domains
central.postkast.test.eesti.ee,swh_gov_domains
central.test.postkast.eesti.ee,swh_gov_domains
demo.eesti.ee,swh_gov_domains
dev.app.eesti.ee,swh_gov_domains
dev.eesti.ee,swh_gov_domains
digiriik.eesti.ee,swh_gov_domains
disain.eesti.ee,swh_gov_domains
eeltoodang.eesti.ee,swh_gov_domains
eesti.ee,swh_gov_domains
eestiee.api.pk2-client.eesti.ee,swh_gov_domains
eestiee.api.pk2-client.test.eesti.ee,swh_gov_domains
eestiee.dev.postkast.eesti.ee,swh_gov_domains
eestiee.pk2-client.dev.eesti.ee,swh_gov_domains
eestiee.pk2-client.eesti.ee,swh_gov_domains
eestiee.pk2-client.test.eesti.ee,swh_gov_domains
eestiee.postkast.arendus.eesti.ee,swh_gov_domains
eestiee.postkast.eesti.ee,swh_gov_domains
eestiee.postkast.test.eesti.ee,swh_gov_domains
eestiee.test.postkast.eesti.ee,swh_gov_domains
elvl.api.pk2-client.eesti.ee,swh_gov_domains
elvl.api.pk2-client.test.eesti.ee,swh_gov_domains
elvl.pk2-client.dev.eesti.ee,swh_gov_domains
elvl.pk2-client.eesti.ee,swh_gov_domains
elvl.pk2-client.test.eesti.ee,swh_gov_domains
emta.api.pk2-client.eesti.ee,swh_gov_domains
emta.api.pk2-client.test.eesti.ee,swh_gov_domains
emta.pk2-client.dev.eesti.ee,swh_gov_domains
emta.pk2-client.eesti.ee,swh_gov_domains
emta.pk2-client.test.eesti.ee,swh_gov_domains
envir.ee,swh_gov_domains
es.arendus.eesti.ee,swh_gov_domains
es.beta.eesti.ee,swh_gov_domains
euro.eesti.ee,swh_gov_domains
funktsioonivaramu-dev.eesti.ee,swh_gov_domains
funktsioonivaramu-test.eesti.ee,swh_gov_domains
grafana.app.eesti.ee,swh_gov_domains
grafana.arva.dev.eesti.ee,swh_gov_domains
grafana.arva.eesti.ee,swh_gov_domains
grafana.arva.test.eesti.ee,swh_gov_domains
grafana.dev.app.eesti.ee,swh_gov_domains
grafana.dev.postkast.eesti.ee,swh_gov_domains
grafana.pk2-central.demo.eesti.ee,swh_gov_domains
grafana.pk2-central.dev.eesti.ee,swh_gov_domains
grafana.pk2-central.eesti.ee,swh_gov_domains
grafana.pk2-central.test.eesti.ee,swh_gov_domains
grafana.pk2-client.eesti.ee,swh_gov_domains
grafana.postkast.arendus.eesti.ee,swh_gov_domains
grafana.postkast.eesti.ee,swh_gov_domains
grafana.pro.dev.eesti.ee,swh_gov_domains
grafana.pro.eesti.ee,swh_gov_domains
grafana.pro.stage.eesti.ee,swh_gov_domains
grafana.pro.test.eesti.ee,swh_gov_domains
grafana.test.app.eesti.ee,swh_gov_domains
harbor.pro.dev.eesti.ee,swh_gov_domains
harbor.pro.eesti.ee,swh_gov_domains
harbor.pro.stage.eesti.ee,swh_gov_domains
harbor.pro.test.eesti.ee,swh_gov_domains
hpkp-test.eesti.ee,swh_gov_domains
id.arendus.eesti.ee,swh_gov_domains
id.eesti.ee,swh_gov_domains
id.test.eesti.ee,swh_gov_domains
infoyhiskond.eesti.ee,swh_gov_domains
justdigi.ee,swh_gov_domains
katse.test.eesti.ee,swh_gov_domains
keskkonnaamet.api.pk2-client.eesti.ee,swh_gov_domains
keskkonnaamet.api.pk2-client.test.eesti.ee,swh_gov_domains
keskkonnaamet.pk2-client.dev.eesti.ee,swh_gov_domains
keskkonnaamet.pk2-client.eesti.ee,swh_gov_domains
keskkonnaamet.pk2-client.test.eesti.ee,swh_gov_domains
kiali.arva.dev.eesti.ee,swh_gov_domains
kiali.arva.eesti.ee,swh_gov_domains
kiali.arva.test.eesti.ee,swh_gov_domains
kiali.dev.app.eesti.ee,swh_gov_domains
kiali.pk2-central.demo.eesti.ee,swh_gov_domains
kiali.pk2-central.dev.eesti.ee,swh_gov_domains
kiali.pk2-central.eesti.ee,swh_gov_domains
kiali.pk2-central.test.eesti.ee,swh_gov_domains
kiali.pk2-client.eesti.ee,swh_gov_domains
koolitus.eesti.ee,swh_gov_domains
kpkoda.api.pk2-client.eesti.ee,swh_gov_domains
kpkoda.api.pk2-client.test.eesti.ee,swh_gov_domains
kpkoda.pk2-client.eesti.ee,swh_gov_domains
kpkoda.pk2-client.test.eesti.ee,swh_gov_domains
kv-frdocker-01.dev.eesti.ee,swh_gov_domains
kv-frdocker-01.test.eesti.ee,swh_gov_domains
kv-frdocker-02.dev.eesti.ee,swh_gov_domains
kv-frdocker-02.test.eesti.ee,swh_gov_domains
kyc-dev.eesti.ee,swh_gov_domains
kyc-test.eesti.ee,swh_gov_domains
lkf.api.pk2-client.eesti.ee,swh_gov_domains
lkf.api.pk2-client.test.eesti.ee,swh_gov_domains
lkf.pk2-client.dev.eesti.ee,swh_gov_domains
lkf.pk2-client.eesti.ee,swh_gov_domains
lkf.pk2-client.test.eesti.ee,swh_gov_domains
logs.pro.dev.eesti.ee,swh_gov_domains
logs.pro.eesti.ee,swh_gov_domains
logs.pro.stage.eesti.ee,swh_gov_domains
logs.pro.test.eesti.ee,swh_gov_domains
longhorn.app.eesti.ee,swh_gov_domains
longhorn.arva.dev.eesti.ee,swh_gov_domains
longhorn.arva.eesti.ee,swh_gov_domains
longhorn.arva.test.eesti.ee,swh_gov_domains
longhorn.dev.app.eesti.ee,swh_gov_domains
longhorn.dev.postkast.eesti.ee,swh_gov_domains
longhorn.pk2-central.demo.eesti.ee,swh_gov_domains
longhorn.pk2-central.dev.eesti.ee,swh_gov_domains
longhorn.pk2-central.eesti.ee,swh_gov_domains
longhorn.pk2-central.test.eesti.ee,swh_gov_domains
longhorn.pk2-client.eesti.ee,swh_gov_domains
longhorn.postkast.arendus.eesti.ee,swh_gov_domains
longhorn.postkast.eesti.ee,swh_gov_domains
longhorn.pro.dev.eesti.ee,swh_gov_domains
longhorn.pro.eesti.ee,swh_gov_domains
longhorn.pro.stage.eesti.ee,swh_gov_domains
longhorn.pro.test.eesti.ee,swh_gov_domains
longhorn.test.app.eesti.ee,swh_gov_domains
mailhog.arva.dev.eesti.ee,swh_gov_domains
mailhog.arva.test.eesti.ee,swh_gov_domains
mailhog.dev.postkast.eesti.ee,swh_gov_domains
mailhog.pk2-central.dev.eesti.ee,swh_gov_domains
mailhog.pk2-central.eesti.ee,swh_gov_domains
mailhog.pk2-central.test.eesti.ee,swh_gov_domains
mailhog.postkast.arendus.eesti.ee,swh_gov_domains
mx-ea-1.eesti.ee,swh_gov_domains
mx-ea-2.eesti.ee,swh_gov_domains
mx-ea-3.eesti.ee,swh_gov_domains
mx-ea-4.eesti.ee,swh_gov_domains
mx-ea-5.eesti.ee,swh_gov_domains
mx-ea-6.eesti.ee,swh_gov_domains
mx-ea.eesti.ee,swh_gov_domains
mx-o.eesti.ee,swh_gov_domains
mx.eesti.ee,swh_gov_domains
mx1.eesti.ee,swh_gov_domains
mx2.eesti.ee,swh_gov_domains
mx3.eesti.ee,swh_gov_domains
mx4.eesti.ee,swh_gov_domains
mx5.eesti.ee,swh_gov_domains
mx6.eesti.ee,swh_gov_domains
notification.app.eesti.ee,swh_gov_domains
notification.dev.app.eesti.ee,swh_gov_domains
notification.test.app.eesti.ee,swh_gov_domains
pensionikeskus.api.pk2-client.eesti.ee,swh_gov_domains
pensionikeskus.api.pk2-client.test.eesti.ee,swh_gov_domains
pensionikeskus.pk2-client.dev.eesti.ee,swh_gov_domains
pensionikeskus.pk2-client.eesti.ee,swh_gov_domains
pensionikeskus.pk2-client.test.eesti.ee,swh_gov_domains
pgadmin.arva.dev.eesti.ee,swh_gov_domains
pgadmin.arva.eesti.ee,swh_gov_domains
pgadmin.arva.test.eesti.ee,swh_gov_domains
pgadmin.pk2-central.demo.eesti.ee,swh_gov_domains
pgadmin.pk2-central.dev.eesti.ee,swh_gov_domains
pgadmin.pk2-central.eesti.ee,swh_gov_domains
pgadmin.pk2-central.test.eesti.ee,swh_gov_domains
pgadmin.pk2-client.eesti.ee,swh_gov_domains
pgadmin.postkast.arendus.eesti.ee,swh_gov_domains
pgadmin.postkast.eesti.ee,swh_gov_domains
pgadmin.pro.dev.eesti.ee,swh_gov_domains
pgadmin.pro.eesti.ee,swh_gov_domains
pgadmin.pro.stage.eesti.ee,swh_gov_domains
pgadmin.pro.test.eesti.ee,swh_gov_domains
pgadmin.sun.dev.eesti.ee,swh_gov_domains
pgadmin.sun.eesti.ee,swh_gov_domains
pgadmin.sun.prod.eesti.ee,swh_gov_domains
pgadmin.sun.stage.eesti.ee,swh_gov_domains
pgadmin.sun.test.eesti.ee,swh_gov_domains
ph.dev.eesti.ee,swh_gov_domains
ph.eesti.ee,swh_gov_domains
ph.stage.eesti.ee,swh_gov_domains
ph.test.eesti.ee,swh_gov_domains
phone.pro.dev.eesti.ee,swh_gov_domains
phone.pro.eesti.ee,swh_gov_domains
phone.pro.stage.eesti.ee,swh_gov_domains
phone.pro.test.eesti.ee,swh_gov_domains
pk2-central.demo.eesti.ee,swh_gov_domains
pk2-central.dev.eesti.ee,swh_gov_domains
pk2-central.eesti.ee,swh_gov_domains
pk2-central.test.eesti.ee,swh_gov_domains
pk2-client.dev.eesti.ee,swh_gov_domains
pk2-client.eesti.ee,swh_gov_domains
pk2-client.test.eesti.ee,swh_gov_domains
ppa.api.pk2-client.dev.eesti.ee,swh_gov_domains
ppa.api.pk2-client.eesti.ee,swh_gov_domains
ppa.api.pk2-client.test.eesti.ee,swh_gov_domains
ppa.pk2-client.dev.eesti.ee,swh_gov_domains
ppa.pk2-client.eesti.ee,swh_gov_domains
ppa.pk2-client.test.eesti.ee,swh_gov_domains
prometheus.app.eesti.ee,swh_gov_domains
prometheus.arva.dev.eesti.ee,swh_gov_domains
prometheus.arva.eesti.ee,swh_gov_domains
prometheus.arva.test.eesti.ee,swh_gov_domains
prometheus.dev.app.eesti.ee,swh_gov_domains
prometheus.dev.postkast.eesti.ee,swh_gov_domains
prometheus.pk2-central.demo.eesti.ee,swh_gov_domains
prometheus.pk2-central.dev.eesti.ee,swh_gov_domains
prometheus.pk2-central.eesti.ee,swh_gov_domains
prometheus.pk2-central.test.eesti.ee,swh_gov_domains
prometheus.postkast.arendus.eesti.ee,swh_gov_domains
prometheus.postkast.eesti.ee,swh_gov_domains
prometheus.pro.dev.eesti.ee,swh_gov_domains
prometheus.pro.eesti.ee,swh_gov_domains
prometheus.pro.stage.eesti.ee,swh_gov_domains
prometheus.pro.test.eesti.ee,swh_gov_domains
prometheus.test.app.eesti.ee,swh_gov_domains
qr.app.eesti.ee,swh_gov_domains
qr.dev.app.eesti.ee,swh_gov_domains
qr.test.app.eesti.ee,swh_gov_domains
rig.dev.eesti.ee,swh_gov_domains
rig.eesti.ee,swh_gov_domains
rig.stage.eesti.ee,swh_gov_domains
rig.test.eesti.ee,swh_gov_domains
rights.dev.postkast.eesti.ee,swh_gov_domains
riha-approver.eesti.ee,swh_gov_domains
riigikogu.ee,swh_gov_domains
rik.api.pk2-client.eesti.ee,swh_gov_domains
rik.api.pk2-client.test.eesti.ee,swh_gov_domains
rik.pk2-client.dev.eesti.ee,swh_gov_domains
rik.pk2-client.eesti.ee,swh_gov_domains
rik.pk2-client.test.eesti.ee,swh_gov_domains
ruuter-sb.arendus.eesti.ee,swh_gov_domains
ruuter.arendus.eesti.ee,swh_gov_domains
ruuter.buerokratt.eesti.ee,swh_gov_domains
ruuter.eeltoodang.eesti.ee,swh_gov_domains
ruuter.test.eesti.ee,swh_gov_domains
sisene.arendus.eesti.ee,swh_gov_domains
sisene.eeltoodang.eesti.ee,swh_gov_domains
sisene.koolitus.eesti.ee,swh_gov_domains
sisene.test.eesti.ee,swh_gov_domains
sisene.www.eesti.ee,swh_gov_domains
ska.api.pk2-client.eesti.ee,swh_gov_domains
ska.api.pk2-client.test.eesti.ee,swh_gov_domains
ska.pk2-client.eesti.ee,swh_gov_domains
ska.pk2-client.test.eesti.ee,swh_gov_domains
skais-lsst.stage.eesti.ee,swh_gov_domains
smtp.dev.postkast.eesti.ee,swh_gov_domains
st.arendus.eesti.ee,swh_gov_domains
stage.eesti.ee,swh_gov_domains
statistikaamet.api.pk2-client.eesti.ee,swh_gov_domains
statistikaamet.api.pk2-client.test.eesti.ee,swh_gov_domains
statistikaamet.pk2-client.dev.eesti.ee,swh_gov_domains
statistikaamet.pk2-client.eesti.ee,swh_gov_domains
statistikaamet.pk2-client.test.eesti.ee,swh_gov_domains
stats.app.eesti.ee,swh_gov_domains
stats.dev.app.eesti.ee,swh_gov_domains
stats.test.app.eesti.ee,swh_gov_domains
storybook.veera.eesti.ee,swh_gov_domains
sun-kibana-01.dev.eesti.ee,swh_gov_domains
sun-kibana-02.dev.eesti.ee,swh_gov_domains
sun-pgadmin-01.dev.eesti.ee,swh_gov_domains
sun-pgadmin-02.dev.eesti.ee,swh_gov_domains
sundmusteenus-02.dev.eesti.ee,swh_gov_domains
sundmusteenus-dev.eesti.ee,swh_gov_domains
sundmusteenus-stage.eesti.ee,swh_gov_domains
sundmusteenus-test.eesti.ee,swh_gov_domains
sundmusteenus.eesti.ee,swh_gov_domains
sunettevotja-dev.eesti.ee,swh_gov_domains
sunxt-stage.eesti.ee,swh_gov_domains
sys.pk2-client.dev.eesti.ee,swh_gov_domains
sys.pk2-client.eesti.ee,swh_gov_domains
sys.pk2-client.test.eesti.ee,swh_gov_domains
tai.api.pk2-client.eesti.ee,swh_gov_domains
