domain,source
1.marneuli.gov.ge,swh_gov_domains
123.hrajara.gov.ge,swh_gov_domains
4phouse.tsageri.gov.ge,swh_gov_domains
5g.gov.ge,swh_gov_domains
abkhazia.gov.ge,swh_gov_domains
acc1.mfa.gov.ge,swh_gov_domains
access.mrg.gov.ge,swh_gov_domains
accreditation.mfa.gov.ge,swh_gov_domains
addreg.reestri.gov.ge,swh_gov_domains
adfs.mes.gov.ge,swh_gov_domains
admin.bfd.gov.ge,swh_gov_domains
admin.bsa.gov.ge,swh_gov_domains
admin.test.ems.dea.gov.ge,swh_gov_domains
ais-dashboard.archive.gov.ge,swh_gov_domains
ais.archive.gov.ge,swh_gov_domains
akhaltsikhe.gov.ge,swh_gov_domains
apa.gov.ge,swh_gov_domains
api.bfd.gov.ge,swh_gov_domains
api.my.gov.ge,swh_gov_domains
api.sp.gov.ge,swh_gov_domains
app.culturalroutes.gov.ge,swh_gov_domains
app.iec.gov.ge,swh_gov_domains
app.nplg.gov.ge,swh_gov_domains
app.stajireba.gov.ge,swh_gov_domains
apps.municipal.gov.ge,swh_gov_domains
archival-services.gov.ge,swh_gov_domains
archive.gov.ge,swh_gov_domains
archives-ajara.gov.ge,swh_gov_domains
aspindza.gov.ge,swh_gov_domains
atlas.mepa.gov.ge,swh_gov_domains
auto.sa.gov.ge,swh_gov_domains
autodiscover.5g.gov.ge,swh_gov_domains
autodiscover.abkhazia.gov.ge,swh_gov_domains
autodiscover.apa.gov.ge,swh_gov_domains
autodiscover.archives-ajara.gov.ge,swh_gov_domains
autodiscover.baghdati.gov.ge,swh_gov_domains
autodiscover.bolnisi.gov.ge,swh_gov_domains
autodiscover.boulevard.gov.ge,swh_gov_domains
autodiscover.chiatura.gov.ge,swh_gov_domains
autodiscover.cloud.gov.ge,swh_gov_domains
autodiscover.coworking.gov.ge,swh_gov_domains
autodiscover.dea.gov.ge,swh_gov_domains
autodiscover.delta.gov.ge,swh_gov_domains
autodiscover.dmanisi.gov.ge,swh_gov_domains
autodiscover.dusheti.gov.ge,swh_gov_domains
autodiscover.events.gov.ge,swh_gov_domains
autodiscover.fablab.gov.ge,swh_gov_domains
autodiscover.gardabani.gov.ge,swh_gov_domains
autodiscover.geo.gov.ge,swh_gov_domains
autodiscover.gita.gov.ge,swh_gov_domains
autodiscover.gori.gov.ge,swh_gov_domains
autodiscover.idea.gov.ge,swh_gov_domains
autodiscover.justice.gov.ge,swh_gov_domains
autodiscover.kaspi.gov.ge,swh_gov_domains
autodiscover.keda.gov.ge,swh_gov_domains
autodiscover.khashuri.gov.ge,swh_gov_domains
autodiscover.marneuli.gov.ge,swh_gov_domains
autodiscover.medeamuseum.gov.ge,swh_gov_domains
autodiscover.megzuri.gov.ge,swh_gov_domains
autodiscover.mes.gov.ge,swh_gov_domains
autodiscover.mestia.gov.ge,swh_gov_domains
autodiscover.mfa.gov.ge,swh_gov_domains
autodiscover.moh.gov.ge,swh_gov_domains
autodiscover.mrdi.gov.ge,swh_gov_domains
autodiscover.old.abkhazia.gov.ge,swh_gov_domains
autodiscover.ozurgeti.gov.ge,swh_gov_domains
autodiscover.samtredia.gov.ge,swh_gov_domains
autodiscover.scara.gov.ge,swh_gov_domains
autodiscover.soa.gov.ge,swh_gov_domains
autodiscover.ssps.gov.ge,swh_gov_domains
autodiscover.terjola.gov.ge,swh_gov_domains
autodiscover.tkibuli.gov.ge,swh_gov_domains
autodiscover.tsalka.gov.ge,swh_gov_domains
autodiscover.zestafoni.gov.ge,swh_gov_domains
autodiscover.zugdidi.gov.ge,swh_gov_domains
autodiscover.zugdidicity.gov.ge,swh_gov_domains
av.cloud.gov.ge,swh_gov_domains
av.justice.gov.ge,swh_gov_domains
baghdati.gov.ge,swh_gov_domains
barracuda.mfa.gov.ge,swh_gov_domains
bfd.gov.ge,swh_gov_domains
bolnisi.gov.ge,swh_gov_domains
borjomi.gov.ge,swh_gov_domains
boulevard.gov.ge,swh_gov_domains
bs.napr.gov.ge,swh_gov_domains
bsa.gov.ge,swh_gov_domains
bti.reestri.gov.ge,swh_gov_domains
cagareli.hrajara.gov.ge,swh_gov_domains
cat.archive.gov.ge,swh_gov_domains
catalog.nplg.gov.ge,swh_gov_domains
cdn.trainings.gov.ge,swh_gov_domains
cec.gov.ge,swh_gov_domains
chat.declaration.gov.ge,swh_gov_domains
chat.eugeo-readmission.gov.ge,swh_gov_domains
checkingeorgia.gov.ge,swh_gov_domains
chiatura.gov.ge,swh_gov_domains
chiragdani.tskaltubo.gov.ge,swh_gov_domains
cloud.delta.gov.ge,swh_gov_domains
cloud.gov.ge,swh_gov_domains
complaint.napr.gov.ge,swh_gov_domains
confluence.es.gov.ge,swh_gov_domains
coworking.gov.ge,swh_gov_domains
cpanel.5g.gov.ge,swh_gov_domains
cpanel.abkhazia.gov.ge,swh_gov_domains
cpanel.akhaltsikhe.gov.ge,swh_gov_domains
cpanel.apa.gov.ge,swh_gov_domains
cpanel.archives-ajara.gov.ge,swh_gov_domains
cpanel.baghdati.gov.ge,swh_gov_domains
cpanel.bfd.gov.ge,swh_gov_domains
cpanel.bolnisi.gov.ge,swh_gov_domains
cpanel.boulevard.gov.ge,swh_gov_domains
cpanel.chiatura.gov.ge,swh_gov_domains
cpanel.coworking.gov.ge,swh_gov_domains
cpanel.diaspora.gov.ge,swh_gov_domains
cpanel.dmanisi.gov.ge,swh_gov_domains
cpanel.dusheti.gov.ge,swh_gov_domains
cpanel.events.gov.ge,swh_gov_domains
cpanel.fablab.gov.ge,swh_gov_domains
cpanel.gardabani.gov.ge,swh_gov_domains
cpanel.garemo-adjara.gov.ge,swh_gov_domains
cpanel.gdi.gov.ge,swh_gov_domains
cpanel.gita.gov.ge,swh_gov_domains
cpanel.gori.gov.ge,swh_gov_domains
cpanel.gori.mun.gov.ge,swh_gov_domains
cpanel.gsc.gov.ge,swh_gov_domains
cpanel.hrajara.gov.ge,swh_gov_domains
cpanel.idea.gov.ge,swh_gov_domains
cpanel.internet.gov.ge,swh_gov_domains
cpanel.kaspi.gov.ge,swh_gov_domains
cpanel.keda.gov.ge,swh_gov_domains
cpanel.khashuri.gov.ge,swh_gov_domains
cpanel.kids.gov.ge,swh_gov_domains
cpanel.kvemokartli.gov.ge,swh_gov_domains
cpanel.lentekhi.gov.ge,swh_gov_domains
cpanel.marneuli.gov.ge,swh_gov_domains
cpanel.mea.gov.ge,swh_gov_domains
cpanel.medeamuseum.gov.ge,swh_gov_domains
cpanel.megzuri.gov.ge,swh_gov_domains
cpanel.mestia.gov.ge,swh_gov_domains
cpanel.old.abkhazia.gov.ge,swh_gov_domains
cpanel.oz.gov.ge,swh_gov_domains
cpanel.ozurgeti.gov.ge,swh_gov_domains
cpanel.probation.gov.ge,swh_gov_domains
cpanel.qsb.gov.ge,swh_gov_domains
cpanel.rustavi.gov.ge,swh_gov_domains
cpanel.samtredia.gov.ge,swh_gov_domains
cpanel.scara.gov.ge,swh_gov_domains
cpanel.soa.gov.ge,swh_gov_domains
cpanel.terjola.gov.ge,swh_gov_domains
cpanel.tkibuli.gov.ge,swh_gov_domains
cpanel.tsageri.gov.ge,swh_gov_domains
cpanel.tsalka.gov.ge,swh_gov_domains
cpanel.tskaltubo.gov.ge,swh_gov_domains
cpanel.zestafoni.gov.ge,swh_gov_domains
cpanel.zugdidi.gov.ge,swh_gov_domains
cpanel.zugdidicity.gov.ge,swh_gov_domains
crp.napr.gov.ge,swh_gov_domains
csbd.gov.ge,swh_gov_domains
cybercube.cert.gov.ge,swh_gov_domains
data.mepa.gov.ge,swh_gov_domains
dav.archive.gov.ge,swh_gov_domains
davais.archive.gov.ge,swh_gov_domains
davlogs.archive.gov.ge,swh_gov_domains
davlogsais.archive.gov.ge,swh_gov_domains
davlogsrepository.archive.gov.ge,swh_gov_domains
davrepository.archive.gov.ge,swh_gov_domains
davshop.archives.gov.ge,swh_gov_domains
davshoplogs.archives.gov.ge,swh_gov_domains
dea.gov.ge,swh_gov_domains
debt.reestri.gov.ge,swh_gov_domains
declaration.gov.ge,swh_gov_domains
des.gov.ge,swh_gov_domains
dialin.cloud.gov.ge,swh_gov_domains
diaspora.gov.ge,swh_gov_domains
digiflow.archive.gov.ge,swh_gov_domains
digital.archive.gov.ge,swh_gov_domains
dmanisi.gov.ge,swh_gov_domains
dms.archive.gov.ge,swh_gov_domains
dns.cloud.gov.ge,swh_gov_domains
doc-eco.archive.gov.ge,swh_gov_domains
dotr.gov.ge,swh_gov_domains
drive.cloud.gov.ge,swh_gov_domains
dspace.nplg.gov.ge,swh_gov_domains
dusheti.gov.ge,swh_gov_domains
e.gov.ge,swh_gov_domains
ecnoba.mrdi.gov.ge,swh_gov_domains
economy.napr.gov.ge,swh_gov_domains
edocument.cec.gov.ge,swh_gov_domains
edu.hrajara.gov.ge,swh_gov_domains
egmc.gov.ge,swh_gov_domains
ehealth.moh.gov.ge,swh_gov_domains
eid.dea.gov.ge,swh_gov_domains
eims.eiec.gov.ge,swh_gov_domains
elearning.dea.gov.ge,swh_gov_domains
email.justice.gov.ge,swh_gov_domains
email.mfa.gov.ge,swh_gov_domains
emoe.gov.ge,swh_gov_domains
enreg.reestri.gov.ge,swh_gov_domains
eredvi.gov.ge,swh_gov_domains
es.gov.ge,swh_gov_domains
eugeo-readmission.gov.ge,swh_gov_domains
events.gita.gov.ge,swh_gov_domains
events.gov.ge,swh_gov_domains
evisa.gov.ge,swh_gov_domains
ex-cas.justice.gov.ge,swh_gov_domains
ex-ch01.justice.gov.ge,swh_gov_domains
ex-ch02.justice.gov.ge,swh_gov_domains
ex2010.mta.gov.ge,swh_gov_domains
exchange.expertiza.gov.ge,swh_gov_domains
exchange01.mrdi.gov.ge,swh_gov_domains
fablab.gov.ge,swh_gov_domains
fb.government.gov.ge,swh_gov_domains
fba.mfa.gov.ge,swh_gov_domains
files.archive.gov.ge,swh_gov_domains
fms.gov.ge,swh_gov_domains
forum.hrajara.gov.ge,swh_gov_domains
ftp.nplg.gov.ge,swh_gov_domains
gardabani.gov.ge,swh_gov_domains
garemo-adjara.gov.ge,swh_gov_domains
gdi.gov.ge,swh_gov_domains
gecommission.gov.ge,swh_gov_domains
geo.gov.ge,swh_gov_domains
geoconsul.gov.ge,swh_gov_domains
georoad.gov.ge,swh_gov_domains
gis.gov.ge,swh_gov_domains
gita.gov.ge,swh_gov_domains
gmdss.mta.gov.ge,swh_gov_domains
golbet.ge.hrajara.gov.ge,swh_gov_domains
gori.gov.ge,swh_gov_domains
gori.mun.gov.ge,swh_gov_domains
gov.ge,swh_gov_domains
government.gov.ge,swh_gov_domains
grants.gov.ge,swh_gov_domains
greg.reestri.gov.ge,swh_gov_domains
gsc.gov.ge,swh_gov_domains
handi.hrajara.gov.ge,swh_gov_domains
hebbe.tsageri.gov.ge,swh_gov_domains
house.gov.ge,swh_gov_domains
hr.gov.ge,swh_gov_domains
hrajara.gov.ge,swh_gov_domains
ichange.gov.ge,swh_gov_domains
idea.gov.ge,swh_gov_domains
iec.gov.ge,swh_gov_domains
imereti.gov.ge,swh_gov_domains
img.bsa.gov.ge,swh_gov_domains
incidents.dea.gov.ge,swh_gov_domains
indiapeople.hrajara.gov.ge,swh_gov_domains
info.mrdi.gov.ge,swh_gov_domains
internet.gov.ge,swh_gov_domains
intra.napr.gov.ge,swh_gov_domains
join.cloud.gov.ge,swh_gov_domains
join.justice.gov.ge,swh_gov_domains
jus-lyncedge.justice.gov.ge,swh_gov_domains
jus-lyncfe01.justice.gov.ge,swh_gov_domains
justice.gov.ge,swh_gov_domains
kakheti.gov.ge,swh_gov_domains
kaspi.gov.ge,swh_gov_domains
keda.gov.ge,swh_gov_domains
keda.keda.gov.ge,swh_gov_domains
khashuri.gov.ge,swh_gov_domains
kids.gov.ge,swh_gov_domains
kutaisi.gov.ge,swh_gov_domains
kvemokartli.gov.ge,swh_gov_domains
landregistration.gov.ge,swh_gov_domains
legacy.nea.gov.ge,swh_gov_domains
lentekhi.gov.ge,swh_gov_domains
lync.cloud.gov.ge,swh_gov_domains
lync.justice.gov.ge,swh_gov_domains
lyncweb.cloud.gov.ge,swh_gov_domains
mail.5g.gov.ge,swh_gov_domains
mail.abkhazia.gov.ge,swh_gov_domains
mail.akhaltsikhe.gov.ge,swh_gov_domains
mail.apa.gov.ge,swh_gov_domains
mail.archive.gov.ge,swh_gov_domains
mail.archives-ajara.gov.ge,swh_gov_domains
mail.archives.gov.ge,swh_gov_domains
mail.baghdati.gov.ge,swh_gov_domains
mail.bfd.gov.ge,swh_gov_domains
mail.bolnisi.gov.ge,swh_gov_domains
mail.boulevard.gov.ge,swh_gov_domains
mail.ccg.gov.ge,swh_gov_domains
mail.chiatura.gov.ge,swh_gov_domains
mail.cloud.gov.ge,swh_gov_domains
mail.coworking.gov.ge,swh_gov_domains
mail.dea.gov.ge,swh_gov_domains
mail.delta.gov.ge,swh_gov_domains
mail.diaspora.gov.ge,swh_gov_domains
mail.dmanisi.gov.ge,swh_gov_domains
mail.dusheti.gov.ge,swh_gov_domains
mail.eco.gov.ge,swh_gov_domains
mail.emsc.gov.ge,swh_gov_domains
mail.events.gov.ge,swh_gov_domains
mail.fablab.gov.ge,swh_gov_domains
mail.gardabani.gov.ge,swh_gov_domains
mail.garemo-adjara.gov.ge,swh_gov_domains
mail.gdi.gov.ge,swh_gov_domains
mail.georoad.gov.ge,swh_gov_domains
mail.gita.gov.ge,swh_gov_domains
mail.gori.gov.ge,swh_gov_domains
mail.gori.mun.gov.ge,swh_gov_domains
mail.gsc.gov.ge,swh_gov_domains
mail.hrajara.gov.ge,swh_gov_domains
mail.idea.gov.ge,swh_gov_domains
mail.imereti.gov.ge,swh_gov_domains
mail.internet.gov.ge,swh_gov_domains
mail.kakheti.gov.ge,swh_gov_domains
mail.kaspi.gov.ge,swh_gov_domains
mail.keda.gov.ge,swh_gov_domains
mail.khashuri.gov.ge,swh_gov_domains
mail.kids.gov.ge,swh_gov_domains
mail.kvemokartli.gov.ge,swh_gov_domains
mail.lentekhi.gov.ge,swh_gov_domains
mail.marneuli.gov.ge,swh_gov_domains
mail.medeamuseum.gov.ge,swh_gov_domains
mail.megzuri.gov.ge,swh_gov_domains
mail.mes.gov.ge,swh_gov_domains
mail.mestia.gov.ge,swh_gov_domains
mail.mia.gov.ge,swh_gov_domains
mail.moh.gov.ge,swh_gov_domains
mail.mrdi.gov.ge,swh_gov_domains
mail.mta.gov.ge,swh_gov_domains
mail.nea.gov.ge,swh_gov_domains
mail.nplg.gov.ge,swh_gov_domains
mail.nsc.gov.ge,swh_gov_domains
mail.old.abkhazia.gov.ge,swh_gov_domains
mail.oni.gov.ge,swh_gov_domains
mail.oz.gov.ge,swh_gov_domains
mail.ozurgeti.gov.ge,swh_gov_domains
mail.probation.gov.ge,swh_gov_domains
mail.qsb.gov.ge,swh_gov_domains
mail.reestri.gov.ge,swh_gov_domains
mail.rustavi.gov.ge,swh_gov_domains
mail.samtredia.gov.ge,swh_gov_domains
mail.scara.gov.ge,swh_gov_domains
mail.security.gov.ge,swh_gov_domains
mail.soa.gov.ge,swh_gov_domains
mail.ssps.gov.ge,swh_gov_domains
mail.technology.gov.ge,swh_gov_domains
mail.terjola.gov.ge,swh_gov_domains
mail.tkibuli.gov.ge,swh_gov_domains
mail.tsageri.gov.ge,swh_gov_domains
mail.tsalka.gov.ge,swh_gov_domains
mail.tskaltubo.gov.ge,swh_gov_domains
mail.water.gov.ge,swh_gov_domains
mail.zestafoni.gov.ge,swh_gov_domains
mail.zugdidi.gov.ge,swh_gov_domains
mail.zugdidicity.gov.ge,swh_gov_domains
mail2.gardabani.gov.ge,swh_gov_domains
mail2.geo.gov.ge,swh_gov_domains
mail2.moh.gov.ge,swh_gov_domains
maradimaradi.hrajara.gov.ge,swh_gov_domains
marneuli.gov.ge,swh_gov_domains
matsne.gov.ge,swh_gov_domains
mcat.nplg.gov.ge,swh_gov_domains
mea.gov.ge,swh_gov_domains
medeamuseum.gov.ge,swh_gov_domains
meet.cloud.gov.ge,swh_gov_domains
megzuri.gov.ge,swh_gov_domains
mepa.gov.ge,swh_gov_domains
mes.gov.ge,swh_gov_domains
mestia.gov.ge,swh_gov_domains
mia.gov.ge,swh_gov_domains
mkhileba.gov.ge,swh_gov_domains
mmr.reestri.gov.ge,swh_gov_domains
mms.gov.ge,swh_gov_domains
moa.gov.ge,swh_gov_domains
mobileapi.napr.gov.ge,swh_gov_domains
mod.gov.ge,swh_gov_domains
moh.gov.ge,swh_gov_domains
moneymuseum.nbg.gov.ge,swh_gov_domains
moodle.cloud.gov.ge,swh_gov_domains
mrdi.gov.ge,swh_gov_domains
ms.emoe.gov.ge,swh_gov_domains
msy.gov.ge,swh_gov_domains
municipal.gov.ge,swh_gov_domains
mx1.mfa.gov.ge,swh_gov_domains
mx2.justice.gov.ge,swh_gov_domains
mx5.cloud.gov.ge,swh_gov_domains
my.gov.ge,swh_gov_domains
myprofession.gov.ge,swh_gov_domains
nam-geofund.archival-services.gov.ge,swh_gov_domains
nam.archive.gov.ge,swh_gov_domains
napr.gov.ge,swh_gov_domains
naprlmr.reestri.gov.ge,swh_gov_domains
naprweb.reestri.gov.ge,swh_gov_domains
navigation.napr.gov.ge,swh_gov_domains
nbeibank.reestri.gov.ge,swh_gov_domains
nbg.gov.ge,swh_gov_domains
nbof.reestri.gov.ge,swh_gov_domains
nea.gov.ge,swh_gov_domains
news.abkhazia.gov.ge,swh_gov_domains
news.old.abkhazia.gov.ge,swh_gov_domains
nom.reestri.gov.ge,swh_gov_domains
notary.reestri.gov.ge,swh_gov_domains
nplg.gov.ge,swh_gov_domains
nsc.gov.ge,swh_gov_domains
old.abkhazia.gov.ge,swh_gov_domains
old.tskaltubo.gov.ge,swh_gov_domains
oldnaprweb.reestri.gov.ge,swh_gov_domains
oni.gov.ge,swh_gov_domains
online.moc.gov.ge,swh_gov_domains
online.sakpatenti.gov.ge,swh_gov_domains
oz.gov.ge,swh_gov_domains
ozurgeti.gov.ge,swh_gov_domains
pifc.gov.ge,swh_gov_domains
portal.cloud.gov.ge,swh_gov_domains
president.gov.ge,swh_gov_domains
probation.gov.ge,swh_gov_domains
probation.probation.gov.ge,swh_gov_domains
public.reestri.gov.ge,swh_gov_domains
publish.matsne.gov.ge,swh_gov_domains
pwd.hrajara.gov.ge,swh_gov_domains
qsb.gov.ge,swh_gov_domains
reestri.gov.ge,swh_gov_domains
registration.test.my.gov.ge,swh_gov_domains
repository.archive.gov.ge,swh_gov_domains
republic.archival-services.gov.ge,swh_gov_domains
republic.archive.gov.ge,swh_gov_domains
retraining.hrajara.gov.ge,swh_gov_domains
retraining1.hrajara.gov.ge,swh_gov_domains
rev1-ext.cloud.gov.ge,swh_gov_domains
rionimaps.nea.gov.ge,swh_gov_domains
rustavi.gov.ge,swh_gov_domains
s-j.gov.ge,swh_gov_domains
sa.gov.ge,swh_gov_domains
samtredia.gov.ge,swh_gov_domains
saras.gov.ge,swh_gov_domains
satesto2.marneuli.gov.ge,swh_gov_domains
scara.gov.ge,swh_gov_domains
sda.gov.ge,swh_gov_domains
server.mod.gov.ge,swh_gov_domains
shop.archives.gov.ge,swh_gov_domains
sip.cloud.gov.ge,swh_gov_domains
sip.justice.gov.ge,swh_gov_domains
skype-sip.archives.gov.ge,swh_gov_domains
skype-webconf.archives.gov.ge,swh_gov_domains
skype.delta.gov.ge,swh_gov_domains
smtp-10.cloud.gov.ge,swh_gov_domains
soa.gov.ge,swh_gov_domains
sp.gov.ge,swh_gov_domains
sr.archive.gov.ge,swh_gov_domains
sr.archives-ajara.gov.ge,swh_gov_domains
srbo.archive.gov.ge,swh_gov_domains
ssa.gov.ge,swh_gov_domains
ssg.gov.ge,swh_gov_domains
stajireba.gov.ge,swh_gov_domains
startupfriendly.gov.ge,swh_gov_domains
stream.mrg.gov.ge,swh_gov_domains
sts.mes.gov.ge,swh_gov_domains
student.hrajara.gov.ge,swh_gov_domains
support.mrg.gov.ge,swh_gov_domains
tbilisi-ebrd.gov.ge,swh_gov_domains
tbilisi.control.mrg.gov.ge,swh_gov_domains
tbilisi.gov.ge,swh_gov_domains
tbsakrebulo.gov.ge,swh_gov_domains
tenders.procurement.gov.ge,swh_gov_domains
terjola.gov.ge,swh_gov_domains
test-admin.bfd.gov.ge,swh_gov_domains
test-api.bfd.gov.ge,swh_gov_domains
test-geoserver.napr.gov.ge,swh_gov_domains
test.bfd.gov.ge,swh_gov_domains
test.kaspi.gov.ge,swh_gov_domains
test.marneuli.gov.ge,swh_gov_domains
test.my.gov.ge,swh_gov_domains
test.psh.dea.gov.ge,swh_gov_domains
testapi.my.gov.ge,swh_gov_domains
tetritskaro.gov.ge,swh_gov_domains
thebambo.hrajara.gov.ge,swh_gov_domains
tkibuli.gov.ge,swh_gov_domains
trainer.hrajara.gov.ge,swh_gov_domains
training.hrajara.gov.ge,swh_gov_domains
trainings.gov.ge,swh_gov_domains
trainings.hrajara.gov.ge,swh_gov_domains
tsageri.gov.ge,swh_gov_domains
tsalka.gov.ge,swh_gov_domains
tskaltubo.gov.ge,swh_gov_domains
tskaltubo.tskaltubo.gov.ge,swh_gov_domains
upload.matsne.gov.ge,swh_gov_domains
videos.mfa.gov.ge,swh_gov_domains
visit-notary.reestri.gov.ge,swh_gov_domains
vpn.cec.gov.ge,swh_gov_domains
vpn.delta.gov.ge,swh_gov_domains
webconf.cloud.gov.ge,swh_gov_domains
webconf.justice.gov.ge,swh_gov_domains
webdisk.5g.gov.ge,swh_gov_domains
webdisk.abkhazia.gov.ge,swh_gov_domains
webdisk.akhaltsikhe.gov.ge,swh_gov_domains
webdisk.apa.gov.ge,swh_gov_domains
webdisk.archives-ajara.gov.ge,swh_gov_domains
webdisk.baghdati.gov.ge,swh_gov_domains
webdisk.bfd.gov.ge,swh_gov_domains
webdisk.bolnisi.gov.ge,swh_gov_domains
webdisk.boulevard.gov.ge,swh_gov_domains
webdisk.chiatura.gov.ge,swh_gov_domains
webdisk.coworking.gov.ge,swh_gov_domains
webdisk.diaspora.gov.ge,swh_gov_domains
webdisk.dmanisi.gov.ge,swh_gov_domains
webdisk.dusheti.gov.ge,swh_gov_domains
webdisk.events.gov.ge,swh_gov_domains
webdisk.fablab.gov.ge,swh_gov_domains
webdisk.gardabani.gov.ge,swh_gov_domains
webdisk.garemo-adjara.gov.ge,swh_gov_domains
webdisk.gdi.gov.ge,swh_gov_domains
webdisk.gita.gov.ge,swh_gov_domains
webdisk.gori.gov.ge,swh_gov_domains
webdisk.gori.mun.gov.ge,swh_gov_domains
webdisk.gsc.gov.ge,swh_gov_domains
webdisk.hrajara.gov.ge,swh_gov_domains
webdisk.idea.gov.ge,swh_gov_domains
