domain,source
0890.syzefxis.gov.gr,swh_gov_domains
112.gov.gr,swh_gov_domains
1140.syzefxis.gov.gr,swh_gov_domains
1706.syzefxis.gov.gr,swh_gov_domains
acorrbox.gsac.gov.gr,swh_gov_domains
agrinio.gov.gr.agriniopolitismos.gr,swh_gov_domains
aisopos.minedu.gov.gr,swh_gov_domains
aitimata.kalymnos.gov.gr,swh_gov_domains
aliartos.gov.gr,swh_gov_domains
alonnisos.gov.gr,swh_gov_domains
amari.gov.gr,swh_gov_domains
anaptixi.gov.gr,swh_gov_domains
apdkritis.gov.gr,swh_gov_domains
api.koinonikosantiktypos.gov.gr,swh_gov_domains
apps.gov.gr,swh_gov_domains
appsint.efka.gov.gr,swh_gov_domains
arxaiologikoktimatologio.gov.gr,swh_gov_domains
astegoi.gov.gr,swh_gov_domains
atlas.gov.gr,swh_gov_domains
attica.gov.gr,swh_gov_domains
auth.dimossouliou.gov.gr,swh_gov_domains
auth.kalymnos.gov.gr,swh_gov_domains
autoconfig.erymanthou.gov.gr,swh_gov_domains
autodiscover.agrinio.gov.gr,swh_gov_domains
autodiscover.alonnisos.gov.gr,swh_gov_domains
autodiscover.brexit.gov.gr,swh_gov_domains
autodiscover.elafonisos.gov.gr,swh_gov_domains
autodiscover.erymanthou.gov.gr,swh_gov_domains
autodiscover.filiates.gov.gr,swh_gov_domains
autodiscover.gamingcommission.gov.gr,swh_gov_domains
autodiscover.kileler.gov.gr,swh_gov_domains
autodiscover.koropi.gov.gr,swh_gov_domains
autodiscover.lipsi.gov.gr,swh_gov_domains
autodiscover.minedu.gov.gr,swh_gov_domains
autodiscover.monemvasia.gov.gr,swh_gov_domains
autodiscover.paiania.gov.gr,swh_gov_domains
autodiscover.politis.pamth.gov.gr,swh_gov_domains
autodiscover.ppel.gov.gr,swh_gov_domains
autodiscover.sintiki.gov.gr,swh_gov_domains
autodiscover.ydra.gov.gr,swh_gov_domains
autodiscover.zografou.gov.gr,swh_gov_domains
awstats.boriakinouria.gov.gr,swh_gov_domains
bbb.crete.gov.gr,swh_gov_domains
bms.idika.gov.gr,swh_gov_domains
brexit.gov.gr,swh_gov_domains
calander.dpapxol.gov.gr,swh_gov_domains
carpooling.dimoskarditsas.gov.gr,swh_gov_domains
casinoauditors.gamingcommission.gov.gr,swh_gov_domains
chalki.gov.gr,swh_gov_domains
charter.yna.gov.gr,swh_gov_domains
citycare.kavala.gov.gr,swh_gov_domains
cityofskydra.gov.gr,swh_gov_domains
cloud1.pdm.gov.gr,swh_gov_domains
comidor.crete.gov.gr,swh_gov_domains
cpanel.agrinio.gov.gr,swh_gov_domains
cpanel.alonnisos.gov.gr,swh_gov_domains
cpanel.brexit.gov.gr,swh_gov_domains
cpanel.chalki.gov.gr,swh_gov_domains
cpanel.diamesolavisi.gov.gr,swh_gov_domains
cpanel.dimosalmopias.gov.gr,swh_gov_domains
cpanel.elafonisos.gov.gr,swh_gov_domains
cpanel.filiates.gov.gr,swh_gov_domains
cpanel.ierapetra.gov.gr,swh_gov_domains
cpanel.ikaria.gov.gr,swh_gov_domains
cpanel.irida.gov.gr,swh_gov_domains
cpanel.isp.thira.gov.gr,swh_gov_domains
cpanel.kileler.gov.gr,swh_gov_domains
cpanel.koropi.gov.gr,swh_gov_domains
cpanel.lipsi.gov.gr,swh_gov_domains
cpanel.megalopoli.gov.gr,swh_gov_domains
cpanel.monemvasia.gov.gr,swh_gov_domains
cpanel.new.moh.gov.gr,swh_gov_domains
cpanel.oichalia.gov.gr,swh_gov_domains
cpanel.old.thira.gov.gr,swh_gov_domains
cpanel.paiania.gov.gr,swh_gov_domains
cpanel.politis.pamth.gov.gr,swh_gov_domains
cpanel.ppel.gov.gr,swh_gov_domains
cpanel.sintiki.gov.gr,swh_gov_domains
cpanel.skydra.gov.gr,swh_gov_domains
cpanel.thira.gov.gr,swh_gov_domains
cpanel.xylokastro-evrostini.gov.gr,swh_gov_domains
cpanel.ydra.gov.gr,swh_gov_domains
cpanel.zagori.gov.gr,swh_gov_domains
cpanel.zakynthos.gov.gr,swh_gov_domains
cpanel.zitsa.gov.gr,swh_gov_domains
cpanel.zografou.gov.gr,swh_gov_domains
credman.pkm.gov.gr,swh_gov_domains
crete.gov.gr,swh_gov_domains
cyberkid.gov.gr,swh_gov_domains
dafni-ymittos.gov.gr,swh_gov_domains
dde.minedu.gov.gr,swh_gov_domains
dev.petroupoli.gov.gr,swh_gov_domains
deyak.kalymnos.gov.gr,swh_gov_domains
diadikasies.minedu.gov.gr,swh_gov_domains
dialogos.minedu.gov.gr,swh_gov_domains
diamesolavisi.gov.gr,swh_gov_domains
diek.minedu.gov.gr,swh_gov_domains
digitalpublicservices.gov.gr,swh_gov_domains
dikadime.ddm.gov.gr,swh_gov_domains
dimospaggaiou.gov.gr,swh_gov_domains
directors.minedu.gov.gr,swh_gov_domains
discover.ddm.gov.gr,swh_gov_domains
dms.pde.gov.gr,swh_gov_domains
e-counting.minedu.gov.gr,swh_gov_domains
e-eggrafes-app.minedu.gov.gr,swh_gov_domains
e-epal.minedu.gov.gr,swh_gov_domains
e-farkadona.gov.gr,swh_gov_domains
e-frontistirio.minedu.gov.gr,swh_gov_domains
e-quality.minadmin.gov.gr,swh_gov_domains
e-quality.ydmed.gov.gr,swh_gov_domains
e-ygeia.gov.gr,swh_gov_domains
eauction.ydmed.gov.gr,swh_gov_domains
ecosystem.kalo.gov.gr,swh_gov_domains
edic.pde.gov.gr,swh_gov_domains
edka.gov.gr,swh_gov_domains
