domain,source
autodiscover.email.vatican.va,swh_gov_domains
autodiscover.vatican.va,swh_gov_domains
email.vatican.va,swh_gov_domains
m.vatican.va,swh_gov_domains
mail.email.vatican.va,swh_gov_domains
mail.vatican.va,swh_gov_domains
michele.vatican.va,swh_gov_domains
mobile.vatican.va,swh_gov_domains
owa.email.vatican.va,swh_gov_domains
owa.vatican.va,swh_gov_domains
posta.vatican.va,swh_gov_domains
press.vatican.va,swh_gov_domains
rss.vatican.va,swh_gov_domains
supportoposta.vatican.va,swh_gov_domains
vatican.va,swh_gov_domains
vpn.vatican.va,swh_gov_domains
w2.vatican.va,swh_gov_domains
widgets.vatican.va,swh_gov_domains
