domain,source
112mt.gov.mt,swh_gov_domains
aacbeta.gov.mt,swh_gov_domains
aaccbeta.gov.mt,swh_gov_domains
academybeta.gov.mt,swh_gov_domains
accomstat.nso.gov.mt,swh_gov_domains
admin.consularplus-test.gov.mt,swh_gov_domains
admin.consularplus.gov.mt,swh_gov_domains
admin.staging.ncc-mita.gov.mt,swh_gov_domains
adminhosting.s1.cloud.gov.mt,swh_gov_domains
adminhosting.s2.cloud.gov.mt,swh_gov_domains
adminhosting.s3.cloud.gov.mt,swh_gov_domains
adminhosting.s4.cloud.gov.mt,swh_gov_domains
adminhosting.s5.cloud.gov.mt,swh_gov_domains
adminmanagement.s1.cloud.gov.mt,swh_gov_domains
adminmanagement.s2.cloud.gov.mt,swh_gov_domains
adminmanagement.s3.cloud.gov.mt,swh_gov_domains
adminmanagement.s4.cloud.gov.mt,swh_gov_domains
adminmanagement.s5.cloud.gov.mt,swh_gov_domains
adminportal.s1.cloud.gov.mt,swh_gov_domains
adminportal.s2.cloud.gov.mt,swh_gov_domains
adminportal.s3.cloud.gov.mt,swh_gov_domains
adminportal.s4.cloud.gov.mt,swh_gov_domains
adminportal.s5.cloud.gov.mt,swh_gov_domains
adminvault.s1.cloud.gov.mt,swh_gov_domains
adminvault.s2.cloud.gov.mt,swh_gov_domains
adminvault.s3.cloud.gov.mt,swh_gov_domains
adminvault.s4.cloud.gov.mt,swh_gov_domains
adminvault.s5.cloud.gov.mt,swh_gov_domains
afmbeta.gov.mt,swh_gov_domains
agents.iip.gov.mt,swh_gov_domains
agriconnect.gov.mt,swh_gov_domains
agrifair.gov.mt,swh_gov_domains
aimsbeta.gov.mt,swh_gov_domains
akkomodazzjonibeta.gov.mt,swh_gov_domains
amreporting-cleanandupkeep.gov.mt,swh_gov_domains
api.appservice.s1.cloud.gov.mt,swh_gov_domains
api.appservice.s2.cloud.gov.mt,swh_gov_domains
api.appservice.s3.cloud.gov.mt,swh_gov_domains
api.appservice.s5.cloud.gov.mt,swh_gov_domains
api.consularplus-test.gov.mt,swh_gov_domains
api.consularplus.gov.mt,swh_gov_domains
api.dms.fms.gov.mt,swh_gov_domains
api.gov.mt,swh_gov_domains
api.health.gov.mt,swh_gov_domains
api.maltagoesrural.gov.mt,swh_gov_domains
api.staging.dms.fms.gov.mt,swh_gov_domains
api.staging.ncc-mita.gov.mt,swh_gov_domains
apmt01.eessi-acc.gov.mt,swh_gov_domains
apmt01.eessi.gov.mt,swh_gov_domains
app.cleanandupkeep.gov.mt,swh_gov_domains
appservice.s1.cloud.gov.mt,swh_gov_domains
appservice.s2.cloud.gov.mt,swh_gov_domains
