domain,source
a-feeds.government.nl,swh_gov_domains
a-magazines.government.nl,swh_gov_domains
a-magazinesintern.government.nl,swh_gov_domains
a-newsletter.government.nl,swh_gov_domains
a-opendata.government.nl,swh_gov_domains
a-www.government.nl,swh_gov_domains
acc.quarantinedeclaration.government.nl,swh_gov_domains
coronadashboard.government.nl,swh_gov_domains
feeds.government.nl,swh_gov_domains
government.nl,swh_gov_domains
magazines.government.nl,swh_gov_domains
magazinesintern.government.nl,swh_gov_domains
newsletter.government.nl,swh_gov_domains
opendata.government.nl,swh_gov_domains
overheid.nl,swh_gov_domains
quarantinedeclaration.government.nl,swh_gov_domains
rijksoverheid.nl,swh_gov_domains
sdg.government.nl,swh_gov_domains
staging.coronadashboard.government.nl,swh_gov_domains
staten-generaal.nl,swh_gov_domains
static.government.nl,swh_gov_domains
subscribe.government.nl,swh_gov_domains
test.coronadashboard.government.nl,swh_gov_domains
