domain,source
a.rteste.mai.gov.pt,swh_gov_domains
abuja.embaixadaportugal.mne.gov.pt,swh_gov_domains
access.ceger.gov.pt,swh_gov_domains
access.dgal.gov.pt,swh_gov_domains
access.dgarq.gov.pt,swh_gov_domains
access.dglab.gov.pt,swh_gov_domains
access.rnsi.mai.gov.pt,swh_gov_domains
accesssfb.rnsi.mai.gov.pt,swh_gov_domains
acessoexterno.mne.gov.pt,swh_gov_domains
acidentestrabalho.sgmf.gov.pt,swh_gov_domains
acm.gov.pt,swh_gov_domains
act.gov.pt,swh_gov_domains
activesync.espap.gov.pt,swh_gov_domains
adalor.domsgma.gov.pt,swh_gov_domains
adfs.edu.azores.gov.pt,swh_gov_domains
adfs.sg.mai.gov.pt,swh_gov_domains
admin.portugal.gov.pt,swh_gov_domains
admintributaria.gov.pt,swh_gov_domains
agenda.portaldocidadao.gov.pt,swh_gov_domains
agendamentosonline.mne.gov.pt,swh_gov_domains
agregacao.compras.gov.pt,swh_gov_domains
agrifam.dgadr.gov.pt,swh_gov_domains
ahd.mne.gov.pt,swh_gov_domains
aicp.gov.pt,swh_gov_domains
ama.gov.pt,swh_gov_domains
ancp.gov.pt,swh_gov_domains
anoeuropeudoscidadaos.gov.pt,swh_gov_domains
anpaq.dev.mne.gov.pt,swh_gov_domains
anpaq.mne.gov.pt,swh_gov_domains
anpaq.qa.mne.gov.pt,swh_gov_domains
anq.gov.pt,swh_gov_domains
anqep.gov.pt,swh_gov_domains
antonioguterres.gov.pt,swh_gov_domains
api.edu.gov.pt,swh_gov_domains
api.passaportequalifica.gov.pt,swh_gov_domains
api.passaportequalificaq.gov.pt,swh_gov_domains
apiserver.dgartes.gov.pt,swh_gov_domains
aplic.igamaot.gov.pt,swh_gov_domains
app.dgrdn.gov.pt,swh_gov_domains
app.gov.pt,swh_gov_domains
app.simplex.gov.pt,swh_gov_domains
apprv.mne.gov.pt,swh_gov_domains
apps.dgo.gov.pt,swh_gov_domains
aquisicaoservicos.dgaep.gov.pt,swh_gov_domains
archeevosrv.rnsi.mai.gov.pt,swh_gov_domains
asae.gov.pt,swh_gov_domains
assinaturas.rnsi.mai.gov.pt,swh_gov_domains
at.gov.pt,swh_gov_domains
atendimento.dgrm.mm.gov.pt,swh_gov_domains
autarquias.geadap.gov.pt,swh_gov_domains
autarquias.siadap.gov.pt,swh_gov_domains
autarquicas2017.mai.gov.pt,swh_gov_domains
autenticacao.cartaodecidadao.gov.pt,swh_gov_domains
autenticacao.gov.pt,swh_gov_domains
autenticacao.madeira.gov.pt,swh_gov_domains
autenticacao.teste.cartaodecidadao.gov.pt,swh_gov_domains
auth.ecce.gov.pt,swh_gov_domains
autodiscover.academiaportuguesadahistoria.gov.pt,swh_gov_domains
autodiscover.act.gov.pt,swh_gov_domains
autodiscover.anq.gov.pt,swh_gov_domains
autodiscover.anqep.gov.pt,swh_gov_domains
autodiscover.asae.gov.pt,swh_gov_domains
autodiscover.bandeiradaetica.ipdj.gov.pt,swh_gov_domains
autodiscover.cccm.gov.pt,swh_gov_domains
autodiscover.ceger.gov.pt,swh_gov_domains
autodiscover.cncs.gov.pt,swh_gov_domains
autodiscover.dgai.mai.gov.pt,swh_gov_domains
autodiscover.dgal.gov.pt,swh_gov_domains
autodiscover.dgarq.gov.pt,swh_gov_domains
