domain,source
1420.gov.cy,swh_gov_domains
25years.cysec.gov.cy,swh_gov_domains
50chrona.moec.gov.cy,swh_gov_domains
acc-api.eudcc.gov.cy,swh_gov_domains
acc-helpdesk.eudcc.gov.cy,swh_gov_domains
acc-issuer.eudcc.gov.cy,swh_gov_domains
acc-issuersrv.eudcc.gov.cy,swh_gov_domains
acc-verifier.eudcc.gov.cy,swh_gov_domains
acc-wiki.eudcc.gov.cy,swh_gov_domains
acc.eudcc.gov.cy,swh_gov_domains
access.gdw.intranet.gov.cy,swh_gov_domains
admin.cystat.gov.cy,swh_gov_domains
adminbiblio.cypruslibrary.gov.cy,swh_gov_domains
adminopac.cypruslibrary.gov.cy,swh_gov_domains
airquality.dli.mlsi.gov.cy,swh_gov_domains
airquality.gov.cy,swh_gov_domains
anticorruption.pias.gov.cy,swh_gov_domains
anticorruption.police.gov.cy,swh_gov_domains
apcy01.eessi.mlsi.gov.cy,swh_gov_domains
api-eid.crmd.moi.gov.cy,swh_gov_domains
api-oers.elections.moi.gov.cy,swh_gov_domains
api.elections.moi.gov.cy,swh_gov_domains
apis.police.gov.cy,swh_gov_domains
app.nba.gov.cy,swh_gov_domains
app.podilato.gov.cy,swh_gov_domains
appcy01.eessi-test.mlsi.gov.cy,swh_gov_domains
apply.podilato.gov.cy,swh_gov_domains
applyamea.podilato.gov.cy,swh_gov_domains
aps.crmd.moi.gov.cy,swh_gov_domains
aps.elections.moi.gov.cy,swh_gov_domains
aps.moi.gov.cy,swh_gov_domains
aps.ymape.moi.gov.cy,swh_gov_domains
arcgis.da.mcw.gov.cy,swh_gov_domains
autodiscover.capo.gov.cy,swh_gov_domains
autodiscover.cpa.gov.cy,swh_gov_domains
autodiscover.filmingincyprus.gov.cy,swh_gov_domains
beta.cystat.gov.cy,swh_gov_domains
betterregulation.gov.cy,swh_gov_domains
borgway.cysec.gov.cy,swh_gov_domains
borgwayacc.cysec.gov.cy,swh_gov_domains
businessincyprus.gov.cy,swh_gov_domains
capo.gov.cy,swh_gov_domains
case.gdw.intranet.gov.cy,swh_gov_domains
census.cystat.mof.gov.cy,swh_gov_domains
census2021.cystat.gov.cy,swh_gov_domains
centralbank.gov.cy,swh_gov_domains
cge.cyprus.gov.cy,swh_gov_domains
chiefscientist.gov.cy,swh_gov_domains
child-birth-grant.staging.service.gov.cy,swh_gov_domains
cir-dc.centralbank.gov.cy,swh_gov_domains
cixp-mgt.mfa.gov.cy,swh_gov_domains
cixp-staging-mgt.mfa.gov.cy,swh_gov_domains
cixp-staging.mfa.gov.cy,swh_gov_domains
cixp.mfa.gov.cy,swh_gov_domains
cmp.cpa.gov.cy,swh_gov_domains
collab-edge.nba.gov.cy,swh_gov_domains
companies.gov.cy,swh_gov_domains
conf.moec.gov.cy,swh_gov_domains
connect2cy.gov.cy,swh_gov_domains
coronavirus.mlsi.gov.cy,swh_gov_domains
covid19.moh.intranet.gov.cy,swh_gov_domains
cpa.gov.cy,swh_gov_domains
cpanel.50chrona.moec.gov.cy,swh_gov_domains
cpanel.chiefscientist.gov.cy,swh_gov_domains
cpanel.conf.moec.gov.cy,swh_gov_domains
cpanel.diorisimoi.moec.gov.cy,swh_gov_domains
cpanel.epd.moec.gov.cy,swh_gov_domains
cpanel.filmingincyprus.gov.cy,swh_gov_domains
cpanel.geonoma.gov.cy,swh_gov_domains
cpanel.kypros1821.gov.cy,swh_gov_domains
cpanel.kyvernitikes.moec.gov.cy,swh_gov_domains
cpanel.mdet.moec.gov.cy,swh_gov_domains
cpanel.mepaa.moec.gov.cy,swh_gov_domains
cpanel.moecsy.gov.cy,swh_gov_domains
cpanel.mpeeaa.moec.gov.cy,swh_gov_domains
cpanel.nba.gov.cy,swh_gov_domains
cpanel.nbri.gov.cy,swh_gov_domains
cpanel.nop.moec.gov.cy,swh_gov_domains
cpanel.panexams.moec.gov.cy,swh_gov_domains
cpanel.responsiblegaming.gov.cy,swh_gov_domains
cpanel.responsiblegamingweek.gov.cy,swh_gov_domains
cpanel.safergambling.gov.cy,swh_gov_domains
cpcalendars.50chrona.moec.gov.cy,swh_gov_domains
cpcalendars.chiefscientist.gov.cy,swh_gov_domains
cpcalendars.conf.moec.gov.cy,swh_gov_domains
cpcalendars.diorisimoi.moec.gov.cy,swh_gov_domains
cpcalendars.epd.moec.gov.cy,swh_gov_domains
cpcalendars.filmingincyprus.gov.cy,swh_gov_domains
cpcalendars.geonoma.gov.cy,swh_gov_domains
cpcalendars.kypros1821.gov.cy,swh_gov_domains
cpcalendars.kyvernitikes.moec.gov.cy,swh_gov_domains
cpcalendars.mdet.moec.gov.cy,swh_gov_domains
cpcalendars.mepaa.moec.gov.cy,swh_gov_domains
cpcalendars.moecsy.gov.cy,swh_gov_domains
cpcalendars.mpeeaa.moec.gov.cy,swh_gov_domains
cpcalendars.nba.gov.cy,swh_gov_domains
cpcalendars.nbri.gov.cy,swh_gov_domains
cpcalendars.nop.moec.gov.cy,swh_gov_domains
cpcalendars.panexams.moec.gov.cy,swh_gov_domains
cpcalendars.responsiblegaming.gov.cy,swh_gov_domains
cpcalendars.responsiblegamingweek.gov.cy,swh_gov_domains
cpcalendars.safergambling.gov.cy,swh_gov_domains
cpcontacts.50chrona.moec.gov.cy,swh_gov_domains
cpcontacts.chiefscientist.gov.cy,swh_gov_domains
cpcontacts.conf.moec.gov.cy,swh_gov_domains
cpcontacts.diorisimoi.moec.gov.cy,swh_gov_domains
cpcontacts.epd.moec.gov.cy,swh_gov_domains
cpcontacts.filmingincyprus.gov.cy,swh_gov_domains
cpcontacts.geonoma.gov.cy,swh_gov_domains
cpcontacts.kypros1821.gov.cy,swh_gov_domains
cpcontacts.kyvernitikes.moec.gov.cy,swh_gov_domains
cpcontacts.mdet.moec.gov.cy,swh_gov_domains
cpcontacts.mepaa.moec.gov.cy,swh_gov_domains
cpcontacts.moecsy.gov.cy,swh_gov_domains
cpcontacts.mpeeaa.moec.gov.cy,swh_gov_domains
cpcontacts.nba.gov.cy,swh_gov_domains
cpcontacts.nbri.gov.cy,swh_gov_domains
cpcontacts.nop.moec.gov.cy,swh_gov_domains
cpcontacts.panexams.moec.gov.cy,swh_gov_domains
cpcontacts.responsiblegaming.gov.cy,swh_gov_domains
cpcontacts.responsiblegamingweek.gov.cy,swh_gov_domains
cpcontacts.safergambling.gov.cy,swh_gov_domains
customs.mof.gov.cy,swh_gov_domains
cvts-survey.cystat.mof.gov.cy,swh_gov_domains
cybercrime.police.gov.cy,swh_gov_domains
cyeures.dl.mlsi.gov.cy,swh_gov_domains
cyineu.gov.cy,swh_gov_domains
cyineu.pio.gov.cy,swh_gov_domains
cylogin.staging.service.gov.cy,swh_gov_domains
cypaob.gov.cy,swh_gov_domains
cyprusflightpass.gov.cy,swh_gov_domains
cypruslibrary.gov.cy,swh_gov_domains
cyqf.gov.cy,swh_gov_domains
cysec.gov.cy,swh_gov_domains
cystat.gov.cy,swh_gov_domains
cystatdb.cystat.gov.cy,swh_gov_domains
cytbor-test.cysec.gov.cy,swh_gov_domains
cytbor.cysec.gov.cy,swh_gov_domains
dashboard.tst.vaccines.moh.gov.cy,swh_gov_domains
dashboard.vaccines.moh.gov.cy,swh_gov_domains
data.eiesp.mlsi.gov.cy,swh_gov_domains
data.gov.cy,swh_gov_domains
datablibrary.cypruslibrary.gov.cy,swh_gov_domains
dataprotection.gov.cy,swh_gov_domains
deete.gov.cy,swh_gov_domains
deigma.audit.gov.cy,swh_gov_domains
demo.filmingincyprus.gov.cy,swh_gov_domains
design-system.staging.service.gov.cy,swh_gov_domains
dev.airquality.dli.mlsi.gov.cy,swh_gov_domains
dev.airquality.gov.cy,swh_gov_domains
dgcapi.neha.gov.cy,swh_gov_domains
dgcweb.neha.gov.cy,swh_gov_domains
digitalcoalition.gov.cy,swh_gov_domains
digitalsolidarity.gov.cy,swh_gov_domains
dilemmas.responsiblegaming.gov.cy,swh_gov_domains
diorisimoi.moec.gov.cy,swh_gov_domains
dls.moi.gov.cy,swh_gov_domains
dmrid.gov.cy,swh_gov_domains
dms.gov.cy,swh_gov_domains
dms.mcw.gov.cy,swh_gov_domains
dps.mcw.gov.cy,swh_gov_domains
drones.gov.cy,swh_gov_domains
dsf-api.staging.service.gov.cy,swh_gov_domains
e-consultation.gov.cy,swh_gov_domains
e-gnosis.gov.cy,swh_gov_domains
e-learning.capa.mof.gov.cy,swh_gov_domains
e-services.insolvency.gov.cy,swh_gov_domains
eapp.dec.dmrid.gov.cy,swh_gov_domains
eas.capo.gov.cy,swh_gov_domains
eas.crmd.moi.gov.cy,swh_gov_domains
ebus.centralbank.gov.cy,swh_gov_domains
ecccyprus.gov.cy,swh_gov_domains
ecivil.crmd.moi.gov.cy,swh_gov_domains
edvc.moh.gov.cy,swh_gov_domains
edx.centralbank.gov.cy,swh_gov_domains
efiling.drcor.mcit.gov.cy,swh_gov_domains
eforms.businessincyprus.gov.cy,swh_gov_domains
eforms.eservices.cyprus.gov.cy,swh_gov_domains
eforms.gov.cy,swh_gov_domains
egate.centralbank.gov.cy,swh_gov_domains
