domain,source
10letie.edu.gov.ru,swh_gov_domains
15years.fas.gov.ru,swh_gov_domains
20.fskn.gov.ru,swh_gov_domains
30.fskn.gov.ru,swh_gov_domains
31.fskn.gov.ru,swh_gov_domains
34.mchs.gov.ru,swh_gov_domains
92.gov.ru,swh_gov_domains
a.rgis.rk.gov.ru,swh_gov_domains
a.rgistest.rk.gov.ru,swh_gov_domains
a2nta.khv.gov.ru,swh_gov_domains
abh.rs.gov.ru,swh_gov_domains
ac.gov.ru,swh_gov_domains
ach.gov.ru,swh_gov_domains
admin.bp.minpromtorg.gov.ru,swh_gov_domains
admin.budget.minpromtorg.gov.ru,swh_gov_domains
admin.economy.gov.ru,swh_gov_domains
admin.kids.minpromtorg.gov.ru,swh_gov_domains
admin.madeinrussia.gov.ru,swh_gov_domains
adminmail.urfo.gov.ru,swh_gov_domains
ag.rgis.rk.gov.ru,swh_gov_domains
ag.rgistest.rk.gov.ru,swh_gov_domains
agip.sakha.gov.ru,swh_gov_domains
ais.fadm.gov.ru,swh_gov_domains
aisarhiv.sev.gov.ru,swh_gov_domains
aispu.minprom.gov.ru,swh_gov_domains
aleksan.social.tomsk.gov.ru,swh_gov_domains
alekseev.sakha.gov.ru,swh_gov_domains
api.spending.gov.ru,swh_gov_domains
app.parlament.gov.ru,swh_gov_domains
ar.gov.ru,swh_gov_domains
ar.rkn.gov.ru,swh_gov_domains
arctic.gov.ru,swh_gov_domains
arktika.sakha.gov.ru,swh_gov_domains
asoin.mchs.gov.ru,swh_gov_domains
asro.itc.fas.gov.ru,swh_gov_domains
assoc.khv.gov.ru,swh_gov_domains
atd.gov.ru,swh_gov_domains
atr.gov.ru,swh_gov_domains
audit.gov.ru,swh_gov_domains
auth.92.gov.ru,swh_gov_domains
auth.sm.fadn.gov.ru,swh_gov_domains
autodiscover.ac.gov.ru,swh_gov_domains
autodiscover.cea.gov.ru,swh_gov_domains
autodiscover.ec.ac.gov.ru,swh_gov_domains
autodiscover.lk.rosnedra.gov.ru,swh_gov_domains
autodiscover.open.gov.ru,swh_gov_domains
autodiscover.pay.gov.ru,swh_gov_domains
autodiscover.rosnedra.gov.ru,swh_gov_domains
autodiscover.sakha.gov.ru,swh_gov_domains
autodiscover.sakhalin.gov.ru,swh_gov_domains
autodiscover.wto.economy.gov.ru,swh_gov_domains
b.rgis.rk.gov.ru,swh_gov_domains
b.rgistest.rk.gov.ru,swh_gov_domains
bakchar.social.tomsk.gov.ru,swh_gov_domains
bel.parliament.gov.ru,swh_gov_domains
berkakit.sakha.gov.ru,swh_gov_domains
beta.gov.ru,swh_gov_domains
bg.rgis.rk.gov.ru,swh_gov_domains
bg.rgistest.rk.gov.ru,swh_gov_domains
bgu.minfin.rk.gov.ru,swh_gov_domains
bi.fadn.gov.ru,swh_gov_domains
bi.sakhalin.gov.ru,swh_gov_domains
bp.minpromtorg.gov.ru,swh_gov_domains
bplan.sev.gov.ru,swh_gov_domains
bud-test.minfin.rk.gov.ru,swh_gov_domains
bud.minfin.rk.gov.ru,swh_gov_domains
bud.sev.gov.ru,swh_gov_domains
budget.gov.ru,swh_gov_domains
budget.minpromtorg.gov.ru,swh_gov_domains
budget.open.gov.ru,swh_gov_domains
bus.gov.ru,swh_gov_domains
business.rk.gov.ru,swh_gov_domains
c.rgis.rk.gov.ru,swh_gov_domains
c.rgistest.rk.gov.ru,swh_gov_domains
ca.sakha.gov.ru,swh_gov_domains
cabinet.mon.gov.ru,swh_gov_domains
call.khv.gov.ru,swh_gov_domains
cea.gov.ru,swh_gov_domains
cg.rgis.rk.gov.ru,swh_gov_domains
cg.rgistest.rk.gov.ru,swh_gov_domains
cgko.sakha.gov.ru,swh_gov_domains
cgp.rosnedra.gov.ru,swh_gov_domains
cik.sakha.gov.ru,swh_gov_domains
cloud.rk.gov.ru,swh_gov_domains
code.ach.gov.ru,swh_gov_domains
comissia.economy.gov.ru,swh_gov_domains
conference-2-standalonecluster.khv.gov.ru,swh_gov_domains
conference-2-standaloneclusterc887f.khv.gov.ru,swh_gov_domains
conference-3-standaloneclusterc887f.khv.gov.ru,swh_gov_domains
cons.sev.gov.ru,swh_gov_domains
csa.social.tomsk.gov.ru,swh_gov_domains
d.rgis.rk.gov.ru,swh_gov_domains
