domain,source
adfs.culture.gov.sk,swh_gov_domains
adfs.health.gov.sk,swh_gov_domains
adfs.telecom.gov.sk,swh_gov_domains
admin.telecom.gov.sk,swh_gov_domains
adminer.gov.sk,swh_gov_domains
antimon.gov.sk,swh_gov_domains
apsk01.eessi-acc.gov.sk,swh_gov_domains
apsk01.eessi.gov.sk,swh_gov_domains
archiv.vlada.gov.sk,swh_gov_domains
arvd.gov.sk,swh_gov_domains
aspr-report-test.finance.gov.sk,swh_gov_domains
aspr-report-test.vicepremier.gov.sk,swh_gov_domains
aspr-report.finance.gov.sk,swh_gov_domains
aspr-report.vicepremier.gov.sk,swh_gov_domains
aspr-test.finance.gov.sk,swh_gov_domains
aspr-test.vicepremier.gov.sk,swh_gov_domains
aspr.finance.gov.sk,swh_gov_domains
aspr.vicepremier.gov.sk,swh_gov_domains
autodiscover.culture.gov.sk,swh_gov_domains
autodiscover.economy.gov.sk,swh_gov_domains
autodiscover.employment.gov.sk,swh_gov_domains
autodiscover.enviro.gov.sk,swh_gov_domains
autodiscover.health.gov.sk,swh_gov_domains
autodiscover.ip.gov.sk,swh_gov_domains
autodiscover.mpsvr.gov.sk,swh_gov_domains
autodiscover.mzp.enviro.gov.sk,swh_gov_domains
autodiscover.nases.gov.sk,swh_gov_domains
autodiscover.nbu.gov.sk,swh_gov_domains
autodiscover.pdp.gov.sk,swh_gov_domains
autodiscover.telecom.gov.sk,swh_gov_domains
autodiscover.teleoff.gov.sk,swh_gov_domains
autodiscover.upsvr.gov.sk,swh_gov_domains
autodiscover.vicepremier.gov.sk,swh_gov_domains
autodiscover.vlada.gov.sk,swh_gov_domains
bojprotikorupcii.gov.sk,swh_gov_domains
bojprotikorupcii.vlada.gov.sk,swh_gov_domains
bokku.gov.sk,swh_gov_domains
ca.nases.gov.sk,swh_gov_domains
cdp.nbu.gov.sk,swh_gov_domains
cdp1.nbu.gov.sk,swh_gov_domains
cdp2.nbu.gov.sk,swh_gov_domains
central2014.gov.sk,swh_gov_domains
centraleurope.vlada.gov.sk,swh_gov_domains
ceps.culture.gov.sk,swh_gov_domains
cert.gov.sk,swh_gov_domains
cko.vlada.gov.sk,swh_gov_domains
connection.prezident.gov.sk,swh_gov_domains
cpv.vlada.gov.sk,swh_gov_domains
csirt.gov.sk,swh_gov_domains
culture.gov.sk,swh_gov_domains
danube.vlada.gov.sk,swh_gov_domains
danube2014.gov.sk,swh_gov_domains
data.gov.sk,swh_gov_domains
data.indprop.gov.sk,swh_gov_domains
dectvobeznasilia.gov.sk,swh_gov_domains
detstvobeznasilia.gov.sk,swh_gov_domains
dobrasprava.gov.sk,swh_gov_domains
dobremesto.gov.sk,swh_gov_domains
domino.indprop.gov.sk,swh_gov_domains
dotacie.vlada.gov.sk,swh_gov_domains
dunajskastrategia.gov.sk,swh_gov_domains
dunajskastrategia.vlada.gov.sk,swh_gov_domains
dusevnevlastnictvo.gov.sk,swh_gov_domains
e-gender.gov.sk,swh_gov_domains
eaws-test.finance.gov.sk,swh_gov_domains
eaws-test.vicepremier.gov.sk,swh_gov_domains
eaws.finance.gov.sk,swh_gov_domains
eaws.vicepremier.gov.sk,swh_gov_domains
economy.gov.sk,swh_gov_domains
ecs.ecs.gov.sk,swh_gov_domains
ecs1.ecs.gov.sk,swh_gov_domains
ecs2.ecs.gov.sk,swh_gov_domains
editacia.mirri.gov.sk,swh_gov_domains
eeagrants.gov.sk,swh_gov_domains
eidas.upvsfixnew.gov.sk,swh_gov_domains
ekarantena.korona.gov.sk,swh_gov_domains
email.nases.gov.sk,swh_gov_domains
enviro.gov.sk,swh_gov_domains
eoisarch.pamiatky.gov.sk,swh_gov_domains
epodatelnat.justice.gov.sk,swh_gov_domains
epp.justice.gov.sk,swh_gov_domains
er2012.gov.sk,swh_gov_domains
esmot.gov.sk,swh_gov_domains
eu2020.gov.sk,swh_gov_domains
eu2020.vlada.gov.sk,swh_gov_domains
