domain,source
1ka.furs.gov.si,swh_gov_domains
2445.obvestila.gov.si,swh_gov_domains
4085.obvestila.gov.si,swh_gov_domains
5125.obvestila.gov.si,swh_gov_domains
5251.ess.gov.si,swh_gov_domains
5251.obvestila.gov.si,swh_gov_domains
acc.gov.si,swh_gov_domains
acme-test.gov.si,swh_gov_domains
acme-test.sigov.si,swh_gov_domains
acme-test1.sigov.si,swh_gov_domains
acme-test2.sigov.si,swh_gov_domains
admin.muza.gov.si,swh_gov_domains
aeoi.fu.gov.si,swh_gov_domains
alerts.isl.gov.si,swh_gov_domains
am-sola.gov.si,swh_gov_domains
am.gov.si,swh_gov_domains
ankete.ess.gov.si,swh_gov_domains
ankete.gov.si,swh_gov_domains
anon.jep.gov.si,swh_gov_domains
api-int.msc.arso.gov.si,swh_gov_domains
api.msc.arso.gov.si,swh_gov_domains
apis-g-test.arso.gov.si,swh_gov_domains
apis-g.arso.gov.si,swh_gov_domains
apl.ars.gov.si,swh_gov_domains
apl.ess.gov.si,swh_gov_domains
appl.sigov-ca.gov.si,swh_gov_domains
apps.ess.gov.si,swh_gov_domains
arhiv-spletisc.gov.si,swh_gov_domains
arhiv.mm.gov.si,swh_gov_domains
arr.gov.si,swh_gov_domains
arrs.gov.si,swh_gov_domains
ars.gov.si,swh_gov_domains
arsktrp-mlkp.gov.si,swh_gov_domains
arsktrp-mlkt.gov.si,swh_gov_domains
arso.gov.si,swh_gov_domains
as2.ujp.gov.si,swh_gov_domains
auth-cixp-si.gov.si,swh_gov_domains
auth-cixpstag-si.gov.si,swh_gov_domains
auth.eprostor-test.gov.si,swh_gov_domains
auth.eprostor.gov.si,swh_gov_domains
autodiscover.ess.gov.si,swh_gov_domains
autodiscover.gov.si,swh_gov_domains
avk-jn007451-expc-clu.avk.sigov.si,swh_gov_domains
avk-jn007451-expc01.avk.sigov.si,swh_gov_domains
avk-jn007451-expc02.avk.sigov.si,swh_gov_domains
avk-jn007451-expe-clu.gov.si,swh_gov_domains
avk-jn007451-expe01.gov.si,swh_gov_domains
avk-jn007451-expe02.gov.si,swh_gov_domains
avk-jn007451-expebru.gov.si,swh_gov_domains
avk-jn007451-exph.avk.sigov.si,swh_gov_domains
avk-jn007451-exph02.avk.sigov.si,swh_gov_domains
avk.sigov.si,swh_gov_domains
b51-sola.gov.si,swh_gov_domains
betaeracuni.ujp.gov.si,swh_gov_domains
betaujpnet.ujp.gov.si,swh_gov_domains
biocoded.gov.si,swh_gov_domains
blagajne.fu.gov.si,swh_gov_domains
blagajne.fu.sigov.si,swh_gov_domains
ca.gov.si,swh_gov_domains
cen.gov.si,swh_gov_domains
certauth.du-sts.gov.si,swh_gov_domains
certout.du-sts.gov.si,swh_gov_domains
chatbot.muza.gov.si,swh_gov_domains
cip-admin.gov.si,swh_gov_domains
cip-ankete.gov.si,swh_gov_domains
cip-eprijave.gov.si,swh_gov_domains
cip-lms.gov.si,swh_gov_domains
cis-uvhvvr.gov.si,swh_gov_domains
cis-vurs.gov.si,swh_gov_domains
cis.uvhvvr.gov.si,swh_gov_domains
cixp-si-mgt.gov.si,swh_gov_domains
cixp-si.gov.si,swh_gov_domains
cixpstag-si-mgt.gov.si,swh_gov_domains
cixpstag-si.gov.si,swh_gov_domains
connect.sigov-ca.gov.si,swh_gov_domains
csca-si.gov.si,swh_gov_domains
csca.gov.si,swh_gov_domains
csexmbx.ess.gov.si,swh_gov_domains
csvideocall.ess.gov.si,swh_gov_domains
data-ppa-test.gov.si,swh_gov_domains
data-ppa.gov.si,swh_gov_domains
data.gov.si,swh_gov_domains
datoteke.fu.gov.si,swh_gov_domains
dialin.ess.gov.si,swh_gov_domains
dof-aktrp.gov.si,swh_gov_domains
dokumenti-pis.mop.gov.si,swh_gov_domains
dp1.arso.gov.si,swh_gov_domains
drexmbx.ess.gov.si,swh_gov_domains
drr-razpisi.gov.si,swh_gov_domains
du-sts.gov.si,swh_gov_domains
dzp.gov.si,swh_gov_domains
e-kmetija-sipass.gov.si,swh_gov_domains
e-kmetija.gov.si,swh_gov_domains
e-posta.gov.si,swh_gov_domains
e-prostor.gov.si,swh_gov_domains
e-storitve-zirs.gov.si,swh_gov_domains
e-uprava-eplacila-test.gov.si,swh_gov_domains
e-uprava-eplacila.gov.si,swh_gov_domains
e-uprava-test.gov.si,swh_gov_domains
e-uprava-uvajanje.gov.si,swh_gov_domains
e-uvhvvr.gov.si,swh_gov_domains
ecarina-test.carina.gov.si,swh_gov_domains
ecarina-test.curs.sigov.si,swh_gov_domains
ecarina-test.fu.gov.si,swh_gov_domains
ecarina.carina.gov.si,swh_gov_domains
ecarina85-test.fu.gov.si,swh_gov_domains
ecarina85.carina.gov.si,swh_gov_domains
edelivery-gw.mpju.gov.si,swh_gov_domains
edelivery-oots-sola.gov.si,swh_gov_domains
edelivery-oots.gov.si,swh_gov_domains
edrazbe-sola.gov.si,swh_gov_domains
edrazbe.gov.si,swh_gov_domains
eforms.arrs.gov.si,swh_gov_domains
