domain,source
2d.geo.admin.ch,swh_gov_domains
3d.geo.admin.ch,swh_gov_domains
4d.geo.admin.ch,swh_gov_domains
a-vortex.ssz.admin.ch,swh_gov_domains
a01vortex.admin.ch,swh_gov_domains
a01vortex.bit.admin.ch,swh_gov_domains
a02vortex.bit.admin.ch,swh_gov_domains
aaa-a.ssltest.admin.ch,swh_gov_domains
aaa-t.ssltest.admin.ch,swh_gov_domains
aaa.isos.bak.admin.ch,swh_gov_domains
aaa2-a.ssltest.admin.ch,swh_gov_domains
abk-i.vbs.admin.ch,swh_gov_domains
abk.vbs.admin.ch,swh_gov_domains
acc.admin.ch,swh_gov_domains
acc.caz.admin.ch,swh_gov_domains
acc.ssz.admin.ch,swh_gov_domains
acc2.admin.ch,swh_gov_domains
acc4.admin.ch,swh_gov_domains
acc4.caz.admin.ch,swh_gov_domains
acc4a.caz.admin.ch,swh_gov_domains
acc4test.caz.admin.ch,swh_gov_domains
acc5-preprod-vs8.caz.admin.ch,swh_gov_domains
acc5-preprod-vs9.caz.admin.ch,swh_gov_domains
accb.ssz.admin.ch,swh_gov_domains
access-a.eiam.admin.ch,swh_gov_domains
access-r.eiam.admin.ch,swh_gov_domains
access.eiam.admin.ch,swh_gov_domains
accessibilityteststandardmandant.admin.ch,swh_gov_domains
account.idm.eda.admin.ch,swh_gov_domains
acctest.caz.admin.ch,swh_gov_domains
acctestsso.caz.admin.ch,swh_gov_domains
accv.caz.admin.ch,swh_gov_domains
accwebdav.caz.admin.ch,swh_gov_domains
acsam.zas.admin.ch,swh_gov_domains
adbgst-c2-prod-i.vbs.admin.ch,swh_gov_domains
adbgst-c2-prod-t.vbs.admin.ch,swh_gov_domains
adbgst-c2-prod.vbs.admin.ch,swh_gov_domains
adfs-poc.rastest.admin.ch,swh_gov_domains
adfs.eda.admin.ch,swh_gov_domains
adfs.idm.eda.admin.ch,swh_gov_domains
adfsint.eda.admin.ch,swh_gov_domains
admin.ch,swh_gov_domains
adminsrv6.admin.ch,swh_gov_domains
ads-v.vegate.admin.ch,swh_gov_domains
adura.blv.admin.ch,swh_gov_domains
advent-avent.bfs.admin.ch,swh_gov_domains
aekk.bag.admin.ch,swh_gov_domains
aerialimages.geo.admin.ch,swh_gov_domains
aerialimages0.geo.admin.ch,swh_gov_domains
aerialimages1.geo.admin.ch,swh_gov_domains
aerialimages2.geo.admin.ch,swh_gov_domains
aerialimages3.geo.admin.ch,swh_gov_domains
aerialimages4.geo.admin.ch,swh_gov_domains
aev14online-2fa.ssltest.admin.ch,swh_gov_domains
aev14online.ssl.admin.ch,swh_gov_domains
afaria.exonaut.admin.ch,swh_gov_domains
afd-temp.admin.ch,swh_gov_domains
afd-var.admin.ch,swh_gov_domains
afd.admin.ch,swh_gov_domains
agrarforschungschweiz.admin.ch,swh_gov_domains
agri-gis.admin.ch,swh_gov_domains
agroscope.admin.ch,swh_gov_domains
ags-ctrx.ras.admin.ch,swh_gov_domains
ags-ctrx.rastest.admin.ch,swh_gov_domains
ags-rasts.ras.admin.ch,swh_gov_domains
ags-rasts.rastest.admin.ch,swh_gov_domains
aidesocialeasl.bfs.admin.ch,swh_gov_domains
airstat.bazl.admin.ch,swh_gov_domains
aiutosocialeisl.bfs.admin.ch,swh_gov_domains
alco-dec.eav.admin.ch,swh_gov_domains
alis-en.admin.ch,swh_gov_domains
alis-es.admin.ch,swh_gov_domains
alis-in.admin.ch,swh_gov_domains
alis-vp.admin.ch,swh_gov_domains
alis.admin.ch,swh_gov_domains
alps-a.bsv.admin.ch,swh_gov_domains
alps-r.bsv.admin.ch,swh_gov_domains
alps.bsv.admin.ch,swh_gov_domains
alsvaportal.ezv.admin.ch,swh_gov_domains
alvph-en.blv.admin.ch,swh_gov_domains
alvph-in.blv.admin.ch,swh_gov_domains
alvph-sh.blv.admin.ch,swh_gov_domains
am-a.eiam.admin.ch,swh_gov_domains
am-r.eiam.admin.ch,swh_gov_domains
am.eiam.admin.ch,swh_gov_domains
amadmin-a.bit.admin.ch,swh_gov_domains
amadmin.bit.admin.ch,swh_gov_domains
amstat-r.admin.ch,swh_gov_domains
amstat-x.admin.ch,swh_gov_domains
amtsdruckschriften.bar.admin.ch,swh_gov_domains
analytics.ejpd.admin.ch,swh_gov_domains
angebot.intranet.bit.admin.ch,swh_gov_domains
anmeldestelle.admin.ch,swh_gov_domains
anmeldung.admin.ch,swh_gov_domains
annuaire-federal-a.admin.ch,swh_gov_domains
annuaire-federal.admin.ch,swh_gov_domains
annuario-federale-a.admin.ch,swh_gov_domains
annuario-federale.admin.ch,swh_gov_domains
antivir.admin.ch,swh_gov_domains
antivir1.admin.ch,swh_gov_domains
antivir2.admin.ch,swh_gov_domains
antivir3.admin.ch,swh_gov_domains
antworten.admin.ch,swh_gov_domains
api.geo.admin.ch,swh_gov_domains
api4.geo.admin.ch,swh_gov_domains
apis-int.bfm.admin.ch,swh_gov_domains
apis-int.sem.admin.ch,swh_gov_domains
apis.admin.ch,swh_gov_domains
apis.bfm.admin.ch,swh_gov_domains
apis.sem.admin.ch,swh_gov_domains
apistore-a.estv.admin.ch,swh_gov_domains
apistore-r.estv.admin.ch,swh_gov_domains
apistore.estv.admin.ch,swh_gov_domains
app.eda.admin.ch,swh_gov_domains
