domain,source
1.imzo.gov.ua,swh_gov_domains
123.dffd.gov.ua,swh_gov_domains
1551.gov.ua,swh_gov_domains
1551.kyivcity.gov.ua,swh_gov_domains
1588-admin.mkrada.gov.ua,swh_gov_domains
1588.mkrada.gov.ua,swh_gov_domains
2.imzo.gov.ua,swh_gov_domains
2016.bc-rada.gov.ua,swh_gov_domains
272b5d7e2f4f52e3eae9294d82176faa.nais.gov.ua,swh_gov_domains
3.imzo.gov.ua,swh_gov_domains
300.cert.gov.ua,swh_gov_domains
8253ec7b2a4bf6acf65732954f18a607.nais.gov.ua,swh_gov_domains
9f22fecb2a798dd870ef499eaafb2a17.nais.gov.ua,swh_gov_domains
accounts.kyivcity.gov.ua,swh_gov_domains
ad.dzi.gov.ua,swh_gov_domains
adm-km.gov.ua,swh_gov_domains
adm.dniprorada.gov.ua,swh_gov_domains
admin.chapl.gov.ua,swh_gov_domains
admin.cnap-pl.gov.ua,swh_gov_domains
admin.es.kievcity.gov.ua,swh_gov_domains
admin.gis.kievcity.gov.ua,swh_gov_domains
admin.gis.kyivcity.gov.ua,swh_gov_domains
admin.gromada.dmsu.gov.ua,swh_gov_domains
admin.medical.kievcity.gov.ua,swh_gov_domains
admin.nazk.gov.ua,swh_gov_domains
admin.re.kievcity.gov.ua,swh_gov_domains
admincher.gov.ua,swh_gov_domains
adminposluga.lis.gov.ua,swh_gov_domains
agrex.gov.ua,swh_gov_domains
agro-id.gov.ua,swh_gov_domains
agro.gov.ua,swh_gov_domains
aias.energy.gov.ua,swh_gov_domains
aisf.dec.gov.ua,swh_gov_domains
ak.gov.ua,swh_gov_domains
akimorg.gov.ua,swh_gov_domains
aku.gov.ua,swh_gov_domains
alt.sergiivka-rada.gov.ua,swh_gov_domains
andrrada.gov.ua,swh_gov_domains
anticorruption.dpsu.gov.ua,swh_gov_domains
api.contacts.300.cert.gov.ua,swh_gov_domains
api.gromada.dmsu.gov.ua,swh_gov_domains
app.saiodessa.gov.ua,swh_gov_domains
apu.gov.ua,swh_gov_domains
arabat-rada.gov.ua,swh_gov_domains
archive.ukc.gov.ua,swh_gov_domains
arciz-rada.gov.ua,swh_gov_domains
arfile.odessa.gov.ua,swh_gov_domains
ark.molod-kredit.gov.ua,swh_gov_domains
arma.gov.ua,swh_gov_domains
artemivsk-rada.gov.ua,swh_gov_domains
artemrada.gov.ua,swh_gov_domains
askaniya.chapl.gov.ua,swh_gov_domains
askod.admincher.gov.ua,swh_gov_domains
asteiska-rada.gov.ua,swh_gov_domains
asv.gov.ua,swh_gov_domains
asvp.nais.gov.ua,swh_gov_domains
asvpweb.nais.gov.ua,swh_gov_domains
auth.sign.dzk.gov.ua,swh_gov_domains
authorities.rokitne-rda.gov.ua,swh_gov_domains
autodiscover.bank.gov.ua,swh_gov_domains
autodiscover.desna-buvr.gov.ua,swh_gov_domains
autodiscover.economy-mk.gov.ua,swh_gov_domains
autodiscover.koryukivka-rada.gov.ua,swh_gov_domains
autodiscover.nas.gov.ua,swh_gov_domains
autodiscover.pereyaslav-rda.gov.ua,swh_gov_domains
autodiscover.rdaberyslav.gov.ua,swh_gov_domains
autodiscover.sunpp.atom.gov.ua,swh_gov_domains
autodiscover.zarrda.gov.ua,swh_gov_domains
av.apu.gov.ua,swh_gov_domains
av.nas.gov.ua,swh_gov_domains
av.sim.gov.ua,swh_gov_domains
ba47de784f43bf7fb4e451fa5c8e0f49.nais.gov.ua,swh_gov_domains
backend.contacts.300.cert.gov.ua,swh_gov_domains
backend.nazk.gov.ua,swh_gov_domains
bank.gov.ua,swh_gov_domains
baryshivska-rada.gov.ua,swh_gov_domains
bc-mvs.gov.ua,swh_gov_domains
bc-rada.gov.ua,swh_gov_domains
bcrada.gov.ua,swh_gov_domains
belozirmvk.gov.ua,swh_gov_domains
beregovo-beregszasz.gov.ua,swh_gov_domains
berislav-mr.gov.ua,swh_gov_domains
best.lebrada.gov.ua,swh_gov_domains
bezpeka.gov.ua,swh_gov_domains
bhrr.gov.ua,swh_gov_domains
bibrka-rada.gov.ua,swh_gov_domains
bilozerka-rda.gov.ua,swh_gov_domains
bind.bmr.gov.ua,swh_gov_domains
bitrix24.dzk.gov.ua,swh_gov_domains
blv-rada.gov.ua,swh_gov_domains
bmr.gov.ua,swh_gov_domains
bmuvg.desna-buvr.gov.ua,swh_gov_domains
bmuvg.gov.ua,swh_gov_domains
bo.gov.ua,swh_gov_domains
bobr-rrada.gov.ua,swh_gov_domains
bobrytsya-rada.gov.ua,swh_gov_domains
bogo-rada.gov.ua,swh_gov_domains
bogodukhiv-rayrada.gov.ua,swh_gov_domains
bogorda.if.gov.ua,swh_gov_domains
bohodukhiv-rairada.gov.ua,swh_gov_domains
bor-selrada.gov.ua,swh_gov_domains
borrada.gov.ua,swh_gov_domains
borschivrada.gov.ua,swh_gov_domains
brovary-rada.gov.ua,swh_gov_domains
budget.kievcity.gov.ua,swh_gov_domains
budget.mlt.gov.ua,swh_gov_domains
bukoda.gov.ua,swh_gov_domains
buvrtysa.gov.ua,swh_gov_domains
bzrr.gov.ua,swh_gov_domains
ca.nskz.uss.gov.ua,swh_gov_domains
ca.uss.gov.ua,swh_gov_domains
cabinet.sfs.gov.ua,swh_gov_domains
carpathia.gov.ua,swh_gov_domains
central.es.kievcity.gov.ua,swh_gov_domains
cesaris.uss.gov.ua,swh_gov_domains
cfl.gov.ua,swh_gov_domains
chabany-rada.gov.ua,swh_gov_domains
chapl.gov.ua,swh_gov_domains
chaplynka.chapl.gov.ua,swh_gov_domains
chasovrada.gov.ua,swh_gov_domains
chemdza.gov.ua,swh_gov_domains
chemrda.gov.ua,swh_gov_domains
cherkasy.legalaid.gov.ua,swh_gov_domains
chernihiv.legalaid.gov.ua,swh_gov_domains
chernivtsi.legalaid.gov.ua,swh_gov_domains
chernrada.gov.ua,swh_gov_domains
chk.molod-kredit.gov.ua,swh_gov_domains
chmuvg.desna-buvr.gov.ua,swh_gov_domains
chor.gov.ua,swh_gov_domains
chrg.molod-kredit.gov.ua,swh_gov_domains
chrv.molod-kredit.gov.ua,swh_gov_domains
chubarivkarada.gov.ua,swh_gov_domains
cit.mns.gov.ua,swh_gov_domains
ck.legalaid.gov.ua,swh_gov_domains
cloud.dcs.gov.ua,swh_gov_domains
cloud.dsszzi.gov.ua,swh_gov_domains
cloud.mk.gov.ua,swh_gov_domains
cloud.odessa.gov.ua,swh_gov_domains
cloud.spacecenter.gov.ua,swh_gov_domains
cm.nais.gov.ua,swh_gov_domains
cmr.gov.ua,swh_gov_domains
cms.e-contact.dp.gov.ua,swh_gov_domains
cms.mkrada.gov.ua,swh_gov_domains
cnap-pl.gov.ua,swh_gov_domains
cnap.bc-rada.gov.ua,swh_gov_domains
cnap.dniprorada.gov.ua,swh_gov_domains
cnap.gov.ua,swh_gov_domains
cnap.mlt.gov.ua,swh_gov_domains
cnap.mrd.gov.ua,swh_gov_domains
cnap.novogrodovka-rada.gov.ua,swh_gov_domains
cnap.odessa.gov.ua,swh_gov_domains
cnaprv.gov.ua,swh_gov_domains
compet.kh.gov.ua,swh_gov_domains
constitution.gov.ua,swh_gov_domains
contact.bc-rada.gov.ua,swh_gov_domains
contact.brovary-rada.gov.ua,swh_gov_domains
contact.kievcity.gov.ua,swh_gov_domains
contact.kyivcity.gov.ua,swh_gov_domains
contact.mistoboyarka.gov.ua,swh_gov_domains
contact.vyshgorod-rada.gov.ua,swh_gov_domains
court.gov.ua,swh_gov_domains
cpanel.berislav-mr.gov.ua,swh_gov_domains
cpanel.bobrytsya-rada.gov.ua,swh_gov_domains
cpanel.bor-selrada.gov.ua,swh_gov_domains
cpanel.desna-buvr.gov.ua,swh_gov_domains
cpanel.dsvv.gov.ua,swh_gov_domains
cpanel.economy-mk.gov.ua,swh_gov_domains
cpanel.ifdei.gov.ua,swh_gov_domains
cpanel.ifforestry.gov.ua,swh_gov_domains
cpanel.investinkherson.gov.ua,swh_gov_domains
cpanel.ito.gov.ua,swh_gov_domains
cpanel.kamrada.gov.ua,swh_gov_domains
cpanel.koryukivka-rada.gov.ua,swh_gov_domains
cpanel.pereyaslav-rda.gov.ua,swh_gov_domains
cpanel.pustomyty-miskarada.gov.ua,swh_gov_domains
cpanel.rdaberyslav.gov.ua,swh_gov_domains
cpanel.vetlab.gov.ua,swh_gov_domains
cpanel.zarrda.gov.ua,swh_gov_domains
cpi.nas.gov.ua,swh_gov_domains
crm.nas.gov.ua,swh_gov_domains
crm03.nas.gov.ua,swh_gov_domains
crmtest02.nas.gov.ua,swh_gov_domains
cubespot.lebrada.gov.ua,swh_gov_domains
cultrv.gov.ua,swh_gov_domains
culture.ck-oda.gov.ua,swh_gov_domains
cv.dsp.gov.ua,swh_gov_domains
cyber.nerc.gov.ua,swh_gov_domains
cybercrime.gov.ua,swh_gov_domains
dabi.gov.ua,swh_gov_domains
dahmo.gov.ua,swh_gov_domains
darg.gov.ua,swh_gov_domains
dashboard.kievcity.gov.ua,swh_gov_domains
davio.gov.ua,swh_gov_domains
dc.dozvil-kiev.gov.ua,swh_gov_domains
dcs.gov.ua,swh_gov_domains
ddr.minjust.gov.ua,swh_gov_domains
de.vmr.gov.ua,swh_gov_domains
dec.gov.ua,swh_gov_domains
declaration.nazk.gov.ua,swh_gov_domains
declarations.nazk.gov.ua,swh_gov_domains
deik.gov.ua,swh_gov_domains
den.energy.gov.ua,swh_gov_domains
depfin.gov.ua,swh_gov_domains
desn.gov.ua,swh_gov_domains
desna-buvr.gov.ua,swh_gov_domains
dev.ppu.gov.ua,swh_gov_domains
dffd.gov.ua,swh_gov_domains
dfi-kyiv.gov.ua,swh_gov_domains
dialin.apu.gov.ua,swh_gov_domains
dialin.kr.gov.ua,swh_gov_domains
dialin.nas.gov.ua,swh_gov_domains
dialin.sim.gov.ua,swh_gov_domains
difku.gov.ua,swh_gov_domains
