domain,source,status
aide.igvm-iefh.belgium.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
belpas.diplomatie.belgium.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
ccecrb.fgov.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
census2011.fgov.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
csipme.fgov.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
data.gov.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
drcongo.diplomatie.belgium.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
europeanelections.belgium.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
hda.belgium.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
health.belgium.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
ibz.rrn.fgov.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
inami.fgov.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
inr-icn.fgov.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
ksz-bcss.fgov.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
lootedart.belgium.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
nsarail.fgov.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
plan.mobilit.belgium.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
sfpd.fgov.be,https://accessibility.belgium.be/fr/actualites/liste-des-sites-qui-recevront-un-audit-daccessibilite-en-2026,new
