country_code,country,service,domains_depending,scanned_domains,percent
UNITED_KINGDOM_UK,United Kingdom,googleapis.com,1209,2754,43.9
UNITED_KINGDOM_UK,United Kingdom,googletagmanager.com,1124,2754,40.8
UNITED_KINGDOM_UK,United Kingdom,gstatic.com,501,2754,18.2
UNITED_KINGDOM_UK,United Kingdom,jsdelivr.net,371,2754,13.5
UNITED_KINGDOM_UK,United Kingdom,fontawesome.com,357,2754,13.0
UNITED_KINGDOM_UK,United Kingdom,google.com,976,2754,35.4
UNITED_KINGDOM_UK,United Kingdom,cloudflare.com,642,2754,23.3
UNITED_KINGDOM_UK,United Kingdom,jquery.com,171,2754,6.2
UNITED_KINGDOM_UK,United Kingdom,unpkg.com,296,2754,10.7
UNITED_KINGDOM_UK,United Kingdom,bootstrapcdn.com,148,2754,5.4
UNITED_KINGDOM_UK,United Kingdom,typekit.net,131,2754,4.8
UNITED_KINGDOM_UK,United Kingdom,facebook.com,22,2754,0.8
UNITED_KINGDOM_UK,United Kingdom,cookiebot.com,52,2754,1.9
UNITED_KINGDOM_UK,United Kingdom,amazonaws.com,133,2754,4.8
UNITED_KINGDOM_UK,United Kingdom,facebook.net,51,2754,1.9
UNITED_KINGDOM_UK,United Kingdom,addtoany.com,30,2754,1.1
UNITED_KINGDOM_UK,United Kingdom,arcgis.com,25,2754,0.9
UNITED_KINGDOM_UK,United Kingdom,fbcdn.net,17,2754,0.6
UNITED_KINGDOM_UK,United Kingdom,mapbox.com,40,2754,1.5
UNITED_KINGDOM_UK,United Kingdom,cloudfront.net,281,2754,10.2
POLAND,Poland,googleapis.com,1381,2289,60.3
POLAND,Poland,googletagmanager.com,618,2289,27.0
POLAND,Poland,gstatic.com,466,2289,20.4
POLAND,Poland,jsdelivr.net,165,2289,7.2
POLAND,Poland,fontawesome.com,121,2289,5.3
POLAND,Poland,google.com,357,2289,15.6
POLAND,Poland,cloudflare.com,226,2289,9.9
POLAND,Poland,jquery.com,128,2289,5.6
POLAND,Poland,unpkg.com,60,2289,2.6
POLAND,Poland,bootstrapcdn.com,153,2289,6.7
POLAND,Poland,typekit.net,29,2289,1.3
POLAND,Poland,facebook.com,109,2289,4.8
POLAND,Poland,cookiebot.com,27,2289,1.2
POLAND,Poland,amazonaws.com,6,2289,0.3
POLAND,Poland,facebook.net,67,2289,2.9
POLAND,Poland,addtoany.com,22,2289,1.0
POLAND,Poland,arcgis.com,2,2289,0.1
POLAND,Poland,fbcdn.net,46,2289,2.0
POLAND,Poland,mapbox.com,11,2289,0.5
POLAND,Poland,cloudfront.net,27,2289,1.2
FRANCE,France,googleapis.com,231,657,35.2
FRANCE,France,googletagmanager.com,91,657,13.9
FRANCE,France,gstatic.com,115,657,17.5
FRANCE,France,jsdelivr.net,91,657,13.9
FRANCE,France,fontawesome.com,61,657,9.3
FRANCE,France,google.com,93,657,14.2
FRANCE,France,cloudflare.com,113,657,17.2
FRANCE,France,jquery.com,47,657,7.2
FRANCE,France,unpkg.com,70,657,10.7
FRANCE,France,bootstrapcdn.com,73,657,11.1
FRANCE,France,typekit.net,29,657,4.4
FRANCE,France,facebook.com,10,657,1.5
FRANCE,France,cookiebot.com,4,657,0.6
